Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0sa1kd1ZDMHopmdY66GcOQ,"Live It Up","Black Dog Barking","Airbourne",2013-05-17,265086,58,false,,2026-03-10T00:31:06Z,"hard rock","Nettwerk Music Group",0.369,0.92,3,-4.665,1,0.0381,0.00492,0.727,0.191,0.503,142.982,4
spotify:track:6g4EPHt65k6X0BgLGzP1KW,"WE ON GO","BIANCA (Extended)","BIA",2025-10-14,168533,62,true,,2026-03-09T21:33:38Z,"","Epic",0.716,0.8,9,-3.898,1,0.0751,0.0457,0,0.358,0.622,131.01,4
spotify:track:6KzkqZqhUBEsWYJJa2aBOd,"The Weekend - Radio Edit","Analog Is On","Michael Gray",2007-06-01,192173,72,false,,2026-03-02T19:19:36Z,"disco house","Altra Moda Music",0.686,0.832,4,-5.673,0,0.0725,0.000321,0.127,0.583,0.884,127.023,4
spotify:track:4vO9dmzNRqDhFY3jD1a3P7,"Mississippi Queen","Climbing!","Mountain",1970,151293,68,false,,2026-02-28T21:32:52Z,"classic rock,blues rock,southern rock","Columbia/Legacy",0.581,0.624,9,-8.346,1,0.0777,0.0987,0,0.0411,0.637,139.714,4
spotify:track:605hJIiMrdsUjr4Vx4BFD6,"Demon Speeding","The Sinister Urge","Rob Zombie",2001-01-01,224306,63,false,,2026-02-28T21:32:26Z,"industrial metal,industrial rock,alternative metal,metal,nu metal","Geffen",0.549,0.81,11,-4.001,0,0.0328,0.000298,0.00000289,0.156,0.41,133.985,4
spotify:track:5NdjD9pVEF5RS3bmXR0LyG,"Kiko Vox","Kiko Vox","BONESAW",2026-02-21,211656,41,false,,2026-02-28T20:17:55Z,"breakcore","BONESAW",0.274,0.974,11,-3.634,0,0.0867,0.00383,0.476,0.296,0.321,118.109,4
spotify:track:31T2dxAa2TSUtymgF7L7Oi,"Come Fight Me For It","Rave Immortal","ALT BLK ERA",2025-01-24,221206,46,false,,2026-02-20T15:23:49Z,"","Earache Records",0.489,0.971,0,-4.781,1,0.0635,0.000228,0.0000446,0.347,0.279,173.877,4
spotify:track:62bfW3EPm01YSEPogb4gdp,"Tissues","Tissues","ALT BLK ERA",2026-02-04,128178,41,false,,2026-02-20T14:47:54Z,"","Lab Records",0.577,0.94,5,-5.52,1,0.0989,0.141,0.0000902,0.106,0.221,159.886,4
spotify:track:01vv2AjxgP4uUyb8waYO5Y,"Morph","Trench","Twenty One Pilots",2018-10-05,258853,65,false,,2026-02-20T14:04:52Z,"","Fueled By Ramen",0.734,0.607,8,-7.249,0,0.0806,0.0747,0.000577,0.0968,0.518,90.023,4
spotify:track:12rhvKDK2FfHTZZ1sSAHDG,"Cringe","Bank On The Funeral","Matt Maeson",2019-04-05,216213,69,false,,2026-02-19T19:32:44Z,"","Neon Gold/Atlantic",0.729,0.474,5,-7.724,1,0.0553,0.0652,0,0.0758,0.443,126.047,4
spotify:track:27PPzQyuNkGn8YRNtuPx0X,"Let Me","Let Me","Victoria Monét",2026-02-11,291513,67,false,,2026-02-19T19:22:03Z,"alternative r&b","Lovett Music/RCA Records",0.298,0.39,9,-9.55,1,0.0633,0.714,0,0.201,0.333,73.57,4
spotify:track:1P9I8lE5sm4k8ZkkVVjeGP,"Star Signs","Solace & The Vices","Bryson Tiller",2025-10-02,204308,59,false,,2026-02-19T19:21:57Z,"trap soul,r&b","TrapSoul/RCA Records",0.57,0.529,5,-7.44,0,0.0418,0.0345,0.000156,0.149,0.139,153.26,4
spotify:track:7CI0DUkX9fUgwC1IXD4rcD,"Supernova","Yonder","Valiant Hearts",2022-01-28,240000,23,false,,2026-02-09T21:18:50Z,"post-hardcore,metalcore","Kontrolla Music Group",0.344,0.988,5,-3.289,0,0.191,0.000254,0,0.36,0.203,150.028,4
spotify:track:0a1WSNN8s2aoihmhxQUZzL,"I Wanna Kno","Sounds Of Tokyo-To Future","2 Mello",2021-08-24,254379,48,false,,2026-02-04T21:05:12Z,"","Future Unwritten",0.754,0.875,3,-5.187,0,0.11,0.162,0.714,0.0481,0.873,145.02,4
spotify:track:6r1c3vA3CVNV9lTDV6bMXo,"HOT SENS4TION","HOT SENS4TION","BONESAW",2025-06-30,225433,37,false,,2026-02-03T21:36:28Z,"breakcore","BONESAW",0.502,0.685,1,-12.776,1,0.0609,0.0047,0.0949,0.0988,0.567,154.951,4
spotify:track:5r43qanLhUCdBj8HN3fa6B,"Sunshine","Sunshine","OneRepublic",2021-11-10,163854,71,false,,2026-02-01T22:59:08Z,"soft pop","Mosley Music/Interscope Records",0.697,0.875,5,-4.621,1,0.034,0.137,0,0.28,0.774,140.069,4
spotify:track:0rMZlyruR3etQ2F6baXc8S,"Tartan","Tartan","Fimiguerrero;Reekz MB",2025-05-02,109773,54,true,,2026-01-29T23:52:42Z,"alté,uk drill,drill,grime,uk grime","Lizzy Records",0.793,0.849,1,-4.361,1,0.186,0.0393,0,0.194,0.297,140.069,4
spotify:track:4DqqqrFeVbMvhE54x7a3fh,"Tartan","Tartan","EsDeeKid;Fimiguerrero",2025-06-19,109714,57,true,,2026-01-29T23:50:34Z,"alté","Lizzy Records",0.767,0.904,1,-2.264,1,0.228,0.0318,0,0.225,0.298,140.035,4
spotify:track:3Hya20ZNnlLzGLCpzJR6bv,"I'm Your Boogie Man","Part 3","KC & The Sunshine Band",1976,241920,61,false,,2026-01-24T19:10:34Z,"disco","Parlophone UK",0.765,0.927,5,-5.715,0,0.0399,0.0156,0.00000597,0.0391,0.927,113.326,4
