Track Name,Artist Name(s),Release Date,Genres,Duration (ms)
"Aquarius/Let The Sunshine In (The Flesh Failures) - From the Musical ""Hair""",The 5th Dimension,1969,,289293
Move on Up - Single Edit,Curtis Mayfield,1970,"classic soul,soul,motown,funk",165789
Mississippi Queen,Mountain,1970,"classic rock,blues rock,southern rock",151293
I'm Your Boogie Man,KC & The Sunshine Band,1976,disco,241920
Sunny,Boney M.,1976,disco,242240
The Chain - 2004 Remaster,Fleetwood Mac,1977-02-04,"yacht rock,classic rock,soft rock",270213
Don't Bring Me Down,Electric Light Orchestra,1979-05-31,"art rock,soft rock",243132
I Ran (So Far Away),A Flock Of Seagulls,1981,"new wave,synthpop",306626
悲しみがとまらない　I CAN'T STOP THE LONELINESS,Anri,1983-12-05,"city pop,j-pop,kayōkyoku",263706
Cheri Cheri Lady,Modern Talking,1985,"europop,italo disco,eurodance",226333
Paradise City,Guns N' Roses,1987-07-21,"rock,glam metal,hard rock,classic rock",405600
House of the Rising Sun,The Animals,1987-10-19,classic rock,269906
Who Is It,Michael Jackson,1991-11-13,,395285
September,"Earth, Wind & Fire",1992-09-08,"funk,disco",214826
Sabotage,Beastie Boys,1994-05-23,"rap rock,old school hip hop,east coast hip hop,hip hop",178440
Midnight In A Perfect World,DJ Shadow,1996-01-01,"trip hop,plunderphonics,downtempo",298373
Dragula,Rob Zombie,1998-01-01,"industrial metal,industrial rock,alternative metal,metal,nu metal",222826
Butterfly,SMiLE.dk,1998-07-13,"europop,eurodance",177453
Music Sounds Better With You,Stardust;Benjamin Diamond;Alan Braxe;Thomas Bangalter,1998-07-20,french house,403293
"Right Here, Right Now",Fatboy Slim,1998-10-19,big beat,387706
Drive,Incubus,1999-10-26,"nu metal,funk rock,alternative metal,alternative rock",232453
Ante Up (Robbin Hoodz Theory),M.O.P.,2000,"east coast hip hop,hardcore hip hop,old school hip hop",232666
On the Bowl - A. Fagus Mix,Deavid Soul,2000,,337400
Miller Boll Breakers,Deavid Soul,2000,,331226
Up-Set Attack,Deavid Soul,2000,,216866
Yappie Feet,Deavid Soul,2000,,309386
Demon Speeding,Rob Zombie,2001-01-01,"industrial metal,industrial rock,alternative metal,metal,nu metal",224306
Duvet,bôa,2001-03-21,,203600
Suddenly,Solveig,2001-06-07,,202933
Jerk It Out,Caesars,2002,,195666
Go With The Flow,Queens of the Stone Age,2002,"stoner rock,alternative rock",187106
Rockstar,N.E.R.D,2002-03-12,,259493
A Modern Way of Letting Go,Idlewild,2002-07-15,britpop,143760
Ooh Ahh (My Life Be Like) [feat. Tobymac],Grits;TobyMac,2002-08-06,"christian hip hop,christian,christian pop,ccm,christian rock,christian edm,worship,christian alternative rock",233173
Edge Of The Earth,Thirty Seconds To Mars,2002-08-27,,277506
When I'm Gone,3 Doors Down,2002-11-12,post-grunge,260333
Sound Of The Underground,Girls Aloud,2003-01-01,,221426
Breathing,Yellowcard,2003-01-01,"pop punk,punk,emo",218706
Hot,Smash Mouth,2003-01-01,,151013
Simple And Clean,Hikaru Utada,2003-01-29,"j-pop,j-r&b,anime",300760
Faint,Linkin Park,2003-03-25,"nu metal,rap metal,rock,alternative metal",162106
You Spin Me Round (Like a Record),Dead Or Alive,2003-05-19,"hi-nrg,synthpop",195146
Pick Up,Bonobo,2003-06-17,"trip hop,downtempo,nu jazz,electronic",248746
Nothing Wrong,Jimmy Eat World,2004,"emo,pop punk",187266
Pain,Jimmy Eat World,2004,"emo,pop punk",181306
Before I Forget,Slipknot,2004,"nu metal,metal,alternative metal,rap metal,heavy metal",278600
Somebody Told Me,The Killers,2004,alternative rock,197200
No Pun Intended,The Hives,2004-01-01,garage rock,140533
Reinventing Your Exit,Underoath,2004-01-01,"post-hardcore,screamo,metalcore,emo",262573
Real Big,Mannie Fresh,2004-01-01,"southern hip hop,new orleans bounce",228826
Overnight Celebrity - Edited,Twista,2004-01-27,,235093
151,Jedi Mind Tricks,2004-05-25,"underground hip hop,hardcore hip hop,horrorcore,hip hop,east coast hip hop",192000
battlecry,Nujabes;Shing02,2004-06-23,"jazz rap,j-rap",202066
Reach For The Sky,Social Distortion,2004-09-28,"punk,skate punk,ska punk,psychobilly",211626
Let's Go (feat. Twista & Lil' Jon),Trick Daddy;Lil Jon;Twista,2004-10-26,"southern hip hop,crunk",222200
Dirt Off Your Shoulder / Lying From You,JAŸ-Z;Linkin Park,2004-11-23,"hip hop,east coast hip hop,rap,nu metal,rap metal,rock,alternative metal",244693
U Don't Know Me,T.I.,2004-11-28,southern hip hop,243506
Numb / Encore,JAŸ-Z;Linkin Park,2004-11-30,"hip hop,east coast hip hop,rap,nu metal,rap metal,rock,alternative metal",205733
Untouched,The Veronicas,2005,,255360
Get Your Shine On,Birdman;Lil Wayne,2005,"southern hip hop,rap,hip hop",281773
Like A Boss,Slim Thug,2005-01-01,"southern hip hop,crunk",198146
Joker And The Thief,Wolfmother,2005-01-01,stoner rock,279666
Inaction,We Are Scientists,2005-01-01,indie rock,152142
Kryptonite,Killer Mike;Blackowned C-Bone;Rock D The Legend;Big Boi,2005-01-01,"southern hip hop,alternative hip hop,crunk",272586
Welcome To Jamrock,Damian Marley,2005-01-01,"reggae,ragga,roots reggae",213200
Banquet,Bloc Party,2005-01-01,indie rock,200400
Galvanize,The Chemical Brothers,2005-01-01,"big beat,alternative dance,electronic,breakbeat",393813
Lousy Reputation,We Are Scientists,2005-01-01,indie rock,155333
Worth The Wait,We Are Scientists,2005-01-01,indie rock,163312
Banquet,Bloc Party,2005-02-02,indie rock,201360
Unconditional,The Bravery,2005-03-14,,199493
Dundy Lion,Markus Kienzl,2005-04-04,trip hop,291253
You Make Me Sick,Egypt Central,2005-04-26,,232640
Sittin' Sidewayz (feat. Big Pokey),Paul Wall;Big Pokey,2005-06-21,"southern hip hop,crunk",228933
Top Of The World,The All-American Rejects,2005-07-12,"pop punk,emo",203720
Living for the Weekend,Hard-Fi,2005-07-12,britpop,222293
Move Along,The All-American Rejects,2005-07-12,"pop punk,emo",238880
Sittin' Sidewayz (feat. Big Pokey),Paul Wall;Big Pokey,2005-07-19,"southern hip hop,crunk",228933
Stand Up,Pennywise,2005-08-09,"punk,skate punk,ska punk,melodic hardcore,hardcore punk,ska",197333
Bundy,Animal Alpha,2005-09-05,norsk rock,226480
March of the Dead,Story Of The Year,2005-10-10,"emo,post-hardcore,pop punk,screamo",229178
Sleep,Story Of The Year,2005-10-10,"emo,post-hardcore,pop punk,screamo",252826
Mockingbird,Eminem,2005-12-06,"rap,hip hop",251266
Stan,Eminem;Dido,2005-12-06,"rap,hip hop",404426
Without Me,Eminem,2005-12-06,"rap,hip hop",291213
Eyes on the Road,The Fever,2006,,157000
Promiscuous,Nelly Furtado;Timbaland,2006-01-01,,242293
Maneater,Nelly Furtado,2006-01-01,,258893
Face Down,The Red Jumpsuit Apparatus,2006-01-01,"pop punk,emo",192000
The Good Left Undone,Rise Against,2006-01-01,"punk,hardcore punk",181453
The Diary of Jane - Single Version,Breaking Benjamin,2006-01-01,"alternative metal,post-grunge,rock",200546
Behind Closed Doors,Rise Against,2006-01-01,"punk,hardcore punk",195120
Collapse,Saosin,2006-01-01,"post-hardcore,screamo,emo",195186
Dragula,Rob Zombie,2006-01-01,"industrial metal,industrial rock,alternative metal,metal,nu metal",222986
Eyes On the Road,The Fever,2006-05-02,,157000
Don't Hold Back,The Sleeping,2006-05-30,post-hardcore,272786
Shotgun,The Outline,2006-07-11,,164826
Glamorous,Fergie;Ludacris,2006-09-13,southern hip hop,246600
It's Not Over,Daughtry,2006-10-01,post-grunge,215026
Ride,Presence,2006-10-24,"nu metal,rap metal,italo disco",169013
Crashed,Daughtry,2006-11-20,post-grunge,210213
Tick Tick Boom,The Hives,2007-01-01,garage rock,205413
Golden Skans,Klaxons,2007-01-01,"new rave,alternative dance,indie",165120
Won't Be Long,The Hives,2007-01-01,garage rock,226466
Evil (A Chorus Of Resistance),Project 86,2007-01-01,"christian rock,christian alternative rock,nu metal",183373
Zetsubou Billy,MAXIMUM THE HORMONE,2007-03-14,"j-rock,anime,visual kei",224120
Across the Line,Linkin Park,2007-05-14,"nu metal,rap metal,rock,alternative metal",190186
What I've Done,Linkin Park,2007-05-14,"nu metal,rap metal,rock,alternative metal",205226
Bleed It Out,Linkin Park,2007-05-14,"nu metal,rap metal,rock,alternative metal",164426
Hold Your Colour,Pendulum,2007-05-19,"drum and bass,dubstep",328480
Streamline,Pendulum,2007-05-19,"drum and bass,dubstep",323346
The Weekend - Radio Edit,Michael Gray,2007-06-01,disco house,192173
D.A.N.C.E.,Justice,2007-06-11,"french house,new rave",242266
Stress,Justice,2007-06-11,"french house,new rave",298586
That's What You Get,Paramore,2007-06-12,"pop punk,emo",220480
Misery Business,Paramore,2007-06-12,"pop punk,emo",211520
crushcrushcrush,Paramore,2007-06-12,"pop punk,emo",189373
Flashing Lights,Kanye West;Dwele,2007-09-11,"rap,neo soul",237506
Homecoming,Kanye West;Chris Martin,2007-09-11,rap,203493
D.A.N.C.E. - MSTRKRFT Remix,Justice;MSTRKRFT,2007-10-29,"french house,new rave,electroclash,electro house",280106
I Wish I Was Someone Better,Blood Red Shoes,2008,garage rock,227693
Improvise,Jurassic 5,2008,hip hop,223733
Red Mist,Danny Byrd;IK,2008,"drum and bass,liquid funk,jungle,uk drill",304880
Club Beat Internationale,The Body Snatchers,2008,breakbeat,286000
Re-Education (Through Labor),Rise Against,2008-01-01,"punk,hardcore punk",222453
Let It Rock,Kevin Rudolf;Lil Wayne,2008-01-01,"rap,hip hop",231173
Don't Stop,Innerpartysystem,2008-01-01,,282720
Cash Flow,Ace Hood;Rick Ross;T-Pain,2008-01-01,southern hip hop,262066
Feel Good Drag,Anberlin,2008-01-01,"christian rock,christian alternative rock",187853
We Are Rockstars,"Does It Offend You, Yeah?",2008-04-01,"new rave,alternative dance,electroclash",228946
I Wish I Was Someone Better,Blood Red Shoes,2008-04-14,garage rock,227693
Indestructible,Disturbed,2008-04-29,"metal,nu metal,alternative metal,rap metal,hard rock",278026
Propane Nightmares,Pendulum,2008-05-09,"drum and bass,dubstep",313346
To Protect and Entertain (feat. Murs),Busy P. feat. Murs;Busy P;Murs,2008-06-23,"french house,electroclash,underground hip hop,west coast hip hop",184202
Cry for Help,Shinedown,2008-06-23,"post-grunge,alternative metal,rock",200066
Twist the Knife,Evil Nine / Emily Breeze,2008-10-27,,209093
Wannabe in LA,Eagles Of Death Metal,2008-10-28,"stoner rock,garage rock",135853
Disappear,Bullet For My Valentine,2008-12-09,"metalcore,metal",245160
Meet Me Halfway,Black Eyed Peas,2009-01-01,,284373
I Feel Alive,33Hz,2009-01-20,nu disco,303573
Motion Sickness,Call The Cops,2009-02-19,,179840
Gold Guns Girls,Metric,2009-05-02,,245280
Borderline,Adam Freeland;Brody Dalle,2009-06-08,"big beat,breakbeat,riot grrrl",237179
New Divide,Linkin Park,2009-06-12,"nu metal,rap metal,rock,alternative metal",268613
Intro,The xx,2009-08-16,,127920
One Month Off,Bloc Party,2009-08-23,indie rock,218706
Ignorance,Paramore,2009-09-04,"pop punk,emo",218626
Light Up The Night,The Protomen,2009-09-08,,244226
I Can Talk,Two Door Cinema Club,2009-11-23,"indie,indie rock",177470
It Starts,Alex Metric,2009-11-30,,195918
Wonderman (feat. Ellie Goulding),Tinie Tempah;Ellie Goulding,2010,grime,219080
Young Blood,The Naked And Famous,2010,,246600
Starry Eyed,Ellie Goulding,2010-01-01,,176613
Strobe - Radio Edit,deadmau5,2010-01-01,"edm,progressive house,dubstep",214186
Make Me Wanna Die,The Pretty Reckless,2010-01-01,,235653
Everytime We Touch,Cascada,2010-02-12,"europop,eurodance",197124
On Melancholy Hill,Gorillaz,2010-03-03,,233866
Worst Case Scenario,Suff Daddy,2010-04-16,jazz rap,62946
OK Luv,Starkey,2010-04-19,dubstep,240360
Pleasure Points,Starkey,2010-04-19,dubstep,293720
Crush,Pendulum,2010-05-21,"drum and bass,dubstep",253706
The Fountain (feat. Steven Wilson),Pendulum;Steven Wilson,2010-05-21,"drum and bass,dubstep,progressive rock,progressive metal,art rock",300800
Creeping in My Soul,Cryoshell,2010-06-07,,235207
Bye Bye Babylon,Cryoshell,2010-06-07,,276923
Implosionatic,Hot Hot Heat,2010-06-08,garage rock,152213
BORN FREE,M.I.A.,2010-07-12,,247493
Intimate Confessions,Phonat,2010-08-08,"french house,nu disco",216637
Cooler Than Me - Single Mix,Mike Posner;Gigamesh,2010-08-09,"nu disco,french house,indie dance",213293
Bright Lights - Netsky Remix,Die;Interface;William Cartwright,2010-09-19,"drum and bass,liquid funk,jungle,ebm,industrial",289773
Demons,South Central,2010-10-04,"new rave,dubstep",307782
Stronger,Sigma,2010-10-04,drum and bass,324263
Judgement Day,Danny Byrd;Cyantific;I-Kay,2010-10-11,"drum and bass,liquid funk,jungle",303801
Bright Lights Bigger City,CeeLo Green,2010-10-29,,218280
POWER,Kanye West,2010-11-22,rap,292093
"Derezzed - From ""TRON: Legacy""/Score",Daft Punk,2010-12-03,"french house,electronic,electro",104120
Tokyo (Vampires & Wolves),The Wombats,2011,indie,225526
Derezzed - Remixed by The Glitch Mob,Daft Punk;The Glitch Mob,2011-01-01,"french house,electronic,electro,glitch,dubstep",262240
"Rollin' Down The Freeway feat. Kali, Glasses Malone, Termanology",Statik Selektah;Glasses Malone;Termanology,2011-01-01,"boom bap,west coast hip hop,underground hip hop",204150
Leave Everything Behind,Amaranthe,2011-01-01,"symphonic metal,power metal,metal",197853
Promises,NERO,2011-01-01,"dubstep,dub",257386
Help Is On The Way,Rise Against,2011-01-01,"punk,hardcore punk",237480
She Will,Lil Wayne;Drake,2011-01-01,"rap,hip hop",305840
Ghetto Burnin' - Mmmatthias Mix,Phonat,2011-01-02,"french house,nu disco",304645
On The Floor,Jennifer Lopez;Pitbull,2011-04-29,,284866
Capsize,Dels;Joe Goddard;Roots Manuva,2011-05-02,"experimental hip hop,indie soul,trip hop",238706
This Is Gonna Hurt,Sixx:A.M.,2011-05-03,,236293
Daybreak feat. Tasha Baxter - Original Mix,Brookes Brothers;Tasha Baxter,2011-06-06,"drum and bass,liquid funk,jungle,dubstep",254540
Louder (feat. Sian Evans) - Drumsound & Bassline Smith Remix,DJ Fresh;Sian Evans,2011-07-01,"drum and bass,melodic techno,melodic house",271542
Wasting Away,Tonight Alive,2011-07-11,pop punk,170720
Fire in the House,Hard-Fi,2011-08-22,britpop,252586
Allies,Mutemath,2011-09-27,alternative rock,194693
Allies,Mutemath,2011-09-30,alternative rock,194693
Midnight City,M83,2011-10-17,,243960
Champion Sound - Radio Mix,Crystal Fighters,2011-10-24,,205786
The Road,We Are The Ocean,2012,post-hardcore,221323
Afterlife,Amaranthe,2012-01-01,"symphonic metal,power metal,metal",195000
Another Way Out,Hollywood Undead,2012-01-01,"rap rock,rap metal",167666
Hands On The Wheel,ScHoolboy Q;A$AP Rocky,2012-01-01,rap,197800
Where Are Your People?,We Have Band,2012-01-19,"alternative dance,new rave,electroclash",229542
Bubblegum Bitch,MARINA,2012-04-27,,154666
Dark Star,POLIÇA,2012-04-30,,300520
Champagne Showers,Skip The Foreplay,2012-05-01,"metalcore,post-hardcore,screamo",223106
All I Know - M&F's Rolling Out Radio Mix,Matrix & Futurebound;Luke Bingham,2012-05-06,"drum and bass,liquid funk,bassline",195949
Won't Let Go,Downplay,2012-05-29,,176360
Champion,Clement Marfo & the Frontline,2012-07-20,,176911
Stand Tall,Dirty Heads,2012-09-03,"reggae rock,reggae",191280
Nightmare,Set It Off,2012-09-18,,203213
United - L.A.O.S Remix,Our Stolen Theory,2012-09-21,"liquid funk,drum and bass",324000
Hot Right Now (feat. RITA ORA) - Camo & Krooked Remix,DJ Fresh;Rita Ora;Camo & Krooked,2012-09-28,"drum and bass,liquid funk,drumstep,dubstep",271760
Moody's Shuffle,Hideki Naganuma,2012-10-03,japanese vgm,76569
Humming The Bassline,Hideki Naganuma,2012-10-03,japanese vgm,174983
Grace and Glory - B.B.M.H.Mix,Hideki Naganuma,2012-10-03,japanese vgm,227906
Battle Scars (feat. Lupe Fiasco),Guy Sebastian;Lupe Fiasco,2012-10-12,,249977
Celebrate,Kid Rock,2012-11-16,,241320
Breakout,Cryoshell,2012-11-30,,195981
Lootin In London - Edited Version,RDGLDGRN;Angel Haze,2013-01-01,reggae rock,184706
Lootin In London,RDGLDGRN;Angel Haze,2013-01-01,reggae rock,184680
I Am Electric,Heaven's Basement,2013-02-05,,178050
Deeper Deeper,ONE OK ROCK,2013-03-06,"j-rock,j-pop",216453
Absolute Territory,Ken Ashcorp,2013-03-08,,268571
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,2013-04-12,"emo,pop punk",186826
Explore,Kashuks,2013-04-15,,224160
Reach for the Stars,Major Lazer;Wyclef Jean,2013-04-16,moombahton,246826
Sweater Weather,The Neighbourhood,2013-04-22,,240400
Live It Up,Airbourne,2013-05-17,hard rock,265086
Holy Grail,JAŸ-Z;Justin Timberlake,2013-07-04,"hip hop,east coast hip hop,rap",338413
Lonely Girl,Tonight Alive,2013-09-09,pop punk,191139
Sleepwalking,The Chain Gang Of 1974,2013-09-24,,218693
Rap God,Eminem,2013-11-05,"rap,hip hop",363521
Applause,Lady Gaga,2013-11-11,"art pop,pop",212333
Burn,Ellie Goulding,2014-01-01,,231211
Brain,BANKS,2014-01-01,,282316
Beggin For Thread,BANKS,2014-01-01,,249739
West Coast,Lana Del Rey,2014-01-01,,256760
Funky Radio,REM 'N NISCE,2014-01-02,,169195
Black Out Days,Phantogram,2014-02-18,,227160
So High,Doja Cat,2014-03-11,,201573
Let This Go - Original Mix,Fox Stevenson,2014-03-24,"drum and bass,dubstep,drumstep",340114
Final Masquerade,Linkin Park,2014-06-09,"nu metal,rap metal,rock,alternative metal",217613
Until It's Gone,Linkin Park,2014-06-09,"nu metal,rap metal,rock,alternative metal",233240
2 On (feat. ScHoolboy Q),Tinashe;ScHoolboy Q,2014-10-01,alternative r&b,227000
Holy,PVRIS,2014-11-04,,295653
My House,PVRIS,2014-11-04,,242560
Luxury,Azealia Banks,2014-11-07,"ballroom vogue,hip house",168096
Time of Our Lives,Pitbull;Ne-Yo,2014-11-24,,229358
Medicine,Artist Vs Poet,2014-12-16,pop punk,166451
Turbo Killer,Carpenter Brut,2015,"synthwave,darkwave",208972
idfc,blackbear,2015-02-14,,245172
Party Steady,Yea Big & Kid Static;The Mae Shi,2015-04-24,noise rock,143986
Hometown,Twenty One Pilots,2015-05-15,,234946
Polarize,Twenty One Pilots,2015-05-15,,226786
Lean On,Major Lazer;DJ Snake;MØ,2015-06-01,moombahton,176561
Six Shooter,Coyote Kisses,2015-06-01,chillstep,219800
Why We Lose,Cartoon;Jéja;Coleman Trapp,2015-06-11,,197485
Beautiful Now - Dirty South Remix,Zedd;Jon Bellion;Dirty South,2015-06-16,"edm,progressive house",198750
Faneto,Chief Keef,2015-06-16,"chicago drill,drill",206654
Renegades,X Ambassadors,2015-06-30,,195200
Brighter Than the Sun,Brick + Mortar,2015-07-17,,196286
Throne,Bring Me The Horizon,2015-07-24,"metalcore,emo,rock,screamo,post-hardcore",191520
Throne,Bring Me The Horizon,2015-09-11,"metalcore,emo,rock,screamo,post-hardcore",191520
Avalanche,Bring Me The Horizon,2015-09-11,"metalcore,emo,rock,screamo,post-hardcore",262013
Slam,Onyx,2015-09-25,"east coast hip hop,hardcore hip hop,old school hip hop",220026
Sugar (feat. Francesco Yates),Robin Schulz;Francesco Yates,2015-09-25,tropical house,219043
Stealing Time,Extreme Music,2015-09-25,,172714
The Heart of a Graveyard,Demon Hunter,2015-10-30,"christian rock,metal,metalcore",247520
Hydrogenuine,USS (Ubiquitous Synergy Seeker),2015-10-30,,235013
Cry Baby,The Neighbourhood,2015-10-30,,235160
Daddy Issues,The Neighbourhood,2015-10-30,,260163
Stand!,Junior Prom,2016-01-15,,220733
Victorious,Panic! At The Disco,2016-01-15,emo,178600
"Shiki no Uta (From ""Samurai Champloo"")",Sapphire,2016-03-09,anime,289349
Fool for You,Kilter;Micah Jey,2016-03-11,,221500
Fool For You,Kilter;Micah Jey,2016-03-11,,224000
What If I Go? - Single Version,Mura Masa;Bonzai,2016-03-15,uk r&b,200550
Say It,Flume;Tove Lo,2016-04-21,future bass,262521
Say It,Flume;Tove Lo,2016-05-27,future bass,262521
I Can't Go on Without You,KALEO,2016-06-10,,377000
Dark Necessities,Red Hot Chili Peppers,2016-06-17,"funk rock,alternative rock,rock",302000
No Limit Fallacy,Brandon Yates,2016-07-21,,110625
The Wolf,SIAMES,2016-08-02,,186945
Genius,Written by Wolves,2016-10-28,,213777
Too High to Come Down,Blues Saraceno;Stephen R. Bertrand,2016-11-21,"southern gothic,blues rock,country rock,country blues",187145
Aloha,Møme;Merryn Jeann,2016-11-25,,218480
Starboy,The Weeknd;Daft Punk,2016-11-25,"french house,electronic,electro",230453
feel good,jamvvis;Lord Apex,2016-12-24,"breakcore,jungle,jazz rap",243748
What You Deserve,No Resolve,2017-01-06,,250661
We Are,ONE OK ROCK,2017-01-13,"j-rock,j-pop",255400
No Roots,Alice Merton,2017-02-03,,237053
Byte,Martin Garrix;Brooks,2017-04-07,"edm,progressive house,electronica,future house",285089
i miss the old u,blackbear,2017-04-21,,211127
Gravity,Defences,2017-05-26,,188360
Falling in and Out of Numb,ESSEX,2017-06-27,witch house,143431
Crim35,ESSEX,2017-06-27,witch house,175384
What If I Go? (feat. Bonzai),Mura Masa;Bonzai,2017-07-14,uk r&b,195466
Last Resort and Spa,Battle Tapes,2017-07-14,,254269
Fuck Love,XXXTENTACION;Trippie Redd,2017-08-25,"emo rap,melodic rap",146520
Half,PVRIS,2017-08-25,,269560
Scarred Heart,Vexaic,2017-10-16,chillstep,243893
My Hero,MAN WITH A MISSION,2017-11-01,"anime,j-rock,j-pop",263493
The Last Of The Real Ones,Fall Out Boy,2018-01-19,"emo,pop punk",230400
"After The Storm (feat. Tyler, The Creator & Bootsy Collins)","Kali Uchis;Tyler, The Creator;Bootsy Collins",2018-04-06,funk,207454
lovely (with Khalid),Billie Eilish;Khalid,2018-04-19,,200185
92 Explorer,Post Malone,2018-04-27,,211426
When Legends Rise,Godsmack,2018-04-27,"alternative metal,nu metal,hard rock,rap metal,metal",172826
Gonna Love Me,Teyana Taylor,2018-06-23,,166997
Feels Like Summer,Childish Gambino,2018-07-11,,297404
just friends,potsu,2018-07-17,lo-fi,172800
stay sane,Pink Siifu,2018-08-14,experimental hip hop,165493
Burn the House Down,AJR,2018-09-21,,212689
Morph,Twenty One Pilots,2018-10-05,,258853
Mo Bamba,Sheck Wes,2018-10-05,,183906
Moth,Normandie,2018-10-26,,218538
Dead,Normandie,2018-10-26,,236000
YEAH RIGHT,Joji,2018-10-26,,174357
Can't Stop Falling in Love,W O L F C L U B;INDIGO,2018-11-16,"synthwave,synthpop,vaporwave",194400
Raging on a Sunday,Bohnes,2018-11-23,,208880
"Elevate (feat. Denzel Curry, YBN Cordae, SwaVay, Trevor Rich)",DJ Khalil;Denzel Curry;Cordae;SWAVAY;Trevor Rich,2018-12-14,,219400
Gravity Hurts,Cryoshell;Brinck,2018-12-14,dansk pop,271836
Into The Light,Notaker;Karra,2019-01-31,,201340
Power Slam,Paradelous,2019-02-03,synthwave,307746
11 Minutes (with Halsey feat. Travis Barker),YUNGBLUD;Halsey;Travis Barker,2019-02-14,rap rock,239507
365,Zedd;Katy Perry,2019-02-14,"edm,pop",181899
Cheap Love,To the Rats and Wolves,2019-02-22,"metalcore,post-hardcore",225840
Breakfast in Bed,Rayana Jay,2019-03-22,alternative r&b,116059
Cold-Blooded,Zayde Wølf,2019-04-05,,215232
Cringe,Matt Maeson,2019-04-05,,216213
Dead - DnB Version,Normandie,2019-04-26,,246705
Figuratives,MODERNS,2019-04-26,"synthwave,synthpop",208026
By Your Side,Awaken I Am,2019-04-26,"post-hardcore,metalcore",200546
Personal,Emotional Oranges,2019-05-10,indie r&b,225200
Lay Down,Killrude,2019-05-24,,170178
Disco,Surf Curse,2019-06-12,indie,152760
Godless,BANKS,2019-07-12,,190066
Stroke,BANKS,2019-07-12,,206360
Rebels,Call Me Karizma,2019-07-26,,135899
Worth the Fight,No Resolve,2019-08-09,,222133
The Runner,Foals,2019-10-18,indie,261936
What If?,daste.,2019-10-29,,181999
Mama Saturn,Tanerélle,2019-11-02,,218881
Streets,Doja Cat,2019-11-07,,226978
At the Wheel,Colorblind,2019-11-15,,232926
Mesmer,Valiant Hearts,2019-11-15,"post-hardcore,metalcore",281812
Andromeda,LXST CXNTURY,2019-12-26,"drift phonk,phonk,witch house",216882
Sandcastles,Sever,2019-12-26,metalcore,224470
