Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7yqFo6pc3OUXLQzQMKv81V,"Cheap Love","Cheap Love","To the Rats and Wolves",2019-02-22,225840,26,true,61zi52kwvzh9tru5iowg1ufof,2024-12-19T15:27:38Z,"metalcore,post-hardcore","Arising Empire",0.528,0.96,1,-5.42,1,0.0419,0.000802,0,0.248,0.587,134.989,4
spotify:track:0QZPWvrAR4mDtDcLBu1Krv,"Genius","Genius","Written by Wolves",2016-10-28,213777,42,true,61zi52kwvzh9tru5iowg1ufof,2024-12-19T15:27:48Z,"","Written By Wolves Ltd",0.591,0.924,9,-3.561,0,0.0741,0.000564,0,0.314,0.783,135.011,4
spotify:track:0ZSDdEEeZdSnvMzRdPqWkj,"Doctor Doctor","Doctor Doctor","LOWBORN",2023-09-08,165028,40,false,61zi52kwvzh9tru5iowg1ufof,2024-12-19T15:27:53Z,"","LOWBORN",0.712,0.642,1,-5.092,1,0.221,0.0451,0,0.087,0.755,159.968,4
spotify:track:536ZTi6wWJQ2gYXkXnJwVX,"spite","can we start over?","Charlotte Sands",2024-01-24,187596,52,true,61zi52kwvzh9tru5iowg1ufof,2025-01-06T21:41:23Z,"","CS Records",0.709,0.95,9,-4.448,1,0.102,0.00446,0.0182,0.0292,0.862,142.012,4
spotify:track:6CmVcndlvyx31lGp0pTf8n,"What's The Word","With Love And Squalor","We Are Scientists",2005-01-01,197167,22,false,61zi52kwvzh9tru5iowg1ufof,2025-06-08T22:09:07Z,"indie rock","Virgin Records",0.434,0.889,11,-3.885,0,0.101,0.000141,0.0000721,0.0831,0.57,155.967,4
spotify:track:0pH5Zt9YN4dpjqoqKInnLI,"Cash Cow","With Love And Squalor","We Are Scientists",2005-01-01,155888,32,false,61zi52kwvzh9tru5iowg1ufof,2025-06-08T22:09:10Z,"indie rock","Virgin Records",0.413,0.966,0,-4.211,1,0.09,0.000118,0.0000147,0.082,0.435,159.938,4
spotify:track:4Lrq7FuquQHzulLYYSW4xn,"Worth The Wait","With Love And Squalor","We Are Scientists",2005-01-01,163312,25,false,61zi52kwvzh9tru5iowg1ufof,2025-06-08T22:09:18Z,"indie rock","Virgin Records",0.475,0.969,7,-4.512,0,0.124,0.000407,0,0.53,0.424,132.981,4
spotify:track:7nxqCimmjnw1abCnn4RdCP,"Inaction","With Love And Squalor","We Are Scientists",2005-01-01,152142,37,false,61zi52kwvzh9tru5iowg1ufof,2024-12-30T01:39:54Z,"indie rock","Virgin Records",0.407,0.985,9,-4.434,0,0.0782,0.000948,0,0.0576,0.618,161.956,4
spotify:track:37MkbRqfMdO4qlNj7C4Wfa,"The Great Escape","With Love And Squalor","We Are Scientists",2005-01-01,198832,43,true,61zi52kwvzh9tru5iowg1ufof,2025-06-08T22:26:49Z,"indie rock","Virgin Records",0.472,0.925,9,-4.57,1,0.0415,0.000305,0.00000444,0.0755,0.746,146.97,4
spotify:track:0ikbufjXAgnd0OdhCjEBB3,"Brighter Than the Sun","Dropped","Brick + Mortar",2015-07-17,196286,52,false,61zi52kwvzh9tru5iowg1ufof,2025-06-08T23:09:40Z,"","Brick + Mortar, LLC",0.463,0.912,1,-5.008,1,0.24,0.0702,0.0153,0.136,0.346,165.07,4
spotify:track:0Th2xIUJCeGx1YeRR1JEMv,"Don't Say Manhattan","Make an Entrance","All Fires",2023-03-18,248148,37,false,61zi52kwvzh9tru5iowg1ufof,2025-06-11T23:16:42Z,"","All Fires",0.379,0.945,7,-4.27,1,0.0646,0.000837,0.00915,0.33,0.369,162.019,4
spotify:track:6W7rf0mCRfcvz5RpRdwLfm,"I Can Talk","Tourist History","Two Door Cinema Club",2010-02-17,177426,58,false,61zi52kwvzh9tru5iowg1ufof,2025-06-12T01:17:30Z,"indie,indie rock","Glassnote - VMG",0.474,0.752,9,-4.754,0,0.192,0.0000364,0.159,0.532,0.676,163.06,4
spotify:track:0JjbsFhBHLqOrMYNz18Ceo,"Implosionatic","Future Breeds","Hot Hot Heat",2010-06-08,152213,28,false,61zi52kwvzh9tru5iowg1ufof,2025-06-16T15:31:13Z,"garage rock","Dine Alone Music Inc.",0.521,0.98,11,-4.236,0,0.0514,0.000831,0,0.116,0.59,92.295,4
spotify:track:0dt2bECwIUEzWppQLeUqG6,"Tokyo (Vampires & Wolves)","The Wombats Proudly Present... This Modern Glitch (10th Anniversary Edition)","The Wombats",2011,225526,60,false,61zi52kwvzh9tru5iowg1ufof,2025-06-16T18:42:21Z,"indie","Warner Records/14th Floor Records",0.456,0.911,0,-5.52,1,0.0749,0.000898,0,0.37,0.572,146.4,4
spotify:track:5whbAX7oZ7MDlgBplPDkJb,"Lonely Girl","The Other Side","Tonight Alive",2013-09-09,191139,44,false,61zi52kwvzh9tru5iowg1ufof,2025-08-04T02:18:18Z,"pop punk","Sony Music Entertainment",0.412,0.913,7,-3.428,0,0.0473,0.0000681,0,0.0959,0.696,169.962,4
spotify:track:5unvfecPlWyn1NkFpf5YvA,"only wanna dance","only wanna dance","almost monday",2023-02-24,144391,58,false,61zi52kwvzh9tru5iowg1ufof,2025-09-04T19:24:51Z,"","Hollywood Records",0.51,0.915,9,-4.948,1,0.0891,0.000355,0.00701,0.231,0.941,168.965,4
spotify:track:5sl3IBWUqEmoN8LcJPGo4J,"It Starts","It Starts","Alex Metric",2009-11-30,195918,42,false,61zi52kwvzh9tru5iowg1ufof,2025-09-21T15:59:48Z,"","Marine Parade",0.484,0.779,10,-4.454,1,0.0749,0.0013,0.00507,0.0352,0.772,157.978,4
spotify:track:5ZLwbxq5jydIxksfX6ezAn,"Just Tonight","Futures (Deluxe Edition)","Jimmy Eat World",2004,206373,51,false,61zi52kwvzh9tru5iowg1ufof,2025-09-21T16:42:42Z,"emo,pop punk","Interscope",0.393,0.939,8,-3.457,0,0.0963,0.000134,0.000114,0.134,0.694,172.977,4
spotify:track:2S3u18aJF8eExll5dYwSJb,"RATATATA","METAL FORTH","BABYMETAL;Electric Callboy",2025-08-08,217032,67,true,61zi52kwvzh9tru5iowg1ufof,2025-10-09T21:04:41Z,"j-rock,metalcore,metal","Capitol Records",0.566,0.91,5,-4.285,0,0.0732,0.000178,0.000949,0.06,0.667,140.039,4
spotify:track:1m5ObAd05tJCyaueVCTJNm,"Comes in Two","Tranquillity","Munan",2023-09-13,214850,47,false,61zi52kwvzh9tru5iowg1ufof,2025-12-25T22:00:38Z,"","Munan",0.715,0.452,9,-8.963,1,0.0261,0.0845,0.446,0.391,0.7,105.027,4
spotify:track:4PnMSkoydTEsZaIpcRZ4lT,"Chaos","Mutemath","Mutemath",2006-09-26,294973,36,false,61zi52kwvzh9tru5iowg1ufof,2026-02-01T00:15:57Z,"alternative rock","Teleprompt/Warner Records",0.368,0.958,1,-4.463,0,0.117,0.000159,0.000718,0.339,0.541,180.083,4
