Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5PdhTvoNXGQHiNO1pdjiFk,"Gravity Hurts","Gravity Hurts","Cryoshell;Brinck",2018-12-14,271836,42,false,61zi52kwvzh9tru5iowg1ufof,2025-06-29T23:11:32Z,"dansk pop","Cryoshell",0.462,0.858,4,-5.51,0,0.0323,0.00099,0.0015,0.35,0.411,93.009,3
spotify:track:20iFwcnU2ciOKbDF1LUGdv,"Bye Bye Babylon","Cryoshell","Cryoshell",2010-06-07,276923,43,false,61zi52kwvzh9tru5iowg1ufof,2025-06-29T23:11:02Z,"","Cryoshell",0.487,0.88,1,-3.807,0,0.0415,0.000436,0.00000527,0.076,0.278,130.016,4
spotify:track:3fSdTVHwb8ZyiYAFSE00qd,"Deeper Deeper","JINSEI KAKETE BOKU WA","ONE OK ROCK",2013-03-06,216453,21,false,61zi52kwvzh9tru5iowg1ufof,2025-06-03T01:53:41Z,"j-rock,j-pop","Aer-born",0.406,0.966,4,-3.743,0,0.121,0.0000309,0.0000695,0.0586,0.664,158.828,4
spotify:track:0M3adYbGtyRHACP86dey1H,"Throne","That's The Spirit","Bring Me The Horizon",2015-09-11,191520,77,false,61zi52kwvzh9tru5iowg1ufof,2025-06-03T01:54:52Z,"metalcore,emo,rock,screamo,post-hardcore","RCA Records Label",0.426,0.888,0,-3.72,0,0.0987,0.000455,0,0.306,0.387,144.111,4
spotify:track:5JVUosJnL3DYJ4LkR5JJms,"Breakout","Breakout","Cryoshell",2012-11-30,195981,31,false,61zi52kwvzh9tru5iowg1ufof,2025-08-01T23:34:44Z,"","Cryoshell",0.559,0.76,4,-7.242,0,0.0342,0.000894,0.00346,0.109,0.258,117.027,4
spotify:track:6gfUOprNMeD8amncMOSFl0,"Misery","Remade In Misery","Memphis May Fire",2022-06-03,192176,64,false,61zi52kwvzh9tru5iowg1ufof,2025-08-02T00:46:05Z,"metalcore,post-hardcore,screamo","Rise Records",0.431,0.899,1,-2.88,1,0.135,0.000546,0.000432,0.346,0.553,85.019,4
spotify:track:5whbAX7oZ7MDlgBplPDkJb,"Lonely Girl","The Other Side","Tonight Alive",2013-09-09,191139,44,false,61zi52kwvzh9tru5iowg1ufof,2025-08-04T02:18:01Z,"pop punk","Sony Music Entertainment",0.412,0.913,7,-3.428,0,0.0473,0.0000681,0,0.0959,0.696,169.962,4
spotify:track:5Q1sfEJnyGQbc8XmwQzmEh,"Never Take Us Alive","Attics To Eden","Madina Lake",2009,179813,40,false,61zi52kwvzh9tru5iowg1ufof,2025-08-06T16:30:11Z,"post-hardcore","Roadrunner Records",0.265,0.961,2,-2.658,0,0.157,0.00128,0.00000101,0.15,0.271,161.05,4
spotify:track:1XgHX1RQSXq5yxfpxCSJiz,"Nothing Wrong","Futures (Deluxe Edition)","Jimmy Eat World",2004,187266,35,false,61zi52kwvzh9tru5iowg1ufof,2025-10-03T22:43:56Z,"emo,pop punk","Interscope",0.445,0.962,1,-1.899,1,0.106,0.002,0,0.295,0.555,132.599,4
spotify:track:4mL55yuSeFzQmyRO7K2X7G,"Crashed","Daughtry","Daughtry",2006-11-20,210213,43,false,61zi52kwvzh9tru5iowg1ufof,2025-10-04T00:09:06Z,"post-grunge","RCA Records Label",0.452,0.935,11,-3.294,1,0.0549,0.00404,0,0.246,0.58,148.004,4
spotify:track:2S3u18aJF8eExll5dYwSJb,"RATATATA","METAL FORTH","BABYMETAL;Electric Callboy",2025-08-08,217032,67,true,61zi52kwvzh9tru5iowg1ufof,2025-10-09T21:04:46Z,"j-rock,metalcore,metal","Capitol Records",0.566,0.91,5,-4.285,0,0.0732,0.000178,0.000949,0.06,0.667,140.039,4
