Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6Mmph6RF8DAOJR9bt4zHBU,"Restless Mind","Midnight Slipstream","Steven Beddall",2023-10-12,176588,39,false,61zi52kwvzh9tru5iowg1ufof,2025-06-08T23:54:04Z,"","Artlist Original",0.775,0.54,7,-7.177,1,0.0262,0.316,0.447,0.307,0.784,92.011,4
spotify:track:1wo8IQFOntXY40ynj7bOor,"Blood In The Water","Dopamine","Normandie",2024-02-09,214830,42,true,61zi52kwvzh9tru5iowg1ufof,2025-06-11T19:41:13Z,"","Easy Life Records",0.511,0.868,7,-4.202,0,0.0383,0.000517,0.00974,0.1,0.387,92.922,4
spotify:track:0tXzxt3aJcfKu9L5i7tgfK,"Renegade","Reborn","Kavinsky;Cautious Clay",2022-03-25,198760,51,false,61zi52kwvzh9tru5iowg1ufof,2025-06-12T01:13:51Z,"synthwave,french house","Universal Music Division Virgin Records",0.61,0.538,9,-7.428,0,0.0319,0.0385,0,0.0791,0.556,92.022,4
spotify:track:1pDykRJBzvGzGtEFC9yKFM,"Technicolor","Technicolor","Eligator;Iva Rii",2018-11-30,187261,0,false,61zi52kwvzh9tru5iowg1ufof,2025-06-12T01:28:09Z,"","901452 Records DK",0.794,0.444,0,-7.382,1,0.175,0.289,0.00000274,0.101,0.554,140.155,4
spotify:track:12LohWsGyAptv2o25tFPcA,"LOVE ME","LOVE ME","GEN.KLOUD;Gabriel Paris",2021-04-23,204705,42,false,61zi52kwvzh9tru5iowg1ufof,2025-06-12T01:34:36Z,"","Lowly",0.587,0.902,8,-2.506,1,0.049,0.0336,0.000112,0.1,0.0878,102.029,4
spotify:track:0dt2bECwIUEzWppQLeUqG6,"Tokyo (Vampires & Wolves)","The Wombats Proudly Present... This Modern Glitch (10th Anniversary Edition)","The Wombats",2011,225526,60,false,61zi52kwvzh9tru5iowg1ufof,2025-06-16T18:42:22Z,"indie","Warner Records/14th Floor Records",0.456,0.911,0,-5.52,1,0.0749,0.000898,0,0.37,0.572,146.4,4
spotify:track:0q6LuUqGLUiCPP1cbdwFs3,"On Melancholy Hill","Plastic Beach","Gorillaz",2010-03-03,233866,84,false,61zi52kwvzh9tru5iowg1ufof,2025-06-16T18:47:22Z,"","Parlophone UK",0.689,0.739,2,-5.81,1,0.026,0.0000151,0.509,0.064,0.578,120.423,4
spotify:track:050TMrxpzlXGYRDAjnrSp6,"Sleepwalking","Hope For Sale","Chiiild",2021-07-23,165720,44,false,61zi52kwvzh9tru5iowg1ufof,2025-06-17T17:17:09Z,"indie r&b,alternative r&b","Avant Garden PS",0.723,0.715,11,-5.388,0,0.0271,0.0279,0.823,0.24,0.748,120.006,4
spotify:track:6fNaHkjAxP6rI2sZhT7QJn,"Backslide","Clancy","Twenty One Pilots",2024-05-24,180000,68,false,61zi52kwvzh9tru5iowg1ufof,2025-06-26T23:05:09Z,"","Fueled By Ramen",0.684,0.652,3,-6.258,1,0.26,0.128,0,0.0719,0.541,85.104,4
spotify:track:6KEPHBd07H3qlC76DrvrVy,"Rock You (Lenno Remix)","Rock You (Lenno Remix)","Dirty Loops;Lenno",2020-08-07,205440,34,false,61zi52kwvzh9tru5iowg1ufof,2025-06-26T23:12:57Z,"jazz funk,jazz fusion,nu disco","Dirty Loops",0.753,0.84,10,-5.264,0,0.0431,0.00882,0.344,0.275,0.693,125.049,4
spotify:track:1r6qb16NrVY0M70uRmaCYS,"Wonderman (feat. Ellie Goulding)","Disc-Overy","Tinie Tempah;Ellie Goulding",2010,219080,42,false,61zi52kwvzh9tru5iowg1ufof,2025-06-26T23:34:53Z,"grime","Parlophone UK",0.619,0.745,11,-4.801,0,0.13,0.178,0,0.202,0.532,91.969,4
spotify:track:2h0v8VHNMAkFhULu385zYk,"LOVE BITE","LOVE BITE","Dutch Melrose;Ashley Sienna",2025-05-23,158250,44,false,61zi52kwvzh9tru5iowg1ufof,2025-07-31T23:13:30Z,"dark r&b","MADKID RECORDS",0.526,0.801,7,-5.686,0,0.0497,0.00206,0.000131,0.139,0.478,159.975,4
spotify:track:19ItuvrZfTudwC6S5lkDH3,"The Machine","The Machine","Reed Wonder;Aurora Olivas",2023-03-17,192000,75,false,61zi52kwvzh9tru5iowg1ufof,2025-08-01T23:19:42Z,"dark r&b","broke",0.339,0.437,10,-11.554,0,0.0587,0.254,0.00504,0.0742,0.102,99.819,4
spotify:track:2ziD4ISM22kkKI2cGT1U51,"Champion Sound - Radio Mix","Champion Sound","Crystal Fighters",2011-10-24,205786,36,false,61zi52kwvzh9tru5iowg1ufof,2025-08-01T23:30:22Z,"","Different Recordings",0.564,0.792,9,-5.149,0,0.0901,0.00286,0.0000141,0.297,0.51,121.821,4
spotify:track:0vTRzQ8v0ma3FUaHPFllKO,"Dark Star","Give You The Ghost","POLIÇA",2012-04-30,300520,35,false,61zi52kwvzh9tru5iowg1ufof,2025-08-02T00:08:48Z,"","Memphis Industries",0.761,0.75,11,-6.652,0,0.0356,0.0425,0.457,0.0931,0.707,110.004,4
spotify:track:1LAlLBTGBUO0MDA8IbSysd,"Overcompensate","Clancy","Twenty One Pilots",2024-05-24,236000,67,false,61zi52kwvzh9tru5iowg1ufof,2025-08-20T00:52:17Z,"","Fueled By Ramen",0.363,0.891,5,-5.563,0,0.0978,0.00992,0.00183,0.134,0.331,95.089,4
spotify:track:14WYmNQWvR2TTWoRp8t9Ml,"RATATATA","RATATATA","BABYMETAL;Electric Callboy",2024-05-23,216428,67,true,61zi52kwvzh9tru5iowg1ufof,2025-08-27T23:48:08Z,"j-rock,metalcore,metal","Century Media",0.559,0.889,5,-6.284,0,0.0669,0.000269,0.00118,0.083,0.666,140.047,4
spotify:track:3gYy3nywL9QXjYWaMpeHFC,"Be Somebody (feat. Tkay Maidza)","STILL EMO","Emotional Oranges;Tkay Maidza",2023-08-11,141780,0,true,61zi52kwvzh9tru5iowg1ufof,2025-08-31T21:21:07Z,"indie r&b,alternative r&b","Avant Garden",0.873,0.641,2,-7.536,1,0.0909,0.0703,0.0011,0.126,0.67,97.022,4
spotify:track:7nnWIPM5hwE3DaUBkvOIpy,"Drive","Make Yourself","Incubus",1999-10-26,232453,81,false,61zi52kwvzh9tru5iowg1ufof,2025-08-31T22:01:35Z,"nu metal,funk rock,alternative metal,alternative rock","Epic/Immortal",0.645,0.792,4,-7.34,0,0.036,0.0562,0.0121,0.119,0.666,90.565,4
spotify:track:32b20hal2bqBrsQjpcXPJk,"Hydrogenuine","Advanced Basics","USS (Ubiquitous Synergy Seeker)",2015-10-30,235013,32,false,61zi52kwvzh9tru5iowg1ufof,2025-08-31T22:06:03Z,"","Coalition Music (Records)",0.427,0.879,6,-5.141,0,0.0513,0.000625,0.0000415,0.09,0.393,84.962,4
spotify:track:583nKvZJmUVTVFHdIrF6LX,"Broken Belief","The Silence in Between","Bob Moses",2022-03-04,250802,47,false,61zi52kwvzh9tru5iowg1ufof,2025-08-31T22:15:57Z,"","Bob Moses/Domino Recording Company Ltd",0.466,0.919,5,-3.2,0,0.0516,0.0000672,0.038,0.449,0.347,181.982,4
spotify:track:2n1jBz26dVBtSbMvJNjGsu,"Until It's Gone","The Hunting Party","Linkin Park",2014-06-09,233240,59,false,61zi52kwvzh9tru5iowg1ufof,2025-08-31T22:21:06Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.47,0.878,4,-3.391,0,0.0429,0.0172,0.054,0.235,0.322,114.986,4
