Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:63E8fk3JnHd5kEpL29tA8w,"11th Hour","11th Hour","Hailey Knox",2024-03-22,165026,50,false,61zi52kwvzh9tru5iowg1ufof,2025-01-13T17:48:59Z,"","10K Projects",0.657,0.598,7,-7.194,0,0.0337,0.499,0.167,0.517,0.136,124.464,4
spotify:track:0ePc8Rih4qNgRXvhLHIgx4,"Bloom","Bloom","Galdive",2024-03-08,233095,0,false,61zi52kwvzh9tru5iowg1ufof,2025-01-13T17:55:00Z,"indonesian r&b,indonesian indie","Galdive",0.917,0.498,3,-7.449,0,0.0439,0.526,0.0116,0.157,0.691,126.06,4
spotify:track:5ZEq9YuBdFgwAnYmjafWu3,"Quantum Physics","If It Comes Down To It","Ruby Waters",2020-10-16,158810,58,true,61zi52kwvzh9tru5iowg1ufof,2025-01-13T18:28:37Z,"","Wet Records Inc.",0.534,0.334,11,-9.88,0,0.0896,0.238,0.00000161,0.628,0.615,91.086,4
spotify:track:4JhKLjRioxSZ9AkrL8pPcM,"Charismatic","Charismatic","Hailey Knox",2023-05-12,184736,57,false,61zi52kwvzh9tru5iowg1ufof,2025-01-13T19:13:57Z,"","10K Projects",0.627,0.629,10,-7.759,0,0.0659,0.295,0.0751,0.115,0.499,152.076,4
spotify:track:4LHGY9MUZUUUfUGaZ6nQwu,"Sorbet","Sorbet","Galdive",2019-06-21,196956,0,false,61zi52kwvzh9tru5iowg1ufof,2025-01-13T19:18:06Z,"indonesian r&b,indonesian indie","Galdive",0.733,0.448,0,-7.212,1,0.115,0.481,0.0000301,0.11,0.623,78.77,4
spotify:track:60ynsPSSKe6O3sfwRnIBRf,"Streets","Hot Pink","Doja Cat",2019-11-07,226978,85,true,61zi52kwvzh9tru5iowg1ufof,2025-01-14T19:05:15Z,"","Kemosabe Records/RCA Records",0.749,0.463,11,-8.433,1,0.0842,0.21,0.0382,0.338,0.189,90.035,4
spotify:track:37xM5UFUHSVBISEJWTYwvn,"Dreams","Dreams","RUBII",2024-06-07,141220,64,false,61zi52kwvzh9tru5iowg1ufof,2025-01-22T16:08:35Z,"","RUBII",0.756,0.322,4,-14.545,0,0.07,0.228,0.388,0.0872,0.6,136.003,4
spotify:track:6sg284TefDkBpFh0317Agp,"Needs","BB/ANG3L","Tinashe",2023-09-08,146791,56,true,61zi52kwvzh9tru5iowg1ufof,2025-01-22T17:16:50Z,"alternative r&b","Tinashe Music Inc., under exclusive license to Nice Life Recording Company",0.78,0.42,6,-9.218,0,0.1,0.0314,0.0000148,0.118,0.0952,99.024,4
spotify:track:34FhndFs4d8ltOVj8JqN4s,"Jammin","Olive Green","RUBII",2023-03-10,169846,68,false,61zi52kwvzh9tru5iowg1ufof,2025-01-24T14:46:28Z,"","RUBII",0.855,0.383,8,-14.495,0,0.0502,0.494,0.00155,0.101,0.789,130.037,4
spotify:track:2dzdoNUVN8EiJJzfkcfMaY,"Love Again","Love Again","Moon Soul",2024-05-15,144000,7,false,61zi52kwvzh9tru5iowg1ufof,2025-01-24T14:49:29Z,"","Interstellar",0.6,0.708,11,-7.709,1,0.0303,0.201,0.152,0.344,0.556,79.961,4
spotify:track:0exRNWOGsyqrn27HUvqm8C,"Sway","Sway","Galdive",2019-03-15,201818,36,false,61zi52kwvzh9tru5iowg1ufof,2025-01-24T14:52:29Z,"indonesian r&b,indonesian indie","Galdive",0.548,0.737,0,-7.131,1,0.0726,0.12,0.16,0.604,0.375,110.003,4
spotify:local:Ti%C3%ABsto::Walking+On+Clouds:232,"Walking On Clouds","","Tiësto",,232000,0,false,61zi52kwvzh9tru5iowg1ufof,2025-01-24T15:00:03Z,"","undefined",,,,,,,,,,,,
spotify:track:0uU6wpqMrSe8SuIAJNIje9,"Jealousy","Jealousy","RUBII",2024-01-31,173114,68,true,61zi52kwvzh9tru5iowg1ufof,2025-01-24T19:09:08Z,"","RUBII",0.884,0.337,1,-8.355,1,0.125,0.0755,0.0969,0.103,0.964,121.982,4
spotify:track:28P3hD5604xr8ZD2cpSqqV,"Evolution","Evolution","dublon;Deza",2024-07-26,118292,60,false,61zi52kwvzh9tru5iowg1ufof,2025-01-24T19:24:12Z,"jazz house","Délicieuse Records",0.782,0.479,6,-13.367,1,0.313,0.811,0.544,0.176,0.457,122.906,4
