Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4tJi4dodnpJ0MSKj2w6OkP,"Contaminated","III","BANKS",2019-07-12,280680,50,false,61zi52kwvzh9tru5iowg1ufof,2025-05-26T23:19:27Z,"","Harvest Records",0.475,0.322,11,-7.401,0,0.0481,0.732,0.0000086,0.107,0.269,76.604,4
spotify:track:63E8fk3JnHd5kEpL29tA8w,"11th Hour","11th Hour","Hailey Knox",2024-03-22,165026,50,false,61zi52kwvzh9tru5iowg1ufof,2025-05-26T23:20:12Z,"","10K Projects",0.657,0.598,7,-7.194,0,0.0337,0.499,0.167,0.517,0.136,124.464,4
spotify:track:60ynsPSSKe6O3sfwRnIBRf,"Streets","Hot Pink","Doja Cat",2019-11-07,226978,85,true,61zi52kwvzh9tru5iowg1ufof,2025-05-26T23:20:22Z,"","Kemosabe Records/RCA Records",0.749,0.463,11,-8.433,1,0.0842,0.21,0.0382,0.338,0.189,90.035,4
spotify:track:0fj8OHLYnonkhlJsqmK2Cg,"Save Room For Us","Songs For You","Tinashe;MAKJ",2019-11-21,164718,16,false,61zi52kwvzh9tru5iowg1ufof,2025-05-26T23:22:23Z,"alternative r&b,melbourne bounce,big room","Tinashe Music Inc, under exclusive license to Equity Distribution",0.758,0.671,6,-4.768,0,0.0752,0.481,0.0000378,0.313,0.416,112.052,4
spotify:track:5mHdCZtVyb4DcJw8799hZp,"Escapism.","My 21st Century Blues","RAYE;070 Shake",2023-02-03,272373,83,true,61zi52kwvzh9tru5iowg1ufof,2025-05-26T23:22:48Z,"","Human Re Sources",0.538,0.742,2,-5.355,1,0.114,0.138,0.0000467,0.0934,0.25,96.107,4
spotify:track:3vMtiUewPWlK5UsIlE8lIy,"Addicted","Addicted","Jorja Smith",2021-03-10,204174,53,false,61zi52kwvzh9tru5iowg1ufof,2025-05-26T23:23:42Z,"","FAMM",0.453,0.507,2,-10.098,1,0.0519,0.241,0.0107,0.16,0.153,134.023,4
spotify:track:5Y6nVaayzitvsD5F7nr3DV,"West Coast","Ultraviolence (Deluxe)","Lana Del Rey",2014-01-01,256760,84,false,61zi52kwvzh9tru5iowg1ufof,2025-05-26T23:24:04Z,"","Polydor Records",0.527,0.591,6,-7.664,0,0.0396,0.194,0.0194,0.0907,0.461,123.167,4
spotify:track:3gpTmtwDhuWAJhqzZnmmUT,"Rewind","Hallucinogen","Kelela",2015-10-09,238145,50,false,61zi52kwvzh9tru5iowg1ufof,2025-05-26T23:26:35Z,"alternative r&b","Warp Records",0.746,0.419,11,-6.602,1,0.0465,0.0426,0.0000828,0.119,0.225,131.96,4
spotify:track:3rUGC1vUpkDG9CZFHMur1t,"greedy","greedy","Tate McRae",2023-09-15,131872,87,true,61zi52kwvzh9tru5iowg1ufof,2025-06-02T00:18:54Z,"","RCA Records Label",0.749,0.729,6,-3.19,0,0.0321,0.261,0,0.113,0.816,111.004,1
spotify:track:4EivmOT13NMpNSfTKn9p4s,"Like That (feat. Gucci Mane)","Hot Pink","Doja Cat;Gucci Mane",2019-11-07,163167,75,true,61zi52kwvzh9tru5iowg1ufof,2025-05-28T20:04:06Z,"southern hip hop,rap,trap","Kemosabe Records/RCA Records",0.879,0.498,4,-6.027,0,0.18,0.239,0,0.0967,0.405,106.044,4
