Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6GVmXIGRbjI2NeUCL5zLsr,"Bouncin'","333","Tinashe",2021-08-06,175092,17,false,61zi52kwvzh9tru5iowg1ufof,2025-05-19T22:07:38Z,"alternative r&b","Tinashe Music Inc., under exclusive license to Equity Distribution",0.753,0.771,0,-6.44,1,0.0475,0.189,0.000109,0.0712,0.718,83.041,4
spotify:track:60ynsPSSKe6O3sfwRnIBRf,"Streets","Hot Pink","Doja Cat",2019-11-07,226978,85,true,61zi52kwvzh9tru5iowg1ufof,2025-05-19T22:05:39Z,"","Kemosabe Records/RCA Records",0.749,0.463,11,-8.433,1,0.0842,0.21,0.0382,0.338,0.189,90.035,4
spotify:track:5DWlblna0iBMpTvo5cXzdK,"Show Me","Urban Flora","Alina Baraz;Galimatias",2015-05-19,253200,50,false,61zi52kwvzh9tru5iowg1ufof,2025-05-19T22:06:57Z,"","Ultra Records, LLC",0.482,0.623,0,-8.72,0,0.163,0.14,0,0.121,0.217,99.846,4
spotify:track:0MDYvPEc9CFp2vkth6eoOQ,"Belong to You","About Time","Sabrina Claudio",2017-10-05,186000,50,false,61zi52kwvzh9tru5iowg1ufof,2025-05-19T22:07:54Z,"","SC Entertainment",0.57,0.536,10,-10.317,0,0.0552,0.272,0.032,0.34,0.443,152.13,4
spotify:track:2J4T0IOIZjQhLzosKPR2PN,"Gimme","III","BANKS",2019-07-12,219493,47,true,61zi52kwvzh9tru5iowg1ufof,2025-05-19T22:05:55Z,"","Harvest Records",0.762,0.619,2,-5.227,0,0.102,0.501,0.0000219,0.248,0.596,120.022,4
spotify:track:11ZulcYY4lowvcQm4oe3VJ,"Slumber Party (feat. Princess Nokia)","DEMIDEVIL","Ashnikko;Princess Nokia",2021-01-15,178404,72,true,61zi52kwvzh9tru5iowg1ufof,2025-05-19T22:08:20Z,"","Parlophone UK",0.964,0.398,11,-8.981,0,0.0795,0.00151,0.0000395,0.101,0.563,105.012,4
spotify:track:2KXNASNJIOz6VPKMzD44oM,"Lick The Cat","RESILIENCE","Big Boss Vette",2023-07-20,160852,26,true,61zi52kwvzh9tru5iowg1ufof,2025-05-20T00:23:31Z,"","Republic Records",0.88,0.481,11,-7.246,0,0.414,0.0722,0,0.166,0.76,159.921,4
spotify:track:5SixeLvPsYpk7qq9lo5xYg,"Have Mercy","Have Mercy","Chlöe",2021-09-10,148778,65,true,61zi52kwvzh9tru5iowg1ufof,2025-05-19T22:08:58Z,"","Parkwood Entertainment/Columbia",0.903,0.535,9,-6.434,1,0.0742,0.297,0,0.345,0.508,130.022,4
spotify:track:4EivmOT13NMpNSfTKn9p4s,"Like That (feat. Gucci Mane)","Hot Pink","Doja Cat;Gucci Mane",2019-11-07,163167,75,true,61zi52kwvzh9tru5iowg1ufof,2025-05-19T22:09:31Z,"southern hip hop,rap,trap","Kemosabe Records/RCA Records",0.879,0.498,4,-6.027,0,0.18,0.239,0,0.0967,0.405,106.044,4
spotify:track:63E8fk3JnHd5kEpL29tA8w,"11th Hour","11th Hour","Hailey Knox",2024-03-22,165026,50,false,61zi52kwvzh9tru5iowg1ufof,2025-05-20T00:24:00Z,"","10K Projects",0.657,0.598,7,-7.194,0,0.0337,0.499,0.167,0.517,0.136,124.464,4
spotify:track:6bka0NlfgkLUFwcrFLwQYm,"Stranger","Stranger","Hailey Knox",2024-02-09,148273,39,false,61zi52kwvzh9tru5iowg1ufof,2025-05-20T00:24:08Z,"","10K Projects",0.665,0.491,8,-9.314,0,0.0323,0.45,0.0101,0.116,0.476,116.919,4
spotify:track:6Ws7jkhm0j7nTe7Oq4maHD,"Papi Pacify","EP2","FKA twigs",2013-09-17,293910,36,false,61zi52kwvzh9tru5iowg1ufof,2025-05-19T22:09:52Z,"art pop,alternative r&b","Young",0.478,0.602,5,-7.655,0,0.0947,0.0685,0.0273,0.198,0.201,109.379,4
spotify:track:4tJi4dodnpJ0MSKj2w6OkP,"Contaminated","III","BANKS",2019-07-12,280680,50,false,61zi52kwvzh9tru5iowg1ufof,2025-05-19T22:10:16Z,"","Harvest Records",0.475,0.322,11,-7.401,0,0.0481,0.732,0.0000086,0.107,0.269,76.604,4
spotify:track:5TVlcZRCVoJVi9OaDvGxEB,"Unravel Me","About Time","Sabrina Claudio",2017-10-05,245158,58,false,61zi52kwvzh9tru5iowg1ufof,2025-05-19T22:11:08Z,"","SC Entertainment",0.387,0.419,4,-8.803,0,0.183,0.476,0.00179,0.122,0.337,79.211,3
spotify:track:4KVSdwwJ67JHu5s9vIA0zi,"Skin Tight (feat. Steve Lacy)","HYPNOS","Ravyn Lenae;Steve Lacy",2022-05-20,227000,61,false,61zi52kwvzh9tru5iowg1ufof,2025-05-20T00:24:11Z,"alternative r&b,indie soul","Atlantic Records",0.468,0.52,3,-7.964,0,0.0329,0.246,0.00259,0.078,0.46,174.082,3
spotify:track:5YJtMNWKe55yr49cyJgxva,"Everytime We Touch","Everytime We Touch (Premium Edition)","Cascada",2010-02-12,197124,77,false,61zi52kwvzh9tru5iowg1ufof,2025-06-16T16:34:27Z,"europop,eurodance","Zoo Digital",0.633,0.976,8,-5.362,1,0.0519,0.00281,0.0000129,0.382,0.493,142.027,4
spotify:track:56y1jOTK0XSvJzVv9vHQBK,"Paint The Town Red","Scarlet","Doja Cat",2023-09-20,230466,77,true,61zi52kwvzh9tru5iowg1ufof,2025-08-10T21:41:12Z,"","Kemosabe Records/RCA Records",0.864,0.556,2,-7.683,0,0.194,0.255,0.00000385,0.112,0.726,99.974,4
spotify:track:2GGMabyHXnJmjY6CXhhB2e,"Money","Money","Cardi B",2018-10-23,183527,69,true,61zi52kwvzh9tru5iowg1ufof,2025-08-10T22:01:20Z,"","Atlantic/KSR",0.95,0.59,8,-6.508,0,0.29,0.00534,0,0.11,0.219,130.003,4
spotify:track:4v5kAh2wWyCSuKuhMJK8u6,"Long Way 2 Go","Cassie (U.S. Version)","Cassie",2006-08-07,220639,83,false,61zi52kwvzh9tru5iowg1ufof,2025-09-29T01:52:12Z,"","Bad Boy Records",0.589,0.655,8,-8.138,1,0.0488,0.057,0.000353,0.372,0.675,105.272,4
