Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1j6lrR4BzRGKwvAPfrIcbf,"Invaders Must Die","Invaders Must Die","The Prodigy",2009-02-23,295026,59,false,61zi52kwvzh9tru5iowg1ufof,2025-04-06T02:59:58Z,"big beat,breakbeat,hardcore techno","Take Me To The Hospital",0.606,0.9,6,-5.168,1,0.0547,0.000508,0.901,0.112,0.115,140.035,4
spotify:track:144adL7pGHEWRwute2wxzZ,"Omen","Invaders Must Die","The Prodigy",2009-02-23,216026,66,false,61zi52kwvzh9tru5iowg1ufof,2025-04-06T03:00:24Z,"big beat,breakbeat,hardcore techno","Take Me To The Hospital",0.545,0.953,7,-5.172,1,0.0441,0.000941,0.117,0.281,0.558,140.002,4
spotify:track:6hzwfFKrTabeUsW5SWti17,"Crush","Immersion","Pendulum",2010-05-21,253706,60,false,61zi52kwvzh9tru5iowg1ufof,2025-04-06T03:00:39Z,"drum and bass,dubstep","WM UK",0.418,0.906,2,-3.754,1,0.0368,0.0000134,0.0216,0.164,0.164,173.998,4
spotify:track:7wfwhoB3OAzKElXW3tGgrf,"Beautiful Now - Dirty South Remix","Beautiful Now (Dirty South Remix)","Zedd;Jon Bellion;Dirty South",2015-06-16,198750,41,false,61zi52kwvzh9tru5iowg1ufof,2025-04-07T00:07:10Z,"edm,progressive house","Interscope",0.512,0.976,11,-3.247,0,0.063,0.0072,0.00432,0.327,0.109,128.002,4
spotify:track:4UZifG6wVTl3dFIeHKLi8y,"Promises","Welcome Reality","NERO",2011-01-01,257386,58,false,61zi52kwvzh9tru5iowg1ufof,2025-04-07T21:07:11Z,"dubstep,dub","EMI",0.484,0.943,9,-4.364,0,0.0647,0.0000377,0.00452,0.593,0.345,143.933,4
spotify:track:7AQrHrCFMxR29oiPfQzlHJ,"Bright Lights - Netsky Remix","Bright Lights","Die;Interface;William Cartwright",2010-09-19,289773,20,false,61zi52kwvzh9tru5iowg1ufof,2025-04-13T01:35:54Z,"drum and bass,liquid funk,jungle,ebm,industrial","Toolroom Records",0.513,0.84,10,-2.311,0,0.0617,0.052,0,0.152,0.307,88.1,4
spotify:track:0QhtBBXI1dscQvbi6YUM03,"Lay Down","Never Gonna Fail","Killrude",2019-05-24,170178,14,false,61zi52kwvzh9tru5iowg1ufof,2025-04-13T01:36:46Z,"","Epidemic Sound",0.505,0.895,0,-7.911,0,0.0344,0.000338,0.876,0.164,0.39,139.974,4
spotify:track:07T7upGGKKTPNNkUwruJ74,"Stronger","Stand Tall EP Part 2","Sigma",2010-10-04,324263,17,false,61zi52kwvzh9tru5iowg1ufof,2025-04-13T01:37:05Z,"drum and bass","Breakbeat Kaos",0.408,0.849,6,-5.608,0,0.0366,0.000148,0.548,0.604,0.549,175.017,4
spotify:track:20hsdn8oITBsuWNLhzr5eh,"Byte","Byte","Martin Garrix;Brooks",2017-04-07,285089,48,false,61zi52kwvzh9tru5iowg1ufof,2025-04-13T01:37:56Z,"edm,progressive house,electronica,future house","Epic Amsterdam",0.597,0.931,7,-4.026,0,0.0329,0.000636,0.821,0.0593,0.267,128.031,4
spotify:track:68rCrpIePj20MjhZMeJzzT,"Louder (feat. Sian Evans) - Drumsound & Bassline Smith Remix","Louder (Remixes) (feat. Sian Evans)","DJ Fresh;Sian Evans",2011-07-01,271542,22,false,61zi52kwvzh9tru5iowg1ufof,2025-04-13T01:43:20Z,"drum and bass,melodic techno,melodic house","Ministry of Sound Recordings",0.431,0.934,6,-3.171,0,0.0363,0.0000604,0.0021,0.332,0.304,87.513,4
spotify:track:43SHcN3ojxgyysT0Tc6S51,"Hot Right Now (feat. RITA ORA) - Camo & Krooked Remix","Nextlevelism (Deluxe Version)","DJ Fresh;Rita Ora;Camo & Krooked",2012-09-28,271760,26,false,61zi52kwvzh9tru5iowg1ufof,2025-04-13T01:46:45Z,"drum and bass,liquid funk,drumstep,dubstep","Ministry of Sound Recordings",0.442,0.936,4,-3.692,0,0.0625,0.000984,0.0105,0.167,0.354,174.951,4
spotify:track:4Y2glvLjQGOb4dXnwm1hQf,"Witchcraft","Immersion","Pendulum",2010-05-21,252786,63,false,61zi52kwvzh9tru5iowg1ufof,2025-04-14T18:38:36Z,"drum and bass,dubstep","WM UK",0.42,0.969,1,-3.139,1,0.0581,0.0000284,0.00861,0.379,0.182,174.038,4
spotify:track:2wmQfaHp4zbqQkbf5nu5SF,"Why We Lose","Why We Lose","Cartoon;Jéja;Coleman Trapp",2015-06-11,197485,48,false,61zi52kwvzh9tru5iowg1ufof,2025-04-19T01:19:01Z,"","NCS",0.424,0.919,4,-3.175,0,0.0428,0.00119,0.00994,0.329,0.102,174.982,4
spotify:track:1YOdwbhEWfo6NTyHjXohBA,"Judgement Day","Rave Digger","Danny Byrd;Cyantific;I-Kay",2010-10-11,303801,15,false,61zi52kwvzh9tru5iowg1ufof,2025-04-19T01:34:31Z,"drum and bass,liquid funk,jungle","Hospital Records",0.512,0.965,9,-3.981,0,0.0649,0.0593,0.00325,0.3,0.491,86.989,4
spotify:track:538BeNmgwepXoUj4GC7JDZ,"All I Know - M&F's Rolling Out DJ Mix","All I Know EP (feat. Luke Bingham)","Matrix & Futurebound;Luke Bingham",2012-05-06,260730,32,false,61zi52kwvzh9tru5iowg1ufof,2025-04-20T19:38:42Z,"drum and bass,liquid funk,bassline","Metro / Viper Recordings",0.497,0.904,1,-2.564,0,0.0504,0.217,0.0336,0.073,0.811,174.017,4
spotify:track:6KKZMSxKhHiAHpDIWV9fU1,"Glitch In The Simulation (with salem ilese)","Alive","Gryffin;salem ilese",2022-11-04,151030,46,false,61zi52kwvzh9tru5iowg1ufof,2025-04-28T20:29:10Z,"edm,melodic bass,future bass","Darkroom/Interscope Records",0.493,0.866,1,-4.032,0,0.0767,0.163,0.000884,0.245,0.445,139.811,4
spotify:track:36IoogdQKBMpd2Ep2LXnbw,"Cyberwildlife Park","Cyberpunk 2077 - Original Score","Marcin Przybyłowicz",2020-12-11,132093,43,false,61zi52kwvzh9tru5iowg1ufof,2025-05-05T00:54:33Z,"medieval,soundtrack","CD PROJEKT RED",0.456,0.962,2,-7.697,1,0.0548,0.0000158,0.848,0.836,0.445,132.072,3
spotify:track:4lteJuSjb9Jt9W1W7PIU2U,"Derezzed - Remixed by The Glitch Mob","TRON: Legacy Reconfigured","Daft Punk;The Glitch Mob",2011-01-01,262240,47,false,61zi52kwvzh9tru5iowg1ufof,2025-06-01T00:57:32Z,"french house,electronic,electro,glitch,dubstep","Walt Disney Records",0.518,0.527,8,-7.684,1,0.0687,0.0569,0.00263,0.107,0.213,96.995,4
spotify:track:32b20hal2bqBrsQjpcXPJk,"Hydrogenuine","Advanced Basics","USS (Ubiquitous Synergy Seeker)",2015-10-30,235013,32,false,61zi52kwvzh9tru5iowg1ufof,2025-06-01T01:38:24Z,"","Coalition Music (Records)",0.427,0.879,6,-5.141,0,0.0513,0.000625,0.0000415,0.09,0.393,84.962,4
spotify:track:5sldxFuM496Xu7dt6r8Ckl,"Other Side","Selfreflection","AVAION;BUNT.",2024-04-19,206884,67,false,61zi52kwvzh9tru5iowg1ufof,2025-06-02T00:28:26Z,"stutter house,deep house","RCA Local",0.821,0.44,2,-10.612,1,0.0569,0.291,0.0552,0.101,0.179,129.985,4
spotify:track:1LrYRj1iFsm9QJ72YqPTLY,"Changing","Life (Deluxe)","Sigma;Paloma Faith",2015-12-04,205000,61,false,61zi52kwvzh9tru5iowg1ufof,2025-06-02T00:36:20Z,"drum and bass","All Around The World",0.484,0.815,2,-3.833,1,0.0542,0.0997,0,0.164,0.353,171.079,4
