Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1LAlLBTGBUO0MDA8IbSysd,"Overcompensate","Clancy","Twenty One Pilots",2024-05-24,236000,67,false,61zi52kwvzh9tru5iowg1ufof,2025-03-04T22:51:14Z,"","Fueled By Ramen",0.363,0.891,5,-5.563,0,0.0978,0.00992,0.00183,0.134,0.331,95.089,4
spotify:track:2zTMZsS9ORfFg7WLHjM4L7,"Follow","Star of Love","Crystal Fighters",2010-10-24,196493,44,false,61zi52kwvzh9tru5iowg1ufof,2025-03-04T22:54:46Z,"","Different Recordings",0.532,0.771,2,-5.804,1,0.0861,0.43,0.0535,0.0622,0.617,151.972,4
spotify:track:536ZTi6wWJQ2gYXkXnJwVX,"spite","can we start over?","Charlotte Sands",2024-01-24,187596,52,true,61zi52kwvzh9tru5iowg1ufof,2025-03-04T22:51:44Z,"","CS Records",0.709,0.95,9,-4.448,1,0.102,0.00446,0.0182,0.0292,0.862,142.012,4
spotify:track:2YYaIJSMt5qeWPgbPupOWS,"CHOOSE UR FIGHTER (Emeline's Version)","CHOOSE UR FIGHTER (Emeline's Version)","EMELINE",2025-02-05,160942,45,true,61zi52kwvzh9tru5iowg1ufof,2025-03-04T22:52:22Z,"","EMELINE",0.458,0.775,2,-5.865,0,0.239,0.0316,0,0.109,0.557,168.901,4
spotify:track:0oF9jpn0n8afMpbHKgRd6J,"I Ain't Worried","Artificial Paradise (Deluxe)","OneRepublic",2024-07-12,148485,78,false,61zi52kwvzh9tru5iowg1ufof,2025-03-04T22:51:48Z,"soft pop","Mosley Music/Interscope Records",0.713,0.792,0,-5.957,1,0.0467,0.103,0.00052,0.0698,0.81,139.976,4
spotify:track:3fsPD07oy4Desemhtc0N9T,"stay sane","ensley","Pink Siifu",2018-08-14,165493,35,true,61zi52kwvzh9tru5iowg1ufof,2025-03-04T22:52:11Z,"experimental hip hop","Pink Siifu",0.279,0.571,8,-9.218,1,0.107,0.933,0.0000237,0.151,0.607,76.69,4
spotify:track:5AJ9hqTS2wcFQCELCFRO7A,"MILLION DOLLAR BABY","MILLION DOLLAR BABY","Tommy Richman",2024-04-26,155151,83,false,61zi52kwvzh9tru5iowg1ufof,2025-03-04T22:54:04Z,"","PULSE Records",0.852,0.697,1,-5.52,0,0.0439,0.0973,0.00037,0.0678,0.919,138.029,4
spotify:track:3B54sVLJ402zGa6Xm4YGNe,"Unforgettable","Jungle Rules","French Montana;Swae Lee",2017-07-14,233901,88,true,61zi52kwvzh9tru5iowg1ufof,2025-03-16T01:30:21Z,"","Bad Boy Entertainment/Epic Records",0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,4
spotify:track:2k9cIkCVD4zotzFL6xj6hg,"Player Two - From ""Don't Tell Mom The Babysitter's Dead""","Player Two (From ""Don't Tell Mom The Babysitter's Dead"")","Jordan Ward",2024-04-12,158057,56,false,61zi52kwvzh9tru5iowg1ufof,2025-03-18T19:57:46Z,"alternative r&b","ARTium Recordings, LLC/Interscope Records",0.907,0.654,5,-4.259,0,0.0472,0.332,0.000297,0.0285,0.968,131.061,4
spotify:track:63E8fk3JnHd5kEpL29tA8w,"11th Hour","11th Hour","Hailey Knox",2024-03-22,165026,50,false,61zi52kwvzh9tru5iowg1ufof,2025-04-19T20:41:01Z,"","10K Projects",0.657,0.598,7,-7.194,0,0.0337,0.499,0.167,0.517,0.136,124.464,4
