Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6fL8iaSdwmSTQiUv9K6L4h,"Faneto","Back from the Dead 2","Chief Keef",2015-06-16,206654,74,true,61zi52kwvzh9tru5iowg1ufof,2025-02-08T13:59:03Z,"chicago drill,drill","RBC Records",0.849,0.753,1,-7.399,0,0.357,0.346,0,0.0565,0.392,144.188,4
spotify:track:6j196KTSjoRxN9wJ3NztrA,"Ice Cream Truck","Ice Cream Truck","Montana of 300",2017-01-27,261971,47,true,61zi52kwvzh9tru5iowg1ufof,2025-02-08T13:59:25Z,"chicago drill","eOne Music",0.678,0.773,9,-4.935,0,0.0411,0.0609,0,0.238,0.654,132.084,4
spotify:track:722tgOgdIbNe3BEyLnejw4,"Black Skinhead","Yeezus","Kanye West",2013-06-18,188013,74,true,61zi52kwvzh9tru5iowg1ufof,2025-02-08T13:59:42Z,"rap","Rock The World/IDJ/Kanye/LP6",0.766,0.809,1,-6.123,1,0.279,0.0011,0,0.168,0.325,130.127,4
spotify:track:22wKQbMH8n7wZfso2VcLJL,"Opposite of Adults","The Preview","Chiddy Bang",2010-10-01,193706,62,false,61zi52kwvzh9tru5iowg1ufof,2025-02-08T13:59:57Z,"","Parlophone UK",0.677,0.89,6,-5.46,0,0.159,0.0123,0,0.321,0.622,96.009,4
spotify:track:1EoHEkVcysf4WVDx6r9WzQ,"Over","Thank Me Later (Int'l Version)","Drake",2010-01-01,233560,65,true,61zi52kwvzh9tru5iowg1ufof,2025-02-08T14:00:16Z,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.325,0.848,7,-5.611,1,0.279,0.0109,0,0.124,0.433,100.093,5
spotify:track:3B54sVLJ402zGa6Xm4YGNe,"Unforgettable","Jungle Rules","French Montana;Swae Lee",2017-07-14,233901,88,true,61zi52kwvzh9tru5iowg1ufof,2025-02-08T14:00:27Z,"","Bad Boy Entertainment/Epic Records",0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,4
spotify:track:78O33U6jbQtNiNfbkZudpd,"She Will","Tha Carter IV (Explicit Version)","Lil Wayne;Drake",2011-01-01,305840,79,true,61zi52kwvzh9tru5iowg1ufof,2025-02-08T14:00:42Z,"rap,hip hop","CM/Republic",0.364,0.841,8,-4.831,1,0.119,0.000402,0,0.242,0.0841,100.14,5
spotify:track:6j8lAie0mdUNreql5d5Ejz,"Bobby Bitch","Bobby Bitch","Bobby Shmurda",2014-10-14,160383,56,true,61zi52kwvzh9tru5iowg1ufof,2025-02-08T14:01:01Z,"","Epic/GS9",0.921,0.525,11,-8.186,1,0.413,0.0136,0,0.313,0.794,130.747,4
spotify:track:3JJL91ilRV6fXhKqu0FGXs,"HOT WIND BLOWS (feat. Lil Wayne)","CALL ME IF YOU GET LOST","Tyler, The Creator;Lil Wayne",2021-06-25,155292,66,true,61zi52kwvzh9tru5iowg1ufof,2025-02-08T14:01:19Z,"rap,hip hop","Columbia",0.371,0.75,7,-5.382,0,0.402,0.601,0,0.482,0.729,173.456,4
spotify:track:6f44p3Kc4ayD9VtbC9Clkr,"Come On, Let's Go (with Nigo)","I Know NIGO!","Tyler, The Creator;Nigo",2022-03-25,199500,48,true,61zi52kwvzh9tru5iowg1ufof,2025-02-08T14:01:34Z,"","Victor Victor Worldwide",0.732,0.734,11,-7.968,1,0.0974,0.136,0.000901,0.165,0.488,145.722,4
spotify:track:35QGdv6aFbIaLM0Ozr3rHt,"B.M.F. (Blowin' Money Fast)","Teflon Don","Rick Ross;Styles P",2010-01-01,250306,59,true,61zi52kwvzh9tru5iowg1ufof,2025-02-08T14:02:25Z,"southern hip hop,east coast hip hop","Def Jam Recordings",0.72,0.863,2,-4.226,1,0.0562,0.0174,0,0.178,0.363,139.98,4
spotify:track:3hQCHzkE5oSA3F1xM8bpcM,"Hustlin'","Port Of Miami","Rick Ross",2006-01-01,254093,70,true,61zi52kwvzh9tru5iowg1ufof,2025-02-08T14:02:39Z,"southern hip hop","Def Jam Recordings",0.502,0.652,9,-7.224,1,0.3,0.0848,0,0.0675,0.648,136.08,4
spotify:track:4GVD0FIBo08FSAy3tbIY7g,"Pop That","Excuse My French (Deluxe)","French Montana;Rick Ross;Drake;Lil Wayne",2013-01-01,303533,48,true,61zi52kwvzh9tru5iowg1ufof,2025-02-08T14:03:00Z,"southern hip hop,rap,hip hop","Bad Boy / Interscope",0.734,0.892,2,-1.856,1,0.125,0.0648,0,0.58,0.605,138.031,4
