Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0eJcdUfXlvMCZq8ElHWHRH,"Keep up with Us","Deafening","Solence",2021-09-10,272080,26,true,61zi52kwvzh9tru5iowg1ufof,2024-12-13T14:02:04Z,"","Solence",0.386,0.904,4,-5.11,0,0.194,0.0000957,0.00792,0.121,0.52,126.903,4
spotify:track:4qn2rc3Y91HUSCzC61z6qa,"Blackout","Direction","Solence",2020-08-13,200904,53,true,61zi52kwvzh9tru5iowg1ufof,2024-12-13T14:05:17Z,"","Solence",0.451,0.889,5,-6.885,0,0.117,0.000217,0,0.107,0.512,171.154,4
spotify:track:36KatZRHPAqrkpESPwxMeE,"Won't Let Go","Radiocalypse","Downplay",2012-05-29,176360,44,true,61zi52kwvzh9tru5iowg1ufof,2024-12-13T14:07:46Z,"","Downplay",0.515,0.83,10,-4.802,0,0.0342,0.000112,0.000037,0.101,0.749,138.989,4
spotify:track:7yqFo6pc3OUXLQzQMKv81V,"Cheap Love","Cheap Love","To the Rats and Wolves",2019-02-22,225840,26,true,61zi52kwvzh9tru5iowg1ufof,2024-12-13T14:11:13Z,"metalcore,post-hardcore","Arising Empire",0.528,0.96,1,-5.42,1,0.0419,0.000802,0,0.248,0.587,134.989,4
spotify:track:7G3DDXpodu9WxbytlnOX1X,"Set Me Off","Race to the End","DAMN NATION",2021-04-08,226645,21,false,61zi52kwvzh9tru5iowg1ufof,2024-12-13T16:43:38Z,"","Damn Nation",0.508,0.896,5,-6.748,0,0.0646,0.000024,0.0479,0.212,0.748,147.957,4
spotify:track:24mhMOPALo3gX53uGnh4tj,"Selfish Age","Selfish Age","As Lions",2017-01-20,189336,30,false,61zi52kwvzh9tru5iowg1ufof,2024-12-13T16:52:30Z,"","Endurance Music Group",0.474,0.942,11,-3.819,0,0.0545,0.000489,0,0.459,0.685,159.927,4
spotify:track:2tQipNICPYzDle4gBXHJUx,"Uncomfortably Numb","Uncomfortably Numb","Everrest",2021-08-12,237243,28,false,61zi52kwvzh9tru5iowg1ufof,2024-12-13T17:02:53Z,"","1707556 Records DK2",0.429,0.978,4,-2.794,0,0.186,0.000218,0,0.141,0.231,155.027,4
spotify:track:1Ec2WXgr9fYRfejT6StOeS,"Maniac","Maniac","Rising Insane",2020-06-26,235778,38,false,61zi52kwvzh9tru5iowg1ufof,2024-12-13T17:15:32Z,"metalcore","Long Branch Records",0.477,0.829,1,-6.545,1,0.0641,0.00000906,0.000917,0.105,0.638,83.513,4
spotify:track:7lQeIeQFcqPnJpGICPBX1y,"Night City Aliens","Cyberpunk 2077: Radio, Vol. 1 (Original Soundtrack)","The Armed;Homeschool Dropouts",2020-12-11,204740,49,false,61zi52kwvzh9tru5iowg1ufof,2024-12-16T21:43:04Z,"mathcore,noise rock","Lakeshore Records",0.392,0.991,7,-4.905,0,0.105,0.00000443,0.938,0.0867,0.0625,93.468,4
spotify:track:0QZPWvrAR4mDtDcLBu1Krv,"Genius","Genius","Written by Wolves",2016-10-28,213777,42,true,61zi52kwvzh9tru5iowg1ufof,2024-12-19T15:04:29Z,"","Written By Wolves Ltd",0.591,0.924,9,-3.561,0,0.0741,0.000564,0,0.314,0.783,135.011,4
spotify:track:0ZSDdEEeZdSnvMzRdPqWkj,"Doctor Doctor","Doctor Doctor","LOWBORN",2023-09-08,165028,40,false,61zi52kwvzh9tru5iowg1ufof,2024-12-19T15:25:05Z,"","LOWBORN",0.712,0.642,1,-5.092,1,0.221,0.0451,0,0.087,0.755,159.968,4
spotify:track:7nxqCimmjnw1abCnn4RdCP,"Inaction","With Love And Squalor","We Are Scientists",2005-01-01,152142,37,false,61zi52kwvzh9tru5iowg1ufof,2024-12-30T01:39:50Z,"indie rock","Virgin Records",0.407,0.985,9,-4.434,0,0.0782,0.000948,0,0.0576,0.618,161.956,4
spotify:track:31jCmKivGbsLGLPaGfDgt9,"Awakening","Inguz","Normandie",2016-12-02,191546,40,false,61zi52kwvzh9tru5iowg1ufof,2025-01-12T22:55:06Z,"","Easy Life Records",0.303,0.914,1,-3.128,1,0.109,0.0000488,0.000109,0.151,0.574,120.753,3
spotify:track:7umXUCAIdrZtkMyj2EQo9O,"Calling You Out","The Alternative: Calling You Out","The Alternative",2015-05-29,187169,2,false,61zi52kwvzh9tru5iowg1ufof,2025-01-12T23:03:35Z,"","Warner Chappell Production Music",0.296,0.949,11,-5.406,0,0.116,0.0000116,0.581,0.632,0.486,81.652,4
spotify:track:0UY4FvG4f9JI6kBR1BlWrZ,"That's What You Get","Riot!","Paramore",2007-06-12,220480,72,false,61zi52kwvzh9tru5iowg1ufof,2025-01-13T17:18:04Z,"pop punk,emo","Atlantic Records UK",0.528,0.831,8,-3.607,1,0.0429,0.0000943,0,0.141,0.632,131.094,3
spotify:track:3WY0iazRPHOlIq6CdbKLZ6,"Backlight","UTA'S SONGS ONE PIECE FILM RED","Ado",2022-08-10,237666,68,false,61zi52kwvzh9tru5iowg1ufof,2025-01-13T17:24:02Z,"j-pop,anime,vocaloid,j-rock","Universal Music LLC",0.564,0.896,10,-3.875,0,0.108,0.000387,0.00000817,0.374,0.713,145.023,4
spotify:track:4iLRzDTNc3NbTyQ0w5cAOd,"Collapse","Saosin","Saosin",2006-01-01,195186,54,false,61zi52kwvzh9tru5iowg1ufof,2025-01-15T12:36:47Z,"post-hardcore,screamo,emo","Capitol Records",0.444,0.972,2,-4.056,0,0.0778,0.000328,0.000192,0.356,0.123,91.382,4
spotify:track:5QieHu5OR3DRrvgpuBuxgQ,"Make an Entrance","Make an Entrance","All Fires",2021-06-22,187000,45,false,61zi52kwvzh9tru5iowg1ufof,2025-01-15T22:36:25Z,"","All Fires",0.379,0.987,9,-3.59,0,0.0838,0.0000153,0.00109,0.525,0.567,160.082,4
spotify:track:7JOFwNkKA7b3OS2pWaDRly,"My Dream, My Agony","This Should Have Been a Better Place","Sever",2022-05-26,244695,36,false,61zi52kwvzh9tru5iowg1ufof,2025-01-17T12:52:16Z,"metalcore","SEVER",0.503,0.893,4,-5.564,0,0.053,0.00128,0.0000393,0.161,0.256,115.047,4
spotify:track:4GMeXBVHkkD9abb0pIs43t,"Jericho","Dark & Beautiful Secrets","Normandie",2021-02-19,214436,36,false,61zi52kwvzh9tru5iowg1ufof,2025-01-17T19:30:24Z,"","Easy Life Records",0.502,0.852,7,-3.78,0,0.0487,0.00198,0,0.199,0.664,140.018,4
spotify:track:6dx9Qs2LldkDNd7LikQHyr,"Mesmer","Odyssey","Valiant Hearts",2019-11-15,281812,31,false,61zi52kwvzh9tru5iowg1ufof,2025-01-29T01:22:19Z,"post-hardcore,metalcore","Valiant Hearts",0.298,0.978,5,-2.108,0,0.11,0.000242,0,0.225,0.167,159.881,4
spotify:track:5NkaHk1OAChUpv8R6JqGuV,"Firefly","Survive","Stratovarius",2022-09-23,218866,34,false,61zi52kwvzh9tru5iowg1ufof,2025-01-29T01:23:23Z,"power metal,symphonic metal,speed metal,metal,progressive metal,heavy metal","earMUSIC",0.489,0.986,5,-4.449,0,0.126,0.0000393,0.00000273,0.281,0.346,138.062,4
spotify:track:79tdMj9tzlO9IHd916Wg0o,"Death Battle: Hedge of Tomorrow","Death Battle: Hedge of Tomorrow","Brandon Yates;Logan Adams",2022-10-02,201299,31,false,61zi52kwvzh9tru5iowg1ufof,2025-01-29T01:24:01Z,"","Death Battle Music",0.274,0.943,1,-7.507,1,0.0713,0.00000494,0.931,0.227,0.296,87.346,4
spotify:track:0DJlwA89Xc3Noc5PR9RJbe,"Behind Closed Doors","The Sufferer & The Witness","Rise Against",2006-01-01,195120,60,false,61zi52kwvzh9tru5iowg1ufof,2025-01-30T19:58:04Z,"punk,hardcore punk","Geffen",0.338,0.979,10,-3.548,0,0.0958,0.0006,0.000151,0.225,0.558,195.136,4
spotify:track:6wqJeItl3Vc3az4ZicSQAB,"Before I Forget","Vol. 3: The Subliminal Verses (Special Edition)","Slipknot",2004,278600,80,false,61zi52kwvzh9tru5iowg1ufof,2025-02-08T14:08:53Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.291,0.974,6,-2.997,0,0.171,0.0177,0.00000544,0.886,0.348,134.724,4
spotify:track:0UgHw2x3Nnocajvx62noEn,"Living for the Weekend","Stars Of CCTV","Hard-Fi",2005-07-12,222293,55,false,61zi52kwvzh9tru5iowg1ufof,2025-02-08T14:25:23Z,"britpop","Atlantic Records UK",0.516,0.854,8,-3.936,1,0.0572,0.0000204,0.0032,0.226,0.534,130.02,4
spotify:track:3l9CW99AHtExIRV4hW2N5m,"Misery Business","Riot!","Paramore",2007-06-12,211520,78,false,61zi52kwvzh9tru5iowg1ufof,2025-02-16T01:00:26Z,"pop punk,emo","Atlantic Records UK",0.517,0.906,1,-3.677,1,0.0735,0.00272,0.00000926,0.113,0.731,172.977,4
spotify:track:3XurIE0l1l09XBxWmr4ubL,"Zetsubou Billy","Bu-ikikaesu","MAXIMUM THE HORMONE",2007-03-14,224120,55,false,61zi52kwvzh9tru5iowg1ufof,2025-02-22T21:15:51Z,"j-rock,anime,visual kei","33cjl./VAP",0.282,0.913,3,-1.995,0,0.0656,0.00283,0.00402,0.292,0.461,90.403,4
spotify:track:61mWefnWQOLf90gepjOCb3,"Duality","Vol. 3: The Subliminal Verses (Special Edition)","Slipknot",2004,252613,84,false,61zi52kwvzh9tru5iowg1ufof,2025-02-23T03:00:02Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.354,0.982,4,-3.026,0,0.168,0.000237,0.000294,0.204,0.194,143.772,4
spotify:track:18FZroh5YcRCFDMEh65l08,"Bundy","Pheromones","Animal Alpha",2005-09-05,226480,45,false,61zi52kwvzh9tru5iowg1ufof,2025-03-12T01:44:56Z,"norsk rock","Racing Junior",0.46,0.891,8,-4.732,1,0.0651,0.00021,0.576,0.154,0.302,147.478,4
spotify:track:5tlOLPApvNHnaNWxJKEPBu,"Too High to Come Down","Garage Pop 2","Blues Saraceno;Stephen R. Bertrand",2016-11-21,187145,1,false,61zi52kwvzh9tru5iowg1ufof,2025-03-14T11:58:13Z,"southern gothic,blues rock,country rock,country blues","Extreme Music",0.422,0.921,9,-3.368,1,0.0784,0.00315,0.555,0.163,0.592,170.125,4
spotify:track:75Ub3ckaoTdzgH9Azeu8cY,"Evil (A Chorus Of Resistance)","Rival Factions","Project 86",2007-01-01,183373,38,false,61zi52kwvzh9tru5iowg1ufof,2025-03-15T01:34:28Z,"christian rock,christian alternative rock,nu metal","Tooth & Nail (TNN)",0.486,0.927,2,-4.845,0,0.0428,0.00000295,0.0145,0.0952,0.377,135.54,4
spotify:track:7q8mDAflIQj8CsRWsHcMhE,"Ride","Presence","Presence",2006-10-24,169013,27,false,61zi52kwvzh9tru5iowg1ufof,2025-03-22T23:23:48Z,"nu metal,rap metal,italo disco","Curb Records",0.44,0.892,0,-4.439,1,0.0351,0.0000747,0,0.337,0.863,170.071,4
spotify:track:4tSBgZd6G68rpkC6iDXkeH,"Ignorance","Ignorance","Paramore",2009-09-04,218626,34,false,61zi52kwvzh9tru5iowg1ufof,2025-04-27T13:27:21Z,"pop punk,emo","Fueled By Ramen/ADA/ATL",0.522,0.964,11,-2.645,0,0.095,0.00109,0.000389,0.0387,0.51,170.944,4
spotify:track:1L4PKw55tcvQDgl3AYjJZ9,"Motion Sickness","Motion Sickness EP","Call The Cops",2009-02-19,179840,24,false,61zi52kwvzh9tru5iowg1ufof,2025-05-03T04:36:40Z,"","This Is Noise",0.42,0.957,11,-2.341,1,0.163,0.0108,0,0.269,0.802,170.059,4
spotify:track:6IbnUaczZBT34DhaD6S18F,"Bubblegum Bitch","Electra Heart (Deluxe)","MARINA",2012-04-27,154666,81,true,61zi52kwvzh9tru5iowg1ufof,2025-05-08T15:27:33Z,"","Atlantic Records UK",0.495,0.856,0,-5.123,0,0.0311,0.000219,0,0.103,0.609,158.024,4
spotify:track:0C80GCp0mMuBzLf3EAXqxv,"Shoot to Thrill","Back In Black","AC/DC",1980-07-25,318231,78,false,61zi52kwvzh9tru5iowg1ufof,2025-05-12T01:38:46Z,"rock,hard rock,classic rock,rock and roll","Columbia",0.457,0.904,2,-5.303,1,0.0747,0.000239,0.0879,0.396,0.48,141.038,4
spotify:track:7FAYrGsnumpJ7HeOGI2gqk,"Turn up the Trouble (Mr. Kennedy)","WWE: The Music, Vol. 8","WWE;Airbourne",2008-03-24,193906,25,false,61zi52kwvzh9tru5iowg1ufof,2025-05-12T01:41:20Z,"hard rock","WWE, Inc.",0.551,0.778,2,-13.616,1,0.0443,0.000014,0.732,0.141,0.727,148.023,4
spotify:track:0Puj4YlTm6xNzDDADXHMI9,"Sabotage","Ill Communication","Beastie Boys",1994-05-23,178440,75,true,61zi52kwvzh9tru5iowg1ufof,2025-05-12T01:53:48Z,"rap rock,old school hip hop,east coast hip hop,hip hop","Capitol Records",0.324,0.938,6,-7.332,0,0.102,0.032,0.0321,0.0961,0.543,168.131,4
spotify:track:38ZxNM3yuiHe7fgNdJ3iRW,"Don't Hold Back","Questions And Answers","The Sleeping",2006-05-30,272786,47,false,61zi52kwvzh9tru5iowg1ufof,2025-05-12T02:04:27Z,"post-hardcore","Victory Records",0.379,0.901,8,-5.082,0,0.156,0.000294,0.00000735,0.0773,0.62,167.702,4
spotify:track:4Lrq7FuquQHzulLYYSW4xn,"Worth The Wait","With Love And Squalor","We Are Scientists",2005-01-01,163312,25,false,61zi52kwvzh9tru5iowg1ufof,2025-05-29T23:14:50Z,"indie rock","Virgin Records",0.475,0.969,7,-4.512,0,0.124,0.000407,0,0.53,0.424,132.981,4
spotify:track:3RAFcUBrCNaboRXoP3S5t1,"Psychosocial","All Hope Is Gone (10th Anniversary)","Slipknot",2008-08-20,284120,81,false,61zi52kwvzh9tru5iowg1ufof,2025-06-02T00:05:59Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.568,0.981,2,-3.889,1,0.0887,0.00269,0.00275,0.0243,0.307,135.146,4
spotify:track:6FueEXhbkgLmuabUZ6FR3A,"Sick","I Am Icarus","Man The Mighty",2013-05-14,195554,7,false,61zi52kwvzh9tru5iowg1ufof,2025-06-03T01:41:18Z,"","FRET12 Records",0.307,0.91,6,-4.788,0,0.0824,0.00114,0.00000581,0.364,0.609,185.118,4
spotify:track:0dNWtbATrvd3Ec1DnuboOo,"I Missed Out","Brain Candy","Hockey Dad",2020-07-31,213447,44,false,61zi52kwvzh9tru5iowg1ufof,2025-06-03T01:41:47Z,"surf rock","BMG Rights Management (Australia) Pty Ltd.",0.298,0.963,10,-3.881,0,0.0712,0.000146,0.00000141,0.174,0.308,86.187,4
