Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2G8tfTExxzpRKssKzKwDYV,"Simple And Clean","COLORS","Hikaru Utada",2003-01-29,300760,59,false,61zi52kwvzh9tru5iowg1ufof,2025-11-26T01:14:06Z,"j-pop,j-r&b,anime","Universal Music LLC",0.592,0.885,5,-4.201,0,0.0489,0.047,0.000134,0.348,0.548,88.012,4
spotify:track:42qNWdLKCI41S4uzfamhFM,"Duvet","Twilight","bôa",2001-03-21,203600,86,false,61zi52kwvzh9tru5iowg1ufof,2025-11-26T01:14:18Z,"","Nettwerk Music Group",0.583,0.888,11,-9.414,0,0.0349,0.191,0.0000458,0.0936,0.706,93.206,4
spotify:track:7hzm68uGbxcvQY9FAtpk2s,"battlecry","samurai champloo music record departure","Nujabes;Shing02",2004-06-23,202066,59,false,61zi52kwvzh9tru5iowg1ufof,2025-11-26T01:15:24Z,"jazz rap,j-rap","Victor",0.712,0.77,0,-10.171,1,0.138,0.699,0.00000212,0.0994,0.781,97.998,4
spotify:track:2wf75LSz6tf7gNgdTd0XCG,"Shiki no Uta (Single)","imagine [Deluxe Edition] (2024 Remaster)","MINMI",2024-07-03,302000,50,false,61zi52kwvzh9tru5iowg1ufof,2025-11-26T01:15:42Z,"j-r&b","Victor",0.519,0.706,10,-7.373,0,0.0436,0.0892,0.0123,0.111,0.679,92.555,4
spotify:track:2Lumsra3kuU61wXkEKzKaK,"Disco","Disco","Surf Curse",2019-06-12,152760,79,false,61zi52kwvzh9tru5iowg1ufof,2025-12-06T17:15:17Z,"indie","Surf Curse",0.473,0.621,11,-8.698,0,0.0291,0.0253,0.000366,0.19,0.782,173.083,4
spotify:track:2SufAz8tnLFegXflJCNT9K,"The Night (I Wanna Know)","The Night (I Wanna Know)","Quentyn",2025-11-07,155883,53,false,61zi52kwvzh9tru5iowg1ufof,2025-12-06T17:15:52Z,"synthpop,indie dance,indie electronic,french indie pop,progressive house,electropop","Enroute Records",0.445,0.695,1,-6.492,0,0.029,0.0111,0.0374,0.22,0.396,143.913,4
spotify:track:4hEpfRem37hLFT8ldr78Mx,"Scream Drive Faster","Scream Drive Faster","LAUREL",2020-08-11,240666,61,false,61zi52kwvzh9tru5iowg1ufof,2025-12-06T17:22:40Z,"","Communion Records",0.626,0.706,0,-5.145,0,0.0316,0.0208,0,0.0494,0.699,129.985,4
spotify:track:02ypv5cnkwTGBCMfhpRT86,"Stand Tall","Any Port in a Storm (Special Edition)","Dirty Heads",2012-09-03,191280,61,true,61zi52kwvzh9tru5iowg1ufof,2025-12-16T21:16:31Z,"reggae rock,reggae","Endurance Music Group",0.709,0.75,9,-6.519,0,0.095,0.311,0,0.344,0.824,158.088,4
spotify:track:7nnWIPM5hwE3DaUBkvOIpy,"Drive","Make Yourself","Incubus",1999-10-26,232453,81,false,61zi52kwvzh9tru5iowg1ufof,2025-12-16T21:18:35Z,"nu metal,funk rock,alternative metal,alternative rock","Epic/Immortal",0.645,0.792,4,-7.34,0,0.036,0.0562,0.0121,0.119,0.666,90.565,4
spotify:track:0SKjqIViHaXWhmaKuJbMrq,"Sound Of The Underground","Sound Of The Underground","Girls Aloud",2003-01-01,221426,61,false,61zi52kwvzh9tru5iowg1ufof,2025-12-16T21:21:13Z,"","Polydor Records",0.568,0.867,11,-5.861,1,0.0365,0.00344,0.0000467,0.328,0.88,163.944,4
