Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3TTfJWuWugsdbroEhudsOg,"Let Mom Sleep","Jet Set Radio SEGA Original Tracks","Hideki Naganuma",2012-10-03,170976,16,false,garretvoorhees,2017-02-11T06:00:30Z,"japanese vgm","セガ",0.878,0.933,1,-6.094,1,0.204,0.0502,0.269,0.67,0.782,136.246,4
spotify:track:7wbRSCVpZuZP6XWyQrnrDa,"Humming The Bassline","Jet Set Radio SEGA Original Tracks","Hideki Naganuma",2012-10-03,174983,13,false,garretvoorhees,2017-02-11T06:00:30Z,"japanese vgm","セガ",0.777,0.637,11,-6.579,0,0.319,0.0177,0.00779,0.132,0.89,196.068,4
spotify:track:3sWIu5t5Wgi55TprZuIAxs,"That's Enough","Jet Set Radio SEGA Original Tracks","Hideki Naganuma",2012-10-03,224001,11,false,garretvoorhees,2017-02-11T06:00:30Z,"japanese vgm","セガ",0.813,0.874,8,-7.805,0,0.0772,0.0372,0.0186,0.102,0.698,110.002,4
spotify:track:37YtHOpQP7hOIFzWcK9jeg,"Everybody Jump Around","Jet Set Radio SEGA Original Tracks","Richard Jacques",2012-10-03,249014,9,false,garretvoorhees,2017-02-11T06:00:30Z,"japanese vgm","セガ",0.872,0.8,1,-5.094,0,0.209,0.016,0.458,0.29,0.703,107.024,4
spotify:track:1gmtfgxBXMkRoTk7mNuJ9K,"Sneakman","Jet Set Radio SEGA Original Tracks","Hideki Naganuma",2012-10-03,231129,15,false,garretvoorhees,2017-02-11T06:00:30Z,"japanese vgm","セガ",0.747,0.93,7,-5.274,1,0.141,0.0431,0.468,0.365,0.566,154.984,4
spotify:track:0nXKLF1ce6fDIOv7EBCl7t,"Sweet Soul Brother","Jet Set Radio SEGA Original Tracks","Hideki Naganuma",2012-10-03,175560,10,false,garretvoorhees,2017-02-11T06:00:30Z,"japanese vgm","セガ",0.62,0.94,7,-5.743,1,0.101,0.0586,0.909,0.951,0.926,139.993,4
spotify:track:4Xy8Hk1fbxdR6HoRzyiIsl,"Rock It On","Jet Set Radio SEGA Original Tracks","Hideki Naganuma",2012-10-03,224931,9,false,garretvoorhees,2017-02-11T06:00:30Z,"japanese vgm","セガ",0.589,0.982,2,-4.541,1,0.0769,0.102,0.374,0.735,0.884,132.041,4
spotify:track:13q2SC8E8LvPmyddOkgyfS,"Electric Tooth Brush","Jet Set Radio SEGA Original Tracks","Toronto",2012-10-03,255369,8,false,garretvoorhees,2017-02-11T06:00:30Z,"","セガ",0.787,0.988,1,-9.028,0,0.0656,0.000728,0.889,0.0173,0.879,129.992,4
spotify:track:1jpA3eBkEAzXv3sun7KcBV,"Moody's Shuffle","Jet Set Radio SEGA Original Tracks","Hideki Naganuma",2012-10-03,76569,7,false,garretvoorhees,2017-02-11T06:00:30Z,"japanese vgm","セガ",0.84,0.839,10,-8.825,0,0.0586,0.0158,0.946,0.296,0.377,93.076,4
spotify:track:6zE42N4Sel7Cx8XrCXQJqE,"Grace and Glory","Jet Set Radio SEGA Original Tracks","Hideki Naganuma",2012-10-03,196882,6,false,garretvoorhees,2017-02-11T06:00:30Z,"japanese vgm","セガ",0.545,0.86,10,-6,0,0.0943,0.0232,0.000843,0.0925,0.694,134.768,4
spotify:track:4JaJuGSfhcA7kavdgS3yn6,"Dragula","Best Of/20th Century","Rob Zombie",2006-01-01,222986,0,false,garretvoorhees,2017-02-11T06:01:20Z,"industrial metal,industrial rock,alternative metal,metal,nu metal","Geffen",0.568,0.95,0,-6.187,0,0.0639,0.0000512,0.00000592,0.0754,0.572,125.046,4
spotify:track:1GIz2BpVcw2i25S37dEs7x,"Miller Boll Breakers","Sparkling Music","Deavid Soul",2000,331226,29,false,garretvoorhees,2017-02-11T06:13:42Z,"","Flavour of Sound",0.741,0.933,6,-4.404,0,0.0802,0.0132,0.000442,0.258,0.915,128.032,4
spotify:track:67Y99zZz5ClB66VFCT26Mc,"Dunny Boy Williamson Show","Sparkling Music","Deavid Soul",2000,270146,20,false,garretvoorhees,2017-02-11T06:13:50Z,"","Flavour of Sound",0.702,0.818,1,-6.211,1,0.0824,0.0222,0.281,0.329,0.778,99.928,4
spotify:track:3SLFmqOdCCKtz4Zf32wtdV,"On the Bowl - A. Fagus Mix","Sparkling Music","Deavid Soul",2000,337400,23,false,garretvoorhees,2017-02-11T06:13:57Z,"","Flavour of Sound",0.654,0.9,1,-5.37,1,0.0988,0.0000667,0.644,0.0553,0.644,135.002,4
spotify:track:4UsnBVJETruqDWw8D88Uyc,"Up-Set Attack","Sparkling Music","Deavid Soul",2000,216866,25,false,garretvoorhees,2017-02-11T06:14:04Z,"","Flavour of Sound",0.775,0.93,1,-5.432,1,0.042,0.00481,0.141,0.869,0.966,145.024,4
spotify:track:4bfdiWxzb7tPjKt1f3uCjE,"Yappie Feet","Sparkling Music","Deavid Soul",2000,309386,23,false,garretvoorhees,2017-02-11T06:14:10Z,"","Flavour of Sound",0.617,0.965,1,-4.895,1,0.0825,0.000583,0.747,0.221,0.848,135.545,4
