Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7H7LFI4ds5wRvZxdptjT0S,"Welcome 2 Tokyo","Welcome 2 Tokyo","KUROKI;Zeph",2020-05-15,84031,0,false,61zi52kwvzh9tru5iowg1ufof,2025-02-08T14:22:12Z,"","KUROKI",0.746,0.707,3,-9.976,0,0.256,0.145,0.238,0.169,0.38,160.065,4
spotify:track:1LHhEn432gLhN8tHz19uoE,"Good Ones - THAT KIND Remix","Good Ones (THAT KIND Remix)","Charli xcx;THAT KIND",2021-11-02,160666,34,false,61zi52kwvzh9tru5iowg1ufof,2025-02-05T19:33:38Z,"hyperpop,art pop","Atlantic Records UK",0.817,0.839,7,-5.337,0,0.0761,0.0806,0.0000126,0.119,0.548,123.982,4
spotify:track:1mlVyUIqGTEkJy8sB5VchH,"Hot Mess","Hot Mess","Friday Pilots Club",2022-06-23,190813,53,true,61zi52kwvzh9tru5iowg1ufof,2025-01-16T20:12:23Z,"","Friday Pilots Club",0.584,0.946,6,-4.963,1,0.158,0.0539,0,0.0798,0.862,168.096,4
spotify:track:536ZTi6wWJQ2gYXkXnJwVX,"spite","can we start over?","Charlotte Sands",2024-01-24,187596,52,true,61zi52kwvzh9tru5iowg1ufof,2025-01-12T23:14:39Z,"","CS Records",0.709,0.95,9,-4.448,1,0.102,0.00446,0.0182,0.0292,0.862,142.012,4
spotify:track:0oF9jpn0n8afMpbHKgRd6J,"I Ain't Worried","Artificial Paradise (Deluxe)","OneRepublic",2024-07-12,148485,78,false,61zi52kwvzh9tru5iowg1ufof,2025-01-12T23:18:08Z,"soft pop","Mosley Music/Interscope Records",0.713,0.792,0,-5.957,1,0.0467,0.103,0.00052,0.0698,0.81,139.976,4
spotify:track:29btqRLdovq2YXMHal5gR8,"Demons and Angels","Demons and Angels","LOWBORN",2019-03-29,191003,34,false,61zi52kwvzh9tru5iowg1ufof,2025-01-13T12:28:55Z,"","LOWBORN",0.568,0.581,1,-8.711,0,0.031,0.0012,0.0000062,0.341,0.479,140.03,4
spotify:track:75XoxL802pG8pNCf7SquaV,"DAYLIGHT DOOM","DAYLIGHT DOOM","MOTO BANDIT",2022-02-15,174732,68,false,61zi52kwvzh9tru5iowg1ufof,2025-01-12T23:22:11Z,"","MOTO BANDIT",0.615,0.904,1,-6.619,1,0.0301,0.123,0.916,0.189,0.715,153.893,4
spotify:track:15IF4wSCMrAo2Rq0eytARR,"can't slow down","DIVE","almost monday",2024-09-25,175720,71,false,61zi52kwvzh9tru5iowg1ufof,2025-01-13T12:32:07Z,"","Hollywood Records",0.702,0.763,5,-4.075,0,0.0311,0.012,0.0000466,0.254,0.976,126.985,4
spotify:track:0EfsDEYaSjGYd66Pr881nq,"Cry Baby","Wiped Out!","The Neighbourhood",2015-10-30,235160,75,false,61zi52kwvzh9tru5iowg1ufof,2025-01-12T23:14:10Z,"","Columbia",0.581,0.656,4,-4.891,0,0.0294,0.00269,0.00000278,0.101,0.338,108.033,4
spotify:track:4mFcwFOlSCxp6hjemRXwpd,"hurt my feelings","THINK LATER","Tate McRae",2023-12-08,122416,71,true,61zi52kwvzh9tru5iowg1ufof,2025-01-13T15:24:05Z,"","RCA Records Label",0.667,0.829,2,-3.74,1,0.0509,0.0168,0,0.155,0.265,98.014,4
