Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5vhjTXl3fZ1JUwBaCIaOn9,"Drive It Like I Stole It","Hell's Lost & Found: It's the Bootleg, Muthafuckas! Vol. 2","Apathy",2003-11-04,131213,36,true,c783cqnruyg1adgub7tn6jrz8,2021-04-28T07:33:21Z,"underground hip hop,hardcore hip hop","Demigodz Enterprises",0.656,0.876,1,-4.125,0,0.382,0.085,0,0.154,0.965,93.101,4
spotify:track:4taTG9bMd98Db2PPzBsF47,"Spectre","Radium / Spectre / I Can't Wait (No More) / Uptight","Aquasky",2000-11-06,480049,19,false,c783cqnruyg1adgub7tn6jrz8,2025-01-14T17:50:51Z,"breakbeat,jungle,drum and bass,liquid funk","Moving Shadow",0.708,0.989,6,-9.892,0,0.0863,0.000227,0.872,0.0438,0.789,87.991,4
spotify:track:0J6AUJX684aHQYRa6n1iKM,"Meltdown","Meltdown","Ash",2004-05-17,204200,0,false,c783cqnruyg1adgub7tn6jrz8,2021-04-28T07:35:55Z,"britpop","Echo",0.459,0.869,2,-4.72,0,0.0875,0.000254,0.0887,0.0568,0.527,152.269,4
spotify:track:3KUtXJkoZCrUuEIp0jw9D6,"Direct Maniac","Black Grooves","B. Calloway",2005,212506,13,false,c783cqnruyg1adgub7tn6jrz8,2021-04-28T07:40:05Z,"footwork,miami bass","Submerge Recordings",0.753,0.957,1,-7.877,1,0.0581,0.0577,0.559,0.107,0.715,147.04,4
spotify:track:746nPV2NXSoxW3imGpG8gk,"Dude","Back To Basics","Beenie Man;Ms. Thing",2004-01-01,255360,61,false,c783cqnruyg1adgub7tn6jrz8,2021-04-28T07:41:33Z,"dancehall,ragga,reggae,soca,riddim","Virgin Records",0.616,0.71,5,-7.05,1,0.264,0.123,0,0.128,0.945,93.938,4
spotify:track:2vACumvzzT2ZngO2p7i3Gu,"King Of The Dancehall","Back To Basics","Beenie Man",2004-01-01,217106,56,false,c783cqnruyg1adgub7tn6jrz8,2021-04-28T07:42:12Z,"dancehall,ragga,reggae,soca,riddim","Virgin Records",0.81,0.829,5,-5.646,0,0.108,0.34,0,0.0539,0.851,104.695,4
spotify:track:6fZz4NWsdNi3U3PAMXaUKk,"Miss L.A.P.","Tropical Storm","Beenie Man",2002-01-01,244000,23,true,c783cqnruyg1adgub7tn6jrz8,2021-04-28T07:42:47Z,"dancehall,ragga,reggae,soca,riddim","Virgin",0.494,0.721,1,-5.341,1,0.341,0.047,0,0.319,0.64,153.873,3
spotify:track:4xnnMAwEIskl7OxzuXQitj,"Murder-Death-Kill","Bars Of Death","Esoteric;7L;Celph Titled",2004-07-13,175933,32,true,c783cqnruyg1adgub7tn6jrz8,2021-04-28T07:44:00Z,"underground hip hop,hardcore hip hop","Babygrande Records",0.722,0.761,1,-7.373,1,0.105,0.207,0,0.0597,0.954,89.999,4
spotify:track:3SbcNrN5D2dNOHzHnLNEvr,"Yagga Yo","Tropical Storm","Beenie Man;So Solid Crew",2002-01-01,233826,33,true,c783cqnruyg1adgub7tn6jrz8,2021-04-28T07:44:43Z,"dancehall,ragga,reggae,soca,riddim,uk garage,uk funky,grime,uk grime,funky house","Virgin",0.617,0.842,2,-7.032,1,0.117,0.379,0.0000246,0.287,0.966,91.944,5
spotify:track:6FjFzWIjRzuCSLZBCugKnr,"Get Your Roll On","10 Years Of Bling (Vol. 1)","Big Tymers",2007-12-18,245200,38,true,c783cqnruyg1adgub7tn6jrz8,2021-04-28T07:45:16Z,"southern hip hop,crunk,new orleans bounce","Cash Money",0.844,0.811,7,-5.086,1,0.111,0.00927,0.0026,0.0897,0.512,88.927,4
spotify:track:1PpOEtH8PbC49KVAYAeqoD,"Put That S**t Up","Hood Rich","Big Tymers;Lac;Stone;Mikkey",2002-01-01,242640,29,true,c783cqnruyg1adgub7tn6jrz8,2021-04-28T07:48:01Z,"southern hip hop,crunk,new orleans bounce,thrash metal,speed metal,finnish rock","Cash Money",0.759,0.936,2,-2.441,1,0.266,0.43,0.00000749,0.267,0.783,171.994,4
spotify:track:2MXmrYKlcEEfVq9h3jqWjC,"Get Your Shine On","Fast Money","Birdman;Lil Wayne",2005,281773,45,true,c783cqnruyg1adgub7tn6jrz8,2021-04-28T07:49:49Z,"southern hip hop,rap,hip hop","Cash Money",0.691,0.824,5,-3.179,0,0.106,0.135,0,0.0558,0.751,158.207,4
spotify:track:0CbtZj3YIiVEY05xtaxtKr,"The Fix","True ID / The Fix","Calyx",2007-08-06,399933,12,false,c783cqnruyg1adgub7tn6jrz8,2021-04-28T07:55:31Z,"drum and bass,jungle","Metalheadz Platinum",0.448,0.972,1,-5.862,0,0.227,0.00013,0.284,0.346,0.184,172.059,4
