Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2k9cIkCVD4zotzFL6xj6hg,"Player Two - From ""Don't Tell Mom The Babysitter's Dead""","Player Two (From ""Don't Tell Mom The Babysitter's Dead"")","Jordan Ward",2024-04-12,158057,56,false,61zi52kwvzh9tru5iowg1ufof,2025-04-14T19:40:25Z,"alternative r&b","ARTium Recordings, LLC/Interscope Records",0.907,0.654,5,-4.259,0,0.0472,0.332,0.000297,0.0285,0.968,131.061,4
spotify:track:5zuTDPOxyqmcxxzvyVozJK,"Valkyrie","Polygon","Battle Tapes",2015-11-20,245866,46,false,61zi52kwvzh9tru5iowg1ufof,2025-04-14T19:40:40Z,"","Snafu Records",0.561,0.909,11,-3.223,1,0.0528,0.00327,0.0000691,0.159,0.6,121.973,4
spotify:track:5aFGo8wHEntVxFI8IF7Wuj,"Typhoons","Typhoons","Royal Blood",2021-04-30,236933,56,false,61zi52kwvzh9tru5iowg1ufof,2025-04-14T19:40:59Z,"garage rock,rock","Warner Records",0.601,0.723,8,-4.364,0,0.0384,0.000347,0.0011,0.346,0.581,114.991,4
spotify:track:2dgdMELimerBE6WDpyNIEK,"dopamine","dopamine","Madelline",2023-04-19,165461,57,false,61zi52kwvzh9tru5iowg1ufof,2025-04-19T01:19:14Z,"","Lucky Bastards",0.675,0.573,8,-8.331,0,0.0516,0.153,0.00173,0.16,0.563,136.016,4
spotify:track:4hD4Q2BNH50ryovUWNzXKe,"Dopamine (Split Brain Version)","Dopamine (Split Brain Version)","Madelline",2024-06-28,165461,57,false,61zi52kwvzh9tru5iowg1ufof,2025-04-19T01:23:07Z,"","Lucky Bastards",0.633,0.609,8,-8.797,0,0.0474,0.136,0.0475,0.221,0.516,136.009,4
spotify:track:2aEuA8PSqLa17Y4hKPj5rr,"Cheri Cheri Lady","Let's Talk About Love","Modern Talking",1985,226333,82,false,61zi52kwvzh9tru5iowg1ufof,2025-04-28T20:15:12Z,"europop,italo disco,eurodance","Hansa Local",0.677,0.616,10,-13.826,1,0.032,0.458,0.0132,0.349,0.851,114.223,4
spotify:track:15IF4wSCMrAo2Rq0eytARR,"can't slow down","DIVE","almost monday",2024-09-25,175720,71,false,61zi52kwvzh9tru5iowg1ufof,2025-05-04T02:36:15Z,"","Hollywood Records",0.702,0.763,5,-4.075,0,0.0311,0.012,0.0000466,0.254,0.976,126.985,4
spotify:track:6cTFvZOaMAOc6yvo2L8GlH,"Stand!","Stand!","Junior Prom",2016-01-15,220733,34,false,61zi52kwvzh9tru5iowg1ufof,2025-05-07T16:10:01Z,"","Doghouse Records",0.616,0.719,7,-5.655,1,0.0316,0.000364,0,0.35,0.724,127.991,4
spotify:track:60dwJ8dnqZ4WrIdiu7LkNR,"Saturday","Scaled And Icy","Twenty One Pilots",2021-05-21,172232,65,false,61zi52kwvzh9tru5iowg1ufof,2025-05-10T20:29:16Z,"","Fueled By Ramen",0.687,0.89,8,-5.99,1,0.0344,0.00396,0.000939,0.0436,0.854,113.06,4
spotify:track:5YJtMNWKe55yr49cyJgxva,"Everytime We Touch","Everytime We Touch (Premium Edition)","Cascada",2010-02-12,197124,77,false,61zi52kwvzh9tru5iowg1ufof,2025-06-16T16:34:27Z,"europop,eurodance","Zoo Digital",0.633,0.976,8,-5.362,1,0.0519,0.00281,0.0000129,0.382,0.493,142.027,4
