Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1YOdwbhEWfo6NTyHjXohBA,"Judgement Day","Rave Digger","Danny Byrd;Cyantific;I-Kay",2010-10-11,303801,15,false,61zi52kwvzh9tru5iowg1ufof,2025-08-31T22:11:41Z,"drum and bass,liquid funk,jungle","Hospital Records",0.512,0.965,9,-3.981,0,0.0649,0.0593,0.00325,0.3,0.491,86.989,4
spotify:track:4JaJuGSfhcA7kavdgS3yn6,"Dragula","Best Of/20th Century","Rob Zombie",2006-01-01,222986,0,false,61zi52kwvzh9tru5iowg1ufof,2025-08-31T22:22:46Z,"industrial metal,industrial rock,alternative metal,metal,nu metal","Geffen",0.568,0.95,0,-6.187,0,0.0639,0.0000512,0.00000592,0.0754,0.572,125.046,4
spotify:track:68rCrpIePj20MjhZMeJzzT,"Louder (feat. Sian Evans) - Drumsound & Bassline Smith Remix","Louder (Remixes) (feat. Sian Evans)","DJ Fresh;Sian Evans",2011-07-01,271542,22,false,61zi52kwvzh9tru5iowg1ufof,2025-08-31T22:28:06Z,"drum and bass,melodic techno,melodic house","Ministry of Sound Recordings",0.431,0.934,6,-3.171,0,0.0363,0.0000604,0.0021,0.332,0.304,87.513,4
spotify:track:4eMIrcbIZXunB7C76hF5lN,"Grand Theft Audio","Grand Theft Audio","Tommy Vext",2022-08-19,194287,25,false,61zi52kwvzh9tru5iowg1ufof,2025-08-31T22:32:13Z,"","One A Records",0.265,0.936,0,-4.37,0,0.115,0.0000417,0,0.254,0.284,142.573,4
spotify:track:6tedQ1ZmbygqhbdcfJL7Xb,"Tick Tick Boom","The Black And White Album","The Hives",2007-01-01,205413,57,false,61zi52kwvzh9tru5iowg1ufof,2025-08-31T22:39:38Z,"garage rock","Polydor Records",0.565,0.831,9,-3.102,0,0.113,0.000384,0.0000121,0.245,0.498,135.111,4
spotify:track:7nxqCimmjnw1abCnn4RdCP,"Inaction","With Love And Squalor","We Are Scientists",2005-01-01,152142,37,false,61zi52kwvzh9tru5iowg1ufof,2025-08-31T22:43:28Z,"indie rock","Virgin Records",0.407,0.985,9,-4.434,0,0.0782,0.000948,0,0.0576,0.618,161.956,4
spotify:track:3trdEhvJEmaBEHKcr6RiWH,"This Is Gonna Hurt","This Is Gonna Hurt","Sixx:A.M.",2011-05-03,236293,59,false,61zi52kwvzh9tru5iowg1ufof,2025-08-31T22:49:15Z,"","Endurance Music Group",0.559,0.985,9,-4.149,0,0.11,0.000904,0.136,0.0241,0.197,136.029,4
spotify:track:7G3DDXpodu9WxbytlnOX1X,"Set Me Off","Race to the End","DAMN NATION",2021-04-08,226645,21,false,61zi52kwvzh9tru5iowg1ufof,2025-08-31T23:00:22Z,"","Damn Nation",0.508,0.896,5,-6.748,0,0.0646,0.000024,0.0479,0.212,0.748,147.957,4
spotify:track:10UVEdUnZaCRGr5vFuWBBr,"Go With The Flow","Songs For The Deaf","Queens of the Stone Age",2002,187106,39,false,61zi52kwvzh9tru5iowg1ufof,2025-09-06T22:39:35Z,"stoner rock,alternative rock","Interscope",0.248,0.992,4,-3.882,0,0.0823,0.0114,0.117,0.839,0.421,159.366,4
spotify:track:37MkbRqfMdO4qlNj7C4Wfa,"The Great Escape","With Love And Squalor","We Are Scientists",2005-01-01,198832,43,true,61zi52kwvzh9tru5iowg1ufof,2025-09-11T14:45:49Z,"indie rock","Virgin Records",0.472,0.925,9,-4.57,1,0.0415,0.000305,0.00000444,0.0755,0.746,146.97,4
