Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0GX5oOKtU0nnx5OkhenW2i,"Closer","Year Of The Gentleman","Ne-Yo",2008-01-01,234360,74,false,61zi52kwvzh9tru5iowg1ufof,2025-04-06T02:38:33Z,"","Def Soul",0.709,0.745,4,-6.436,0,0.074,0.0226,0.0000529,0.154,0.569,126.028,4
spotify:track:2q4rjDy9WhaN3o9MvDbO21,"Kiss Me Thru The Phone","iSouljaBoyTellem","Soulja Boy;Sammie",2008-01-01,193386,82,false,61zi52kwvzh9tru5iowg1ufof,2025-04-06T02:38:42Z,"","Collipark / Interscope",0.758,0.712,7,-3.781,1,0.112,0.0188,0,0.0677,0.794,150.001,4
spotify:track:3OWcWJz1c0pIc6L3IDDhpP,"Knock You Down","In A Perfect World...","Keri Hilson;Kanye West;Ne-Yo",2009-01-01,326186,63,true,61zi52kwvzh9tru5iowg1ufof,2025-04-06T02:39:04Z,"rap","Mosley / Interscope",0.587,0.878,8,-4.781,1,0.16,0.00922,0,0.171,0.646,155.167,4
spotify:track:6nzo2cfzs3qZjpgcC31aUO,"Battle Scars","100 Greatest R&B Throwbacks","Lupe Fiasco;Guy Sebastian",2025-03-26,250320,0,false,61zi52kwvzh9tru5iowg1ufof,2025-04-06T02:39:19Z,"","Warner Music Group - X5 Music Group",0.509,0.809,5,-4.525,0,0.293,0.187,0,0.105,0.485,168.287,4
spotify:track:4NTWZqvfQTlOMitlVn6tew,"The Show Goes On","Lasers","Lupe Fiasco",2011-03-04,239613,73,true,61zi52kwvzh9tru5iowg1ufof,2025-04-06T02:39:28Z,"","1st & 15th/Atlantic",0.591,0.889,7,-3.839,1,0.115,0.0189,0,0.155,0.65,143.067,4
spotify:track:4N0tDOF2bo9JEpSqLNlpjq,"Glamorous","The Dutchess","Fergie;Ludacris",2006-09-13,246600,67,true,61zi52kwvzh9tru5iowg1ufof,2025-04-06T02:40:22Z,"southern hip hop","Will I Am / Fergie LP1",0.81,0.76,0,-6.447,1,0.232,0.301,0,0.103,0.56,130.991,4
spotify:track:1RMRkCn07y2xtBip9DzwmC,"Turn Up the Music","Fortune (Expanded Edition)","Chris Brown",2012-07-03,227973,65,false,61zi52kwvzh9tru5iowg1ufof,2025-04-06T02:42:56Z,"r&b","RCA Records Label",0.594,0.841,1,-5.792,1,0.102,0.000238,0.00000222,0.156,0.643,129.925,4
spotify:track:16Of7eeW44kt0a1M0nitHM,"You Make Me Feel... (feat. Sabi)","Night Shades","Cobra Starship;Sabi",2011-08-23,215693,75,false,61zi52kwvzh9tru5iowg1ufof,2025-04-06T02:45:34Z,"","Decaydance/Fueled By Ramen",0.668,0.857,7,-2.944,0,0.0535,0.0191,0.00000671,0.0385,0.748,131.959,4
spotify:track:4xlkIVboOY2plOALp9bqD8,"Night","Requiem","keshi",2024-09-13,179906,61,false,61zi52kwvzh9tru5iowg1ufof,2025-04-19T00:56:41Z,"","Island Records",0.65,0.52,2,-8.119,0,0.0346,0.251,0.000127,0.359,0.108,103.043,4
spotify:track:0iI2cOHpX6xmwKD15Q5ynd,"Breakfast in Bed","Love Me Like","Rayana Jay",2019-03-22,116059,57,true,61zi52kwvzh9tru5iowg1ufof,2025-04-19T01:08:18Z,"alternative r&b","All Angles / EMPIRE",0.635,0.327,2,-9.77,1,0.436,0.576,0,0.0865,0.552,82.686,4
