Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6GyFP1nfCDB8lbD2bG0Hq9,"Midnight City","Hurry up, We're Dreaming","M83",2011-10-17,243960,81,false,61zi52kwvzh9tru5iowg1ufof,2025-12-25T21:47:29Z,"","M83 Recording Inc",0.507,0.729,11,-5.399,0,0.0393,0.0182,0.0000014,0.0658,0.272,105.013,4
spotify:track:0OJJ3PNY26xytUW8WzjGgZ,"Holy","White Noise","PVRIS",2014-11-04,295653,46,false,61zi52kwvzh9tru5iowg1ufof,2025-12-25T21:47:45Z,"","Rise Records",0.685,0.538,8,-8.585,0,0.0317,0.189,0.000771,0.0724,0.697,124.014,4
spotify:track:0h29CBWU2Qx01vM58VndG9,"Selfish","Hidden 3","RONEN",2024-03-01,80007,15,true,61zi52kwvzh9tru5iowg1ufof,2025-12-25T21:48:16Z,"emo rap","Hidden Records",0.623,0.571,4,-6.024,1,0.239,0.0785,0,0.371,0.905,168.184,4
spotify:track:7veWR9ZzwztU6z2qOJ3qg0,"Change","PALPITATIONS","LAUREL",2024-06-14,222800,45,true,61zi52kwvzh9tru5iowg1ufof,2025-12-25T21:49:04Z,"","Communion Records",0.707,0.706,1,-4.143,0,0.0317,0.203,0,0.0943,0.622,125.961,4
spotify:track:0VjIjW4GlUZAMYd2vXMi3b,"Blinding Lights","After Hours","The Weeknd",2020-03-20,200040,90,false,61zi52kwvzh9tru5iowg1ufof,2025-12-25T21:50:13Z,"","Republic Records",0.513,0.73,1,-5.94,1,0.0598,0.00143,0.0000954,0.0897,0.334,171.001,4
spotify:track:0MHXrqn909p0LRTPsNsGEi,"Move on Up - Single Edit","Move on Up","Curtis Mayfield",1970,165789,64,false,61zi52kwvzh9tru5iowg1ufof,2025-12-25T21:52:20Z,"classic soul,soul,motown,funk","Rhino",0.538,0.969,11,-5.626,0,0.0906,0.417,0.00154,0.119,0.928,138.652,4
spotify:track:3F9ByoUqu31xU0I3G5xfVg,"Meet Me Halfway","THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version]","Black Eyed Peas",2009-01-01,284373,82,false,61zi52kwvzh9tru5iowg1ufof,2025-12-25T21:54:25Z,"","Interscope",0.798,0.629,11,-6.857,0,0.0735,0.00474,0.0000229,0.324,0.4,130.002,4
spotify:track:593knnQN4REEshx8th9zgK,"Strangers","The After Taste","Kenya Grace",2024-03-21,172964,70,false,61zi52kwvzh9tru5iowg1ufof,2025-12-25T22:01:47Z,"","Major Recordings/Warner Records",0.628,0.523,11,-8.307,0,0.0946,0.701,0.00274,0.219,0.416,169.982,4
spotify:track:42qNWdLKCI41S4uzfamhFM,"Duvet","Twilight","bôa",2001-03-21,203600,86,false,61zi52kwvzh9tru5iowg1ufof,2025-12-25T23:18:15Z,"","Nettwerk Music Group",0.583,0.888,11,-9.414,0,0.0349,0.191,0.0000458,0.0936,0.706,93.206,4
spotify:track:6ZmZYirBGRw0iNBp1w0ZTi,"Only In My Mind","The After Taste","Kenya Grace",2024-03-21,161137,62,false,61zi52kwvzh9tru5iowg1ufof,2025-12-25T23:56:29Z,"","Major Recordings/Warner Records",0.701,0.76,8,-9.588,1,0.107,0.701,0.138,0.111,0.423,143.007,4
spotify:track:0q6LuUqGLUiCPP1cbdwFs3,"On Melancholy Hill","Plastic Beach","Gorillaz",2010-03-03,233866,84,false,61zi52kwvzh9tru5iowg1ufof,2026-01-07T19:01:01Z,"","Parlophone UK",0.689,0.739,2,-5.81,1,0.026,0.0000151,0.509,0.064,0.578,120.423,4
spotify:track:4iz9lGMjU1lXS51oPmUmTe,"Homecoming","Graduation","Kanye West;Chris Martin",2007-09-11,203493,84,true,61zi52kwvzh9tru5iowg1ufof,2026-01-09T20:19:57Z,"rap","Roc-A-Fella",0.67,0.747,1,-7.059,1,0.189,0.337,0,0.115,0.918,86.918,4
