Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1wo8IQFOntXY40ynj7bOor,"Blood In The Water","Dopamine","Normandie",2024-02-09,214830,42,true,61zi52kwvzh9tru5iowg1ufof,2025-07-14T00:27:38Z,"","Easy Life Records",0.511,0.868,7,-4.202,0,0.0383,0.000517,0.00974,0.1,0.387,92.922,4
spotify:track:0lxnk5Fpvhr47m3MFsgFzQ,"Survive","Tri-Polar (International Version)","SICK PUPPIES",2009,192653,25,true,61zi52kwvzh9tru5iowg1ufof,2025-07-14T00:27:53Z,"","Virgin Records",0.381,0.929,6,-4.799,0,0.0999,0.000619,0.0000136,0.0555,0.589,175.041,4
spotify:track:271F4ytYcBCH9gx64gFSAw,"Shadows of Our Past - GT7 MI!X","GRAN TURISMO 7 ORIGINAL SOUNDTRACK BEST LAP (vol.1)","daiki kasho",2023-12-22,290948,33,false,61zi52kwvzh9tru5iowg1ufof,2025-07-14T00:29:22Z,"","Sony Interactive Entertainment Inc.",0.469,0.973,4,-3.791,0,0.167,0.000262,0.0000122,0.0906,0.514,180.004,4
spotify:track:51VUNKCTKQSqs76NoVbdPI,"Don't Let Me Drown","F1 The Album","Burna Boy",2025-06-27,185590,55,false,61zi52kwvzh9tru5iowg1ufof,2025-07-26T16:04:09Z,"afrobeats,afrobeat,afropop,afroswing,dancehall,afropiano","Atlantic Records",0.755,0.638,1,-6.817,0,0.034,0.01,0.000516,0.189,0.177,112.971,4
spotify:track:5ZLwbxq5jydIxksfX6ezAn,"Just Tonight","Futures (Deluxe Edition)","Jimmy Eat World",2004,206373,51,false,61zi52kwvzh9tru5iowg1ufof,2025-08-06T16:27:39Z,"emo,pop punk","Interscope",0.393,0.939,8,-3.457,0,0.0963,0.000134,0.000114,0.134,0.694,172.977,4
spotify:track:5Q1sfEJnyGQbc8XmwQzmEh,"Never Take Us Alive","Attics To Eden","Madina Lake",2009,179813,40,false,61zi52kwvzh9tru5iowg1ufof,2025-08-18T18:23:26Z,"post-hardcore","Roadrunner Records",0.265,0.961,2,-2.658,0,0.157,0.00128,0.00000101,0.15,0.271,161.05,4
spotify:track:0N4Chp5oSV5c1PVAyX4A25,"By Your Side","The Beauty In Tragedy","Awaken I Am",2019-04-26,200546,48,false,61zi52kwvzh9tru5iowg1ufof,2025-08-18T19:19:02Z,"post-hardcore,metalcore","Victory Records",0.462,0.972,8,-3.128,0,0.0735,0.0018,0,0.141,0.782,158.083,4
spotify:track:6WBkSZbGBaIWnEgnMoXEJU,"The Bomb Dot Com V2.0","With Ears To See And Eyes To Hear","Sleeping With Sirens",2010-03-22,211720,66,false,61zi52kwvzh9tru5iowg1ufof,2025-08-18T19:51:07Z,"emo,post-hardcore,screamo","Rise Records",0.41,0.959,7,-4.881,1,0.0818,0.00000437,0.00000176,0.359,0.535,165.038,4
spotify:track:48HBpKlUQtHx4R4SNBLl9b,"March of the Dead","In the Wake of Determination","Story Of The Year",2005-10-10,229178,23,false,61zi52kwvzh9tru5iowg1ufof,2025-08-22T23:58:20Z,"emo,post-hardcore,pop punk,screamo","Maverick",0.287,0.967,1,-3.032,0,0.105,0.000789,0.00000106,0.358,0.521,192.303,4
spotify:track:58HpsDKeYoLtNhXFQyQmz5,"Move Along","Move Along","The All-American Rejects",2005-07-12,238880,72,false,61zi52kwvzh9tru5iowg1ufof,2025-08-23T00:07:32Z,"pop punk,emo","Interscope",0.526,0.92,3,-3.866,1,0.0472,0.000124,0,0.371,0.615,109.86,4
