Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0C80GCp0mMuBzLf3EAXqxv,"Shoot to Thrill","Back In Black","AC/DC",1980-07-25,318231,78,false,61zi52kwvzh9tru5iowg1ufof,2025-11-09T01:31:58Z,"rock,hard rock,classic rock,rock and roll","Columbia",0.457,0.904,2,-5.303,1,0.0747,0.000239,0.0879,0.396,0.48,141.038,4
spotify:track:1ChulFMnwxoD74Me8eX2TU,"You Spin Me Round (Like a Record)","Evolution: The Hits","Dead Or Alive",2003-05-19,195146,71,false,61zi52kwvzh9tru5iowg1ufof,2025-11-09T01:32:08Z,"hi-nrg,synthpop","Epic",0.554,0.963,6,-3.762,0,0.035,0.000244,0.0702,0.431,0.918,128.175,4
spotify:track:6eN1f9KNmiWEhpE2RhQqB5,"Paradise City","Appetite For Destruction","Guns N' Roses",1987-07-21,405600,83,false,61zi52kwvzh9tru5iowg1ufof,2025-11-09T01:32:17Z,"rock,glam metal,hard rock,classic rock","Guns N Roses P&D",0.268,0.98,11,-5.959,1,0.101,0.019,0.00692,0.182,0.39,100.316,4
spotify:track:4qO03RMQm88DdpTJcxlglY,"Call Me","Atomic/Atomix","Blondie",1999-01-01,212600,70,false,61zi52kwvzh9tru5iowg1ufof,2025-11-09T01:32:39Z,"","Parlophone Catalogue",0.56,0.824,2,-6.711,0,0.0348,0.000785,0.00246,0.0892,0.74,142.667,4
spotify:track:2aEuA8PSqLa17Y4hKPj5rr,"Cheri Cheri Lady","Let's Talk About Love","Modern Talking",1985,226333,82,false,61zi52kwvzh9tru5iowg1ufof,2025-11-09T01:34:06Z,"europop,italo disco,eurodance","Hansa Local",0.677,0.616,10,-13.826,1,0.032,0.458,0.0132,0.349,0.851,114.223,4
spotify:track:0tXzxt3aJcfKu9L5i7tgfK,"Renegade","Reborn","Kavinsky;Cautious Clay",2022-03-25,198760,51,false,61zi52kwvzh9tru5iowg1ufof,2025-11-09T01:34:40Z,"synthwave,french house","Universal Music Division Virgin Records",0.61,0.538,9,-7.428,0,0.0319,0.0385,0,0.0791,0.556,92.022,4
spotify:track:4OdhffpvG3HxDJMxYOKh97,"I Ran (So Far Away)","A Flock Of Seagulls","A Flock Of Seagulls",1982-04-30,308933,60,false,61zi52kwvzh9tru5iowg1ufof,2025-11-09T01:44:10Z,"new wave,synthpop","Jive",0.507,0.642,2,-12.923,1,0.0323,0.00299,0.606,0.141,0.631,146.154,4
spotify:track:0HZlND4giwzgolBpaNIRGV,"Aquarius/Let The Sunshine In (The Flesh Failures) - From the Musical ""Hair""","The Age Of Aquarius","The 5th Dimension",1969,289293,59,false,61zi52kwvzh9tru5iowg1ufof,2025-12-06T17:15:58Z,"","Arista/Legacy",0.293,0.74,7,-6.098,1,0.0399,0.445,0.00152,0.0998,0.514,118.225,4
spotify:track:5nNmj1cLH3r4aA4XDJ2bgY,"September","The Eternal Dance","Earth, Wind & Fire",1992-09-08,214826,5,false,61zi52kwvzh9tru5iowg1ufof,2025-12-06T17:55:14Z,"funk,disco","Legacy/Columbia",0.697,0.809,9,-8.197,1,0.0302,0.114,0.000521,0.183,0.98,125.941,4
spotify:track:5e9TFTbltYBg2xThimr0rU,"The Chain - 2004 Remaster","Rumours (Super Deluxe)","Fleetwood Mac",1977-02-04,270213,89,false,61zi52kwvzh9tru5iowg1ufof,2026-01-09T18:08:08Z,"yacht rock,classic rock,soft rock","Rhino/Warner Records",0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,4
spotify:track:3Hya20ZNnlLzGLCpzJR6bv,"I'm Your Boogie Man","Part 3","KC & The Sunshine Band",1976,241920,61,false,61zi52kwvzh9tru5iowg1ufof,2026-01-24T19:10:53Z,"disco","Parlophone UK",0.765,0.927,5,-5.715,0,0.0399,0.0156,0.00000597,0.0391,0.927,113.326,4
spotify:track:5MIgTjcn94EPeSUUo8dx4q,"More Spell On You","More Spell On You","Eddie Johns",2012-06-11,310693,54,false,61zi52kwvzh9tru5iowg1ufof,2026-01-24T19:13:19Z,"","GM. Musipro",0.707,0.908,0,-7.464,0,0.0746,0.252,0.00902,0.601,0.751,132.058,4
spotify:track:3PR79C1jVvLLLmgdyHkXl3,"That's the Way (I Like It) - 2004 Remaster","KC & the Sunshine Band","KC & The Sunshine Band",1975-07-06,185106,68,false,61zi52kwvzh9tru5iowg1ufof,2026-01-24T19:15:24Z,"disco","Parlophone UK",0.68,0.877,5,-10.241,0,0.0353,0.191,0.000656,0.349,0.922,108.674,4
spotify:track:4vO9dmzNRqDhFY3jD1a3P7,"Mississippi Queen","Climbing!","Mountain",1970,151293,68,false,61zi52kwvzh9tru5iowg1ufof,2026-02-24T19:11:04Z,"classic rock,blues rock,southern rock","Columbia/Legacy",0.581,0.624,9,-8.346,1,0.0777,0.0987,0,0.0411,0.637,139.714,4
