Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,"Sweater Weather","I Love You.","The Neighbourhood",2013-04-22,240400,92,false,61zi52kwvzh9tru5iowg1ufof,2025-11-15T18:34:31Z,"","Columbia",0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4
spotify:track:2hNxkoMR4TZ3ft4uk9zJli,"My House","White Noise","PVRIS",2014-11-04,242560,55,false,61zi52kwvzh9tru5iowg1ufof,2025-11-15T18:34:34Z,"","Rise Records",0.514,0.855,4,-6.296,0,0.106,0.0254,0.000397,0.509,0.312,128.993,4
spotify:track:1rcITjCCQ72bGvhJotExSv,"Allies","Odd Soul","Mutemath",2011-09-27,194693,30,false,61zi52kwvzh9tru5iowg1ufof,2025-11-15T18:41:55Z,"alternative rock","Teleprompt/Warner Records",0.571,0.984,0,-2.651,1,0.0668,0.000658,0.000732,0.294,0.73,95.023,4
spotify:track:2YQJm3tA7A1Uw5sdOuaXKM,"The Road","Maybe Today, Maybe Tomorrow","We Are The Ocean",2012,221323,38,false,61zi52kwvzh9tru5iowg1ufof,2025-11-16T00:14:46Z,"post-hardcore","Hassle Records",0.379,0.968,6,-5.133,0,0.0991,0.000833,0.0511,0.201,0.362,152.928,4
spotify:track:0OJJ3PNY26xytUW8WzjGgZ,"Holy","White Noise","PVRIS",2014-11-04,295653,46,false,61zi52kwvzh9tru5iowg1ufof,2025-11-17T17:42:33Z,"","Rise Records",0.685,0.538,8,-8.585,0,0.0317,0.189,0.000771,0.0724,0.697,124.014,4
spotify:track:4AM7vsDNovx39wvuXFz7KH,"Spotlight","Spotlight EP","Mutemath",2009-02-10,200515,48,false,61zi52kwvzh9tru5iowg1ufof,2025-11-19T15:38:06Z,"alternative rock","Teleprompt/Warner Records",0.41,0.901,10,-4.498,1,0.0691,0.000155,0.0000108,0.243,0.302,152.039,4
spotify:track:4mGdjNMo0RonTlOEb7cYg4,"11 Minutes (with Halsey feat. Travis Barker)","11 Minutes (with Halsey feat. Travis Barker)","YUNGBLUD;Halsey;Travis Barker",2019-02-14,239507,69,true,61zi52kwvzh9tru5iowg1ufof,2025-11-19T19:28:27Z,"rap rock","Locomotion Recordings/Geffen Records",0.464,0.852,11,-3.804,1,0.067,0.0116,0,0.108,0.233,160.075,4
spotify:track:2SufAz8tnLFegXflJCNT9K,"The Night (I Wanna Know)","The Night (I Wanna Know)","Quentyn",2025-11-07,155883,53,false,61zi52kwvzh9tru5iowg1ufof,2025-12-02T20:32:01Z,"synthpop,indie dance,indie electronic,french indie pop,progressive house,electropop","Enroute Records",0.445,0.695,1,-6.492,0,0.029,0.0111,0.0374,0.22,0.396,143.913,4
spotify:track:4hEpfRem37hLFT8ldr78Mx,"Scream Drive Faster","Scream Drive Faster","LAUREL",2020-08-11,240666,61,false,61zi52kwvzh9tru5iowg1ufof,2025-12-06T17:22:36Z,"","Communion Records",0.626,0.706,0,-5.145,0,0.0316,0.0208,0,0.0494,0.699,129.985,4
spotify:track:7veWR9ZzwztU6z2qOJ3qg0,"Change","PALPITATIONS","LAUREL",2024-06-14,222800,45,true,61zi52kwvzh9tru5iowg1ufof,2025-12-12T16:02:00Z,"","Communion Records",0.707,0.706,1,-4.143,0,0.0317,0.203,0,0.0943,0.622,125.961,4
