Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7yqFo6pc3OUXLQzQMKv81V,"Cheap Love","Cheap Love","To the Rats and Wolves",2019-02-22,225840,26,true,61zi52kwvzh9tru5iowg1ufof,2025-05-10T20:06:52Z,"metalcore,post-hardcore","Arising Empire",0.528,0.96,1,-5.42,1,0.0419,0.000802,0,0.248,0.587,134.989,4
spotify:track:3trdEhvJEmaBEHKcr6RiWH,"This Is Gonna Hurt","This Is Gonna Hurt","Sixx:A.M.",2011-05-03,236293,59,false,61zi52kwvzh9tru5iowg1ufof,2025-05-10T20:17:23Z,"","Endurance Music Group",0.559,0.985,9,-4.149,0,0.11,0.000904,0.136,0.0241,0.197,136.029,4
spotify:track:43SHcN3ojxgyysT0Tc6S51,"Hot Right Now (feat. RITA ORA) - Camo & Krooked Remix","Nextlevelism (Deluxe Version)","DJ Fresh;Rita Ora;Camo & Krooked",2012-09-28,271760,26,false,61zi52kwvzh9tru5iowg1ufof,2025-05-10T20:21:53Z,"drum and bass,liquid funk,drumstep,dubstep","Ministry of Sound Recordings",0.442,0.936,4,-3.692,0,0.0625,0.000984,0.0105,0.167,0.354,174.951,4
spotify:track:3QqOcLtTU8zzlQRJCZzttP,"C’est La Vie (with bbno$ & Rich Brian)","Marvelous","Yung Gravy;bbno$;Rich Brian",2022-10-28,160161,70,true,61zi52kwvzh9tru5iowg1ufof,2025-05-10T20:24:41Z,"indonesian hip hop","Universal Records",0.889,0.805,9,-3.642,1,0.0808,0.0649,0,0.0684,0.759,142.119,4
spotify:track:6rWLrj4M3PDu6XpgjY7vAU,"antidepressants","antidepressants","bbno$",2025-02-28,118608,66,true,61zi52kwvzh9tru5iowg1ufof,2025-05-10T20:26:50Z,"","bbno$$",0.822,0.945,9,-4.143,1,0.143,0.000882,0.00296,0.289,0.629,142.03,4
spotify:track:3X1LErJuyzAEjH6X11ooMS,"it boy","it boy","bbno$",2024-05-24,146432,47,true,61zi52kwvzh9tru5iowg1ufof,2025-05-10T20:27:25Z,"","bbno$",0.746,0.915,9,-5.925,1,0.053,0.00182,0.000739,0.309,0.849,129.967,4
spotify:track:60dwJ8dnqZ4WrIdiu7LkNR,"Saturday","Scaled And Icy","Twenty One Pilots",2021-05-21,172232,65,false,61zi52kwvzh9tru5iowg1ufof,2025-05-10T20:29:13Z,"","Fueled By Ramen",0.687,0.89,8,-5.99,1,0.0344,0.00396,0.000939,0.0436,0.854,113.06,4
spotify:track:0UY4FvG4f9JI6kBR1BlWrZ,"That's What You Get","Riot!","Paramore",2007-06-12,220480,72,false,61zi52kwvzh9tru5iowg1ufof,2025-05-10T20:31:39Z,"pop punk,emo","Atlantic Records UK",0.528,0.831,8,-3.607,1,0.0429,0.0000943,0,0.141,0.632,131.094,3
spotify:track:6ZmZYirBGRw0iNBp1w0ZTi,"Only In My Mind","The After Taste","Kenya Grace",2024-03-21,161137,62,false,61zi52kwvzh9tru5iowg1ufof,2025-05-10T20:32:23Z,"","Major Recordings/Warner Records",0.701,0.76,8,-9.588,1,0.107,0.701,0.138,0.111,0.423,143.007,4
spotify:track:7H7LFI4ds5wRvZxdptjT0S,"Welcome 2 Tokyo","Welcome 2 Tokyo","KUROKI;Zeph",2020-05-15,84031,0,false,61zi52kwvzh9tru5iowg1ufof,2025-05-10T20:35:31Z,"","KUROKI",0.746,0.707,3,-9.976,0,0.256,0.145,0.238,0.169,0.38,160.065,4
