Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:050TMrxpzlXGYRDAjnrSp6,"Sleepwalking","Hope For Sale","Chiiild",2021-07-23,165720,44,false,61zi52kwvzh9tru5iowg1ufof,2025-12-16T21:12:57Z,"indie r&b,alternative r&b","Avant Garden PS",0.723,0.715,11,-5.388,0,0.0271,0.0279,0.823,0.24,0.748,120.006,4
spotify:track:1q2LCuh76IM9pLWfYfGGZP,"Pledge","Pledge","Devvy Dub",2025-03-13,147456,58,false,61zi52kwvzh9tru5iowg1ufof,2025-12-16T20:58:26Z,"","Hallwood",0.708,0.827,1,-4.414,1,0.0412,0.0305,0.00000185,0.296,0.791,144.901,4
spotify:track:1mlVyUIqGTEkJy8sB5VchH,"Hot Mess","Hot Mess","Friday Pilots Club",2022-06-23,190813,53,true,61zi52kwvzh9tru5iowg1ufof,2025-12-16T20:58:04Z,"","Friday Pilots Club",0.584,0.946,6,-4.963,1,0.158,0.0539,0,0.0798,0.862,168.096,4
spotify:track:13uk6B8NjefbL3hdvUUymN,"Moth","White Flag","Normandie",2018-10-26,218538,34,false,61zi52kwvzh9tru5iowg1ufof,2026-01-03T02:26:13Z,"","Easy Life Records",0.569,0.863,5,-6.347,0,0.0455,0.000849,0,0.272,0.63,130.004,4
spotify:track:4eMIrcbIZXunB7C76hF5lN,"Grand Theft Audio","Grand Theft Audio","Tommy Vext",2022-08-19,194287,25,false,61zi52kwvzh9tru5iowg1ufof,2025-12-16T21:18:03Z,"","One A Records",0.265,0.936,0,-4.37,0,0.115,0.0000417,0,0.254,0.284,142.573,4
spotify:track:1LAlLBTGBUO0MDA8IbSysd,"Overcompensate","Clancy","Twenty One Pilots",2024-05-24,236000,67,false,61zi52kwvzh9tru5iowg1ufof,2025-12-16T20:58:48Z,"","Fueled By Ramen",0.363,0.891,5,-5.563,0,0.0978,0.00992,0.00183,0.134,0.331,95.089,4
spotify:track:7nnWIPM5hwE3DaUBkvOIpy,"Drive","Make Yourself","Incubus",1999-10-26,232453,81,false,61zi52kwvzh9tru5iowg1ufof,2025-12-16T21:18:29Z,"nu metal,funk rock,alternative metal,alternative rock","Epic/Immortal",0.645,0.792,4,-7.34,0,0.036,0.0562,0.0121,0.119,0.666,90.565,4
spotify:track:536ZTi6wWJQ2gYXkXnJwVX,"spite","can we start over?","Charlotte Sands",2024-01-24,187596,52,true,61zi52kwvzh9tru5iowg1ufof,2025-12-16T21:16:08Z,"","CS Records",0.709,0.95,9,-4.448,1,0.102,0.00446,0.0182,0.0292,0.862,142.012,4
spotify:track:6tL8gSH1BWB5noSIac3uGZ,"Choose Your Fighter","Supernova","Nova Twins",2022-06-17,135466,38,false,61zi52kwvzh9tru5iowg1ufof,2026-01-02T16:36:56Z,"","Marshall Records",0.545,0.847,2,-5.882,1,0.108,0.000459,0.00153,0.436,0.573,130.051,4
spotify:track:6dx9Qs2LldkDNd7LikQHyr,"Mesmer","Odyssey","Valiant Hearts",2019-11-15,281812,31,false,61zi52kwvzh9tru5iowg1ufof,2025-12-16T21:18:16Z,"post-hardcore,metalcore","Valiant Hearts",0.298,0.978,5,-2.108,0,0.11,0.000242,0,0.225,0.167,159.881,4
