Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1BJJbSX6muJVF2AK7uH1x4,"Move","Move","Adam Port;Stryv;Keinemusik;Orso;Malachiii",2024-06-07,177598,82,false,61zi52kwvzh9tru5iowg1ufof,2024-12-06T20:47:23Z,"afro house,house,afro tech,melodic house","Keinemusik",0.727,0.782,8,-8.529,0,0.042,0.0563,0.336,0.225,0.655,119.992,4
spotify:track:70ebKSMHvkUSg7JXgUz74Q,"Break the Rules","SUCKER","Charli xcx",2015-02-09,203907,61,true,61zi52kwvzh9tru5iowg1ufof,2024-12-06T14:12:01Z,"hyperpop,art pop","Asylum",0.676,0.926,0,-2.244,0,0.0425,0.0305,0.000658,0.0771,0.818,124.019,4
spotify:track:0Y68ITZG1KQigFVAAn7AON,"No Light, No Light","Ceremonials (Original Deluxe Version)","Florence + The Machine",2011-01-01,274853,57,false,61zi52kwvzh9tru5iowg1ufof,2024-12-06T14:12:16Z,"baroque pop","Universal-Island Records Ltd.",0.43,0.748,0,-5.611,1,0.0519,0.00793,0.0000153,0.44,0.171,131.923,4
spotify:track:6ZmZYirBGRw0iNBp1w0ZTi,"Only In My Mind","The After Taste","Kenya Grace",2024-03-21,161137,62,false,61zi52kwvzh9tru5iowg1ufof,2024-12-06T14:12:26Z,"","Major Recordings/Warner Records",0.701,0.76,8,-9.588,1,0.107,0.701,0.138,0.111,0.423,143.007,4
spotify:track:1pDykRJBzvGzGtEFC9yKFM,"Technicolor","Technicolor","Eligator;Iva Rii",2018-11-30,187261,0,false,61zi52kwvzh9tru5iowg1ufof,2024-12-06T14:13:02Z,"","901452 Records DK",0.794,0.444,0,-7.382,1,0.175,0.289,0.00000274,0.101,0.554,140.155,4
spotify:track:2qROUDWN1RCJoyiVSr6ifm,"Sweet Tooth","Hôtel de Ville","Scott Helman",2017-05-12,201524,53,false,61zi52kwvzh9tru5iowg1ufof,2024-12-06T14:13:17Z,"folk pop","Warner Music Canada",0.695,0.896,1,-4.957,1,0.111,0.00405,0.00000258,0.106,0.474,94.986,4
spotify:track:22vgEDb5hykfaTwLuskFGD,"Sucker","Happiness Begins","Jonas Brothers",2019-06-07,181026,78,false,61zi52kwvzh9tru5iowg1ufof,2024-12-06T14:13:27Z,"","Jonas Brothers Recording",0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,4
spotify:track:5AJ9hqTS2wcFQCELCFRO7A,"MILLION DOLLAR BABY","MILLION DOLLAR BABY","Tommy Richman",2024-04-26,155151,83,false,61zi52kwvzh9tru5iowg1ufof,2024-12-06T14:13:59Z,"","PULSE Records",0.852,0.697,1,-5.52,0,0.0439,0.0973,0.00037,0.0678,0.919,138.029,4
spotify:track:12LohWsGyAptv2o25tFPcA,"LOVE ME","LOVE ME","GEN.KLOUD;Gabriel Paris",2021-04-23,204705,42,false,61zi52kwvzh9tru5iowg1ufof,2024-12-06T14:14:14Z,"","Lowly",0.587,0.902,8,-2.506,1,0.049,0.0336,0.000112,0.1,0.0878,102.029,4
spotify:track:0oF9jpn0n8afMpbHKgRd6J,"I Ain't Worried","Artificial Paradise (Deluxe)","OneRepublic",2024-07-12,148485,78,false,61zi52kwvzh9tru5iowg1ufof,2024-12-06T14:14:56Z,"soft pop","Mosley Music/Interscope Records",0.713,0.792,0,-5.957,1,0.0467,0.103,0.00052,0.0698,0.81,139.976,4
spotify:track:51EpFns3CG9taCMQz6XDom,"INVISIBLE","FUTURE PAST","Duran Duran",2021-10-22,191459,74,false,61zi52kwvzh9tru5iowg1ufof,2024-12-06T14:15:04Z,"new wave,synthpop","BMG Rights Management (US) LLC",0.645,0.867,7,-2.326,1,0.182,0.119,0.0000198,0.413,0.337,113.988,4
spotify:track:69uxyAqqPIsUyTO8txoP2M,"Adventure of a Lifetime","A Head Full of Dreams","Coldplay",2015-12-04,263786,87,false,61zi52kwvzh9tru5iowg1ufof,2024-12-06T14:15:14Z,"","Parlophone UK",0.638,0.924,7,-3.887,1,0.036,0.00205,0.000175,0.149,0.53,111.995,4
spotify:track:4qO03RMQm88DdpTJcxlglY,"Call Me","Atomic/Atomix","Blondie",1999-01-01,212600,70,false,61zi52kwvzh9tru5iowg1ufof,2024-12-06T14:15:22Z,"","Parlophone Catalogue",0.56,0.824,2,-6.711,0,0.0348,0.000785,0.00246,0.0892,0.74,142.667,4
spotify:track:5zuTDPOxyqmcxxzvyVozJK,"Valkyrie","Polygon","Battle Tapes",2015-11-20,245866,46,false,61zi52kwvzh9tru5iowg1ufof,2024-12-06T14:15:35Z,"","Snafu Records",0.561,0.909,11,-3.223,1,0.0528,0.00327,0.0000691,0.159,0.6,121.973,4
spotify:track:4OdhffpvG3HxDJMxYOKh97,"I Ran (So Far Away)","A Flock Of Seagulls","A Flock Of Seagulls",1982-04-30,308933,60,false,61zi52kwvzh9tru5iowg1ufof,2024-12-06T14:15:41Z,"new wave,synthpop","Jive",0.507,0.642,2,-12.923,1,0.0323,0.00299,0.606,0.141,0.631,146.154,4
spotify:track:5o2UsVpnpQcDDRcuEPzGIm,"Tokyo (Vampires & Wolves)","The Wombats Proudly Present... This Modern Glitch","The Wombats",2011-04-22,225526,50,false,61zi52kwvzh9tru5iowg1ufof,2024-12-06T14:15:57Z,"indie","14th Floor Records",0.457,0.911,0,-5.52,1,0.075,0.000913,0,0.37,0.572,146.394,4
spotify:track:5q0EXnBYyeCdXD72FzJxH0,"Illusion","Radical Optimism","Dua Lipa",2024-05-03,188143,75,false,61zi52kwvzh9tru5iowg1ufof,2024-12-06T14:16:05Z,"pop","Warner Records",0.679,0.772,8,-4.721,0,0.0472,0.0277,0.00000259,0.106,0.709,126.964,4
spotify:track:1ATe6SfYWIrsK7L7w7OmdN,"Find That Someone","Venture","Televisor;Richard Judge",2015-04-06,228000,31,false,61zi52kwvzh9tru5iowg1ufof,2024-12-06T14:16:13Z,"nu disco,indie dance,french house","Monstercat",0.659,0.948,9,-2.007,1,0.29,0.00363,0.00103,0.0714,0.617,125.042,4
spotify:track:39LLxExYz6ewLAcYrzQQyP,"Levitating","Future Nostalgia","Dua Lipa",2020-03-27,203807,81,false,61zi52kwvzh9tru5iowg1ufof,2024-12-06T14:16:34Z,"pop","Warner Records",0.695,0.884,6,-2.278,0,0.0753,0.0561,0,0.213,0.914,103.014,4
spotify:track:3PfIrDoz19wz7qK7tYeu62,"Don't Start Now","Future Nostalgia","Dua Lipa",2020-03-27,183290,83,false,61zi52kwvzh9tru5iowg1ufof,2024-12-06T14:16:44Z,"pop","Warner Records",0.793,0.793,11,-4.521,0,0.083,0.0123,0,0.0951,0.679,123.95,4
