Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3f7Cw7fpC6y0jcIZw5j2Qr,"Stellar","Stellar","Lunar Lo-Fi;Don Diablo",2024-03-01,125000,25,false,61zi52kwvzh9tru5iowg1ufof,2025-01-20T02:35:00Z,"future house,edm","Lunar Lo-Fi",0.58,0.251,4,-13.388,0,0.198,0.742,0.906,0.142,0.357,168.121,4
spotify:track:2usrT8QIbIk9y0NEtQwS4j,"Intro","xx","The xx",2009-08-16,127920,75,false,61zi52kwvzh9tru5iowg1ufof,2025-01-20T02:35:12Z,"","Young",0.617,0.778,9,-8.872,0,0.027,0.459,0.925,0.128,0.152,100.363,4
spotify:track:6K6PBfYUAjAv0F7MyWM8SG,"Akari","Akari","Neko Kedi",2023-03-03,162000,13,false,61zi52kwvzh9tru5iowg1ufof,2025-01-20T02:35:18Z,"lo-fi beats,lo-fi","Andrés Oddone",0.716,0.393,6,-15.555,0,0.11,0.953,0.899,0.102,0.515,80.006,4
spotify:track:2RvuAlKfp0R280KFvFLOJD,"Flashlights - Single Version","Flashlights","Wilee;Øneheart",2022-09-10,139434,36,false,61zi52kwvzh9tru5iowg1ufof,2025-01-20T02:35:31Z,"phonk,drift phonk,dark ambient,ambient","Goost Music",0.696,0.671,10,-9.69,0,0.211,0.411,0.771,0.131,0.156,104.957,4
spotify:track:0EfsDEYaSjGYd66Pr881nq,"Cry Baby","Wiped Out!","The Neighbourhood",2015-10-30,235160,75,false,61zi52kwvzh9tru5iowg1ufof,2025-01-20T02:37:54Z,"","Columbia",0.581,0.656,4,-4.891,0,0.0294,0.00269,0.00000278,0.101,0.338,108.033,4
spotify:track:6wv26tqIej3IqFHt3IfrBu,"Chewy","Chewy","sloh rou;ron quixote",2024-07-19,149823,38,false,61zi52kwvzh9tru5iowg1ufof,2025-01-20T02:38:08Z,"lo-fi beats,lo-fi","Hosted by_",0.817,0.454,5,-9.574,1,0.0704,0.769,0.756,0.175,0.752,85.015,4
spotify:track:42qNWdLKCI41S4uzfamhFM,"Duvet","Twilight","bôa",2001-03-21,203600,86,false,61zi52kwvzh9tru5iowg1ufof,2025-01-20T02:40:46Z,"","Nettwerk Music Group",0.583,0.888,11,-9.414,0,0.0349,0.191,0.0000458,0.0936,0.706,93.206,4
spotify:track:3T9ouQ0YeXLayMQ9eWPAda,"Andromeda","Andromeda","LXST CXNTURY",2019-12-26,216882,46,true,61zi52kwvzh9tru5iowg1ufof,2025-01-20T02:42:15Z,"drift phonk,phonk,witch house","WHY Z MUSIC",0.342,0.769,2,-10.055,1,0.0465,0.00821,0.428,0.0954,0.183,74.756,4
spotify:track:5Y6nVaayzitvsD5F7nr3DV,"West Coast","Ultraviolence (Deluxe)","Lana Del Rey",2014-01-01,256760,84,false,61zi52kwvzh9tru5iowg1ufof,2025-01-20T02:43:29Z,"","Polydor Records",0.527,0.591,6,-7.664,0,0.0396,0.194,0.0194,0.0907,0.461,123.167,4
spotify:track:2anwQVRjPcy8CNo3fbgQ3d,"Headache (sped up)","Headache (sped up)","Asal",2023-05-05,163925,60,false,61zi52kwvzh9tru5iowg1ufof,2025-01-20T02:51:55Z,"","Wovy Records, Inc",0.655,0.443,10,-9.804,0,0.0335,0.336,0.578,0.261,0.125,101.082,4
spotify:track:7nnWIPM5hwE3DaUBkvOIpy,"Drive","Make Yourself","Incubus",1999-10-26,232453,81,false,61zi52kwvzh9tru5iowg1ufof,2025-01-20T02:51:59Z,"nu metal,funk rock,alternative metal,alternative rock","Epic/Immortal",0.645,0.792,4,-7.34,0,0.036,0.0562,0.0121,0.119,0.666,90.565,4
spotify:track:3V63Z328NdMElMnXydvz2J,"The Beginning","Piece of a Chance, Pt. 3","Kashuks",2014-08-08,211500,5,false,61zi52kwvzh9tru5iowg1ufof,2025-01-21T02:12:24Z,"","Kashuks",0.112,0.218,0,-14.456,1,0.0355,0.685,0.948,0.11,0.0364,176.97,5
spotify:track:1h5aSYkeERnj4UKCSAqsIQ,"Shiki no Uta (From ""Samurai Champloo"")","Shiki no Uta (From ""Samurai Champloo"")","Sapphire",2016-03-09,289349,37,false,61zi52kwvzh9tru5iowg1ufof,2025-02-08T14:18:23Z,"anime","Sapphire",0.599,0.727,10,-9.666,0,0.0373,0.132,0.00000448,0.364,0.616,92.513,4
spotify:track:1a9maLxqpx3cxjY1lTj62B,"Midnight In A Perfect World","Endtroducing.....","DJ Shadow",1996-01-01,298373,56,false,61zi52kwvzh9tru5iowg1ufof,2025-03-20T00:08:06Z,"trip hop,plunderphonics,downtempo","[PIAS] Recordings Catalogue",0.664,0.645,7,-9.334,0,0.0353,0.532,0.652,0.251,0.643,79.526,4
spotify:track:6Mmph6RF8DAOJR9bt4zHBU,"Restless Mind","Midnight Slipstream","Steven Beddall",2023-10-12,176588,39,false,61zi52kwvzh9tru5iowg1ufof,2025-04-19T00:49:43Z,"","Artlist Original",0.775,0.54,7,-7.177,1,0.0262,0.316,0.447,0.307,0.784,92.011,4
