Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2XATtLZOcQbQmjaK1pPsFL,"Fire","Fire","Juno Dreams",2022-04-10,238092,34,false,61zi52kwvzh9tru5iowg1ufof,2025-04-28T19:32:10Z,"synthwave,chillwave,vaporwave","Juno Dreams",0.578,0.697,9,-8.291,0,0.0318,0.0324,0.586,0.155,0.476,89.982,4
spotify:track:7hd8t7SjAaDdcoMjUVAeEN,"Night Charade","Night Charade","Galdive",2024-11-01,188297,2,false,61zi52kwvzh9tru5iowg1ufof,2025-04-28T19:33:50Z,"indonesian r&b,indonesian indie","Mom+Pop",0.457,0.681,11,-5.488,0,0.214,0.555,0.000932,0.145,0.537,93.743,4
spotify:track:6loDuwmsq6fazVxqqRhmcp,"nyc in 1940","nyc in 1940","berlioz;Ted Jasper",2022-06-03,156611,1,false,61zi52kwvzh9tru5iowg1ufof,2025-04-28T19:36:17Z,"jazz house,jazz","berlioz",0.839,0.482,9,-13.931,0,0.121,0.337,0.89,0.0859,0.585,116.998,4
spotify:track:0XxXIiZP0rJBS8S841UVdu,"dance with me","dance with me","lucidbeatz",2024-08-16,126408,67,false,61zi52kwvzh9tru5iowg1ufof,2025-05-04T23:49:52Z,"","lucidbeatz",0.698,0.24,10,-13.94,1,0.285,0.404,0.0989,0.125,0.119,77.443,4
spotify:track:5wJInZJJbCNBFf6u5SoQ7U,"Figuratives","Figuratives","MODERNS",2019-04-26,208026,51,false,61zi52kwvzh9tru5iowg1ufof,2025-05-10T19:00:09Z,"synthwave,synthpop","MODERNS",0.474,0.533,5,-11.742,1,0.0326,0.000603,0.585,0.148,0.169,90.006,4
spotify:track:4KVSdwwJ67JHu5s9vIA0zi,"Skin Tight (feat. Steve Lacy)","HYPNOS","Ravyn Lenae;Steve Lacy",2022-05-20,227000,61,false,61zi52kwvzh9tru5iowg1ufof,2025-05-12T00:21:37Z,"alternative r&b,indie soul","Atlantic Records",0.468,0.52,3,-7.964,0,0.0329,0.246,0.00259,0.078,0.46,174.082,3
spotify:track:6RiiSy9GzSwiyDEJDiMuKe,"Something About You","Mulholland Drive","Eyedress;Dent May",2021-08-27,153312,59,false,61zi52kwvzh9tru5iowg1ufof,2025-09-29T01:28:05Z,"","Lex Records",0.648,0.781,9,-8.736,0,0.0271,0.0332,0.013,0.305,0.822,133.417,4
spotify:track:0q6LuUqGLUiCPP1cbdwFs3,"On Melancholy Hill","Plastic Beach","Gorillaz",2010-03-03,233866,84,false,61zi52kwvzh9tru5iowg1ufof,2025-11-17T00:05:30Z,"","Parlophone UK",0.689,0.739,2,-5.81,1,0.026,0.0000151,0.509,0.064,0.578,120.423,4
spotify:track:30IFZYW3UvIInAwB5UA9kJ,"You Make Me Sick","Egypt Central","Egypt Central",2005-04-26,232640,41,false,61zi52kwvzh9tru5iowg1ufof,2026-01-07T18:01:00Z,"","Fat Lady Music",0.438,0.908,6,-4.311,0,0.0769,0.000149,0.0369,0.158,0.331,134.837,4
spotify:track:5wJInZJJbCNBFf6u5SoQ7U,"Figuratives","Figuratives","MODERNS",2019-04-26,208026,51,false,61zi52kwvzh9tru5iowg1ufof,2026-01-31T23:52:04Z,"synthwave,synthpop","MODERNS",0.474,0.533,5,-11.742,1,0.0326,0.000603,0.585,0.148,0.169,90.006,4
