Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4PnMSkoydTEsZaIpcRZ4lT,"Chaos","Mutemath","Mutemath",2006-09-26,294973,36,false,61zi52kwvzh9tru5iowg1ufof,2026-02-04T00:40:36Z,"alternative rock","Teleprompt/Warner Records",0.368,0.958,1,-4.463,0,0.117,0.000159,0.000718,0.339,0.541,180.083,4
spotify:track:1q2LCuh76IM9pLWfYfGGZP,"Pledge","Pledge","Devvy Dub",2025-03-13,147456,58,false,61zi52kwvzh9tru5iowg1ufof,2026-02-04T00:40:52Z,"","Hallwood",0.708,0.827,1,-4.414,1,0.0412,0.0305,0.00000185,0.296,0.791,144.901,4
spotify:track:1LAlLBTGBUO0MDA8IbSysd,"Overcompensate","Clancy","Twenty One Pilots",2024-05-24,236000,67,false,61zi52kwvzh9tru5iowg1ufof,2026-02-04T00:40:59Z,"","Fueled By Ramen",0.363,0.891,5,-5.563,0,0.0978,0.00992,0.00183,0.134,0.331,95.089,4
spotify:track:6D65DMzIaFxFYYdliXx1Js,"Run Rabbit","Rave Immortal","ALT BLK ERA",2025-01-24,186822,61,false,61zi52kwvzh9tru5iowg1ufof,2026-02-04T00:42:15Z,"","Earache Records",0.473,0.977,4,-4.474,1,0.0745,0.0643,0.00000517,0.326,0.657,174.164,4
spotify:track:2SufAz8tnLFegXflJCNT9K,"The Night (I Wanna Know)","The Night (I Wanna Know)","Quentyn",2025-11-07,155883,53,false,61zi52kwvzh9tru5iowg1ufof,2026-02-04T00:43:51Z,"synthpop,indie dance,indie electronic,french indie pop,progressive house,electropop","Enroute Records",0.445,0.695,1,-6.492,0,0.029,0.0111,0.0374,0.22,0.396,143.913,4
spotify:track:1pDykRJBzvGzGtEFC9yKFM,"Technicolor","Technicolor","Eligator;Iva Rii",2018-11-30,187261,0,false,61zi52kwvzh9tru5iowg1ufof,2026-02-04T00:46:39Z,"","901452 Records DK",0.794,0.444,0,-7.382,1,0.175,0.289,0.00000274,0.101,0.554,140.155,4
spotify:track:4mFcwFOlSCxp6hjemRXwpd,"hurt my feelings","THINK LATER","Tate McRae",2023-12-08,122416,71,true,61zi52kwvzh9tru5iowg1ufof,2026-02-04T01:06:52Z,"","RCA Records Label",0.667,0.829,2,-3.74,1,0.0509,0.0168,0,0.155,0.265,98.014,4
spotify:track:6JhUq57XpJeNMxboI4Ne3S,"Gold Guns Girls","Fantasies","Metric",2009-05-02,245280,63,false,61zi52kwvzh9tru5iowg1ufof,2026-02-04T12:28:50Z,"","MMI / Crystal Math Music",0.494,0.963,9,-5.394,0,0.057,0.000949,0.0494,0.0932,0.833,179.963,4
spotify:local:shootinboi52:Hash+Pipe+-+seal+of+quality:Hash+Pipe+-+seal+of+quality:126,"Hash Pipe - seal of quality","Hash Pipe - seal of quality","shootinboi52",,126000,0,false,61zi52kwvzh9tru5iowg1ufof,2026-02-04T21:01:08Z,"","undefined",,,,,,,,,,,,
spotify:track:0a1WSNN8s2aoihmhxQUZzL,"I Wanna Kno","Sounds Of Tokyo-To Future","2 Mello",2021-08-24,254379,48,false,61zi52kwvzh9tru5iowg1ufof,2026-02-04T21:05:16Z,"","Future Unwritten",0.754,0.875,3,-5.187,0,0.11,0.162,0.714,0.0481,0.873,145.02,4
spotify:local:ON+MY+MIND+x+HEADS+WILL+ROLL+JDM+Edit::Bryz:187,"Bryz","","ON MY MIND x HEADS WILL ROLL JDM Edit",,187000,0,false,61zi52kwvzh9tru5iowg1ufof,2026-02-04T21:06:54Z,"","undefined",,,,,,,,,,,,
spotify:track:6r1c3vA3CVNV9lTDV6bMXo,"HOT SENS4TION","HOT SENS4TION","BONESAW",2025-06-30,225433,37,false,61zi52kwvzh9tru5iowg1ufof,2026-02-05T19:23:34Z,"breakcore","BONESAW",0.502,0.685,1,-12.776,1,0.0609,0.0047,0.0949,0.0988,0.567,154.951,4
spotify:track:2rAMEH9r80J7vGtT2ZVuwn,"Synthetica","Synthetica (Deluxe Edition)","Metric",2012-01-01,234693,51,false,61zi52kwvzh9tru5iowg1ufof,2026-02-06T17:23:22Z,"","MMI / Crystal Math",0.375,0.874,0,-4.069,1,0.0385,0.0000506,0.00462,0.104,0.156,158.961,4
spotify:track:01oIjfrdZKRaU2uSZvXLtV,"Goodbye","Armistice","Mutemath",2009-08-17,249440,18,false,61zi52kwvzh9tru5iowg1ufof,2026-02-06T17:38:48Z,"alternative rock","Teleprompt/Warner Records",0.516,0.92,0,-4.845,1,0.0534,0.00392,0,0.285,0.632,134.978,4
spotify:track:62OgZnKpzkxbE6zm2N38fg,"Don't Get In My Way","EUPHONIC RUSH","BONESAW",2025-11-26,180441,40,false,61zi52kwvzh9tru5iowg1ufof,2026-02-06T17:47:33Z,"breakcore","BONESAW",0.449,0.862,4,-6.776,0,0.0481,0.0193,0.0133,0.803,0.651,164.989,4
spotify:track:31T2dxAa2TSUtymgF7L7Oi,"Come Fight Me For It","Rave Immortal","ALT BLK ERA",2025-01-24,221206,46,false,61zi52kwvzh9tru5iowg1ufof,2026-02-06T17:51:19Z,"","Earache Records",0.489,0.971,0,-4.781,1,0.0635,0.000228,0.0000446,0.347,0.279,173.877,4
spotify:track:3MbVKavhgP5DGOfxaiB3da,"Dance With U Long","Sounds Of Tokyo-To Future","2 Mello",2021-08-24,216888,32,false,61zi52kwvzh9tru5iowg1ufof,2026-02-06T18:11:06Z,"","Future Unwritten",0.714,0.869,8,-6.249,1,0.0492,0.13,0.117,0.141,0.731,135.073,4
