Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2bM9HdIr1NJqZ2udcd2OsZ,"Lights - Single Version","Lights 10","Ellie Goulding",2020-02-26,210853,57,false,61zi52kwvzh9tru5iowg1ufof,2026-01-21T20:28:26Z,"","UMC (Universal Music Catalogue)",0.681,0.798,8,-6.169,0,0.0364,0.0302,0.036,0.131,0.774,120.006,4
spotify:track:1dzQoRqT5ucxXVaAhTcT0J,"Just Dance","The Fame","Lady Gaga;Colby O'Donis",2008-01-01,241933,84,false,61zi52kwvzh9tru5iowg1ufof,2026-01-22T00:17:22Z,"art pop,pop","Streamline/Interscope",0.822,0.739,1,-4.541,0,0.0311,0.0264,0.0000428,0.181,0.745,118.99,4
spotify:track:12KUFSHFgT0XCoiSlvdQi4,"Break Free","My Everything (Deluxe)","Ariana Grande;Zedd",2014-08-22,214840,83,false,61zi52kwvzh9tru5iowg1ufof,2026-01-22T00:19:42Z,"pop,edm","Universal Records",0.686,0.702,7,-5.325,0,0.0455,0.00637,0.0000446,0.204,0.29,129.948,4
spotify:track:7EQGXaVSyEDsCWKmUcfpLk,"Die Young","Warrior (Expanded Edition)","Kesha",2012-11-30,211920,80,false,61zi52kwvzh9tru5iowg1ufof,2026-01-22T00:20:36Z,"","Kemosabe Records/RCA Records",0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,4
spotify:track:2qSkIjg1o9h3YT9RAgYN75,"Espresso","Espresso","Sabrina Carpenter",2024-04-12,175459,85,true,61zi52kwvzh9tru5iowg1ufof,2026-01-22T00:22:15Z,"pop","Island Records",0.701,0.76,0,-5.478,1,0.0285,0.107,0.0000654,0.185,0.69,103.969,4
spotify:track:7nu0Lc0jJltztDxsGeoPiG,"When I Rule the World","When I Rule the World","LIZ",2015-07-17,185813,55,false,61zi52kwvzh9tru5iowg1ufof,2026-01-22T00:27:21Z,"hyperpop","Mad Decent/Columbia",0.768,0.633,8,-4.089,0,0.157,0.00951,0,0.199,0.824,129.074,4
spotify:track:1fhx6MlQPiT6FKa6IolKZh,"The Way I Are - Max Dean Remix - Extended","The Way I Are (Max Dean Remix)","Timbaland;Keri Hilson;D.O.E.;Max Dean",2025-12-26,331162,34,false,61zi52kwvzh9tru5iowg1ufof,2026-01-22T00:31:18Z,"house","Blackground Records/Interscope Records",0.799,0.795,8,-6.527,0,0.0486,0.00303,0.317,0.105,0.894,129.001,4
spotify:track:4wH4dJgrsxONID6KS2tDQM,"Maneater","Loose","Nelly Furtado",2006-01-01,258893,86,false,61zi52kwvzh9tru5iowg1ufof,2026-01-22T00:31:29Z,"","Mosley / Geffen",0.796,0.778,6,-4.81,1,0.0397,0.0258,0.000386,0.121,0.789,132.724,4
spotify:track:2gam98EZKrF9XuOkU13ApN,"Promiscuous","Loose","Nelly Furtado;Timbaland",2006-01-01,242293,89,false,61zi52kwvzh9tru5iowg1ufof,2026-01-22T00:31:33Z,"","Mosley / Geffen",0.808,0.97,10,-6.098,0,0.0504,0.0573,0.0000617,0.154,0.868,114.328,4
spotify:track:2aI21FnmY7TJVKeMaoQZ0t,"Say It Right","Loose","Nelly Furtado",2006-01-01,223080,85,false,61zi52kwvzh9tru5iowg1ufof,2026-01-22T00:31:36Z,"","Mosley / Geffen",0.871,0.871,1,-6.328,1,0.139,0.0469,0.00114,0.0543,0.811,116.946,4
spotify:track:5YJtMNWKe55yr49cyJgxva,"Everytime We Touch","Everytime We Touch (Premium Edition)","Cascada",2010-02-12,197124,77,false,61zi52kwvzh9tru5iowg1ufof,2026-03-10T01:21:57Z,"europop,eurodance","Zoo Digital",0.633,0.976,8,-5.362,1,0.0519,0.00281,0.0000129,0.382,0.493,142.027,4
