Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1XgHX1RQSXq5yxfpxCSJiz,"Nothing Wrong","Futures (Deluxe Edition)","Jimmy Eat World",2004,187266,35,false,61zi52kwvzh9tru5iowg1ufof,2025-10-18T23:29:49Z,"emo,pop punk","Interscope",0.445,0.962,1,-1.899,1,0.106,0.002,0,0.295,0.555,132.599,4
spotify:track:4eMIrcbIZXunB7C76hF5lN,"Grand Theft Audio","Grand Theft Audio","Tommy Vext",2022-08-19,194287,25,false,61zi52kwvzh9tru5iowg1ufof,2025-10-18T23:29:52Z,"","One A Records",0.265,0.936,0,-4.37,0,0.115,0.0000417,0,0.254,0.284,142.573,4
spotify:track:0XApco3hU0Asplfth95ygB,"Masquerade","Masquerade","Tears to Embers",2023-08-31,253333,2,false,61zi52kwvzh9tru5iowg1ufof,2025-10-18T23:29:57Z,"","T2E Records",0.294,0.925,5,-4.545,0,0.194,0.000148,0.0000958,0.0939,0.441,116.933,4
spotify:track:5ZLwbxq5jydIxksfX6ezAn,"Just Tonight","Futures (Deluxe Edition)","Jimmy Eat World",2004,206373,51,false,61zi52kwvzh9tru5iowg1ufof,2025-10-18T23:30:04Z,"emo,pop punk","Interscope",0.393,0.939,8,-3.457,0,0.0963,0.000134,0.000114,0.134,0.694,172.977,4
spotify:track:1wo8IQFOntXY40ynj7bOor,"Blood In The Water","Dopamine","Normandie",2024-02-09,214830,42,true,61zi52kwvzh9tru5iowg1ufof,2025-10-18T23:30:13Z,"","Easy Life Records",0.511,0.868,7,-4.202,0,0.0383,0.000517,0.00974,0.1,0.387,92.922,4
spotify:track:4k7HTbpyFhYyaks0Kd2OoW,"When Legends Rise","When Legends Rise","Godsmack",2018-04-27,172826,57,false,61zi52kwvzh9tru5iowg1ufof,2025-10-18T23:30:24Z,"alternative metal,nu metal,hard rock,rap metal,metal","Spinefarm",0.44,0.916,4,-4.224,0,0.264,0.000237,0.0000195,0.0897,0.402,124.085,4
spotify:track:6tL8gSH1BWB5noSIac3uGZ,"Choose Your Fighter","Supernova","Nova Twins",2022-06-17,135466,38,false,61zi52kwvzh9tru5iowg1ufof,2025-10-19T15:31:33Z,"","Marshall Records",0.545,0.847,2,-5.882,1,0.108,0.000459,0.00153,0.436,0.573,130.051,4
spotify:track:2YQJm3tA7A1Uw5sdOuaXKM,"The Road","Maybe Today, Maybe Tomorrow","We Are The Ocean",2012,221323,38,false,61zi52kwvzh9tru5iowg1ufof,2025-10-25T00:54:36Z,"post-hardcore","Hassle Records",0.379,0.968,6,-5.133,0,0.0991,0.000833,0.0511,0.201,0.362,152.928,4
spotify:track:4kOIudW0DgFxC13KhsjKJS,"I Am Electric","Filthy Empire","Heaven's Basement",2013-02-05,178050,11,false,61zi52kwvzh9tru5iowg1ufof,2025-10-25T00:59:52Z,"","Red Bull Records",0.338,0.997,1,-2.589,1,0.181,0.00128,0,0.404,0.0593,172.916,4
spotify:track:6dx9Qs2LldkDNd7LikQHyr,"Mesmer","Odyssey","Valiant Hearts",2019-11-15,281812,31,false,61zi52kwvzh9tru5iowg1ufof,2025-11-09T01:03:19Z,"post-hardcore,metalcore","Valiant Hearts",0.298,0.978,5,-2.108,0,0.11,0.000242,0,0.225,0.167,159.881,4
spotify:track:30IFZYW3UvIInAwB5UA9kJ,"You Make Me Sick","Egypt Central","Egypt Central",2005-04-26,232640,41,false,61zi52kwvzh9tru5iowg1ufof,2026-01-20T14:59:50Z,"","Fat Lady Music",0.438,0.908,6,-4.311,0,0.0769,0.000149,0.0369,0.158,0.331,134.837,4
spotify:track:1fplcK4BIi4k5hzp2DJ0kt,"A Modern Way of Letting Go","The Remote Part","Idlewild",2002-07-15,143760,38,false,61zi52kwvzh9tru5iowg1ufof,2026-01-20T15:00:04Z,"britpop","Parlophone UK",0.282,0.987,8,-3.332,1,0.126,0.00000457,0.00000554,0.078,0.377,189.859,4
spotify:track:75Ub3ckaoTdzgH9Azeu8cY,"Evil (A Chorus Of Resistance)","Rival Factions","Project 86",2007-01-01,183373,38,false,61zi52kwvzh9tru5iowg1ufof,2026-01-20T15:00:29Z,"christian rock,christian alternative rock,nu metal","Tooth & Nail (TNN)",0.486,0.927,2,-4.845,0,0.0428,0.00000295,0.0145,0.0952,0.377,135.54,4
spotify:track:5NkaHk1OAChUpv8R6JqGuV,"Firefly","Survive","Stratovarius",2022-09-23,218866,34,false,61zi52kwvzh9tru5iowg1ufof,2026-01-20T15:00:40Z,"power metal,symphonic metal,speed metal,metal,progressive metal,heavy metal","earMUSIC",0.489,0.986,5,-4.449,0,0.126,0.0000393,0.00000273,0.281,0.346,138.062,4
spotify:track:03t1TxyyDzebCsC4FUtPZB,"The Son Is Not The Father","ASD","A Skylit Drive",2015-10-09,231625,16,false,61zi52kwvzh9tru5iowg1ufof,2026-02-01T00:53:51Z,"post-hardcore,screamo,metalcore,emo","Tragic Hero Records",0.251,0.955,1,-3.858,0,0.0992,0.0000131,0.0000359,0.245,0.203,90.971,4
