id,quarter,month,date,total_storage,volumes_digitised,images_digitised,digitised_size,volumes_uploaded,images_uploaded,image_storage_size,not_volumes,not_images,not_storage_size,volume_master,images_master,master_on_viewer,storage_master,estimated_storage_on_viwer,volumes_goobi,images_goobi,upload_goobi,storaged_used
1,first,feb,2026-02-06,64,1175,303706,125.88,324,105688,52.17,56,17959,3.42,18,7959,17,3.96,1.19,0.18,0.35,03,0.18
2,first,feb,2026-02-09,64,1776,304066,1264,298,106823,52.76,59,17999,3.45,32,14624,31,7.84,2.35,0.17,0.35,06,0.16
3,first,feb,2026-02-20,64,1776,304068,1264,299,107157,52.93,59,17999,3.45,46,22212,47,12.13,3.64,0.17,0.35,0.1,0.25
4,first,feb,2026-02-27,64,1776,304068,1264,299,107157,52.93,59,17999,3.45,59,29852,58,16.2,4.86,0.17,0.35,0.13,0.33
5,first,mar,2026-03-06,64,1781,307310,127.62,308,110399,54.51,59,17999,3.45,62,31268,62,16.91,57,0.17,0.36,0.13,0.34
6,first,mar,2026-03-13,64,1790,312110,129.67,323,115199,56.56,59,17999,3.45,66,33268,65,17.87,5.36,0.18,0.37,0.14,0.36
7,first,mar,2026-03-20,64,1794,313790,130.43,325,117101,57.44,62,18007,3.46,75,38329,74,20.65,6.19,0.2,0.37,0.16,0.42
8,first,mar,2026-03-27,64,1798,315470,131.19,327,119003,58.30,66,18015,3.46,84,43390,83,23.43,73,0.22,0.38,0.18,0.48
9,second,apr,2026-04-02,64,1801,317150,131.94,329,120805,598,70,18022,3.47,90,48451,92,26.22,7.86,0.22,0.38,0.21,0.54
10,second,apr,2026-04-10,64,1804,318758,132.70,332,122517,59.86,72,18029,3.48,97,53513,101,290,8.70,0.26,0.39,0.23,0.6
11,second,apr,2026-04-17,64,1805,318926,133.43,337,124039,60.76,73,18034,3.48,104,58558,110,31.78,9.53,0.28,0.39,0.25,0.66
12,second,apr,2026-04-24,64,1810,320534,133.66,342,125941,61.22,76,18040,3.49,112,62619,119,34.56,10.36,0.3,0.39,0.27,0.72
13,second,may,2026-05-01,64,1814,322214,134.55,346,127853,621,79,18044,3.49,119,67516,128,37.34,11.20,0.32,0.4,0.29,0.78
14,second,may,2026-05-08,64,1817,323894,135.31,351,129725,62.88,82,18051,3.50,126,72077,137,40.13,123,0.34,0.4,0.32,0.84
15,second,may,2026-05-15,64,1820,325574,1367,358,131067,63.76,85,18059,3.51,135,75538,146,42.91,12.87,0.36,0.41,0.34,0.9
16,second,may,2026-05-22,64,1823,327147,136.82,364,132969,64.30,88,18067,3.51,144,76105,155,45.69,13.70,0.38,0.41,0.36,0.96
17,second,may,2026-05-29,64,1826,328736,137.55,369,134871,64.92,91,18075,3.52,153,76666,164,48.47,14.53,0.4,0.41,0.38,12
18,second,jun,2026-06-05,64,1830,330416,138.55,374,136773,65.39,94,18083,3.52,162,81727,173,51.25,15.37,0.42,0.42,0.4,18
19,second,jun,2026-06-12,64,1834,332096,139.31,379,138555,66.26,98,18090,3.53,171,86788,182,544,16.20,0.44,0.42,0.43,1.14
20,second,jun,2026-06-19,64,1835,333776,1407,384,140197,67.14,102,18097,3.54,180,91849,191,56.82,174,0.46,0.43,0.45,1.2
21,second,jun,2026-06-26,64,1839,335556,140.71,389,141539,682,105,18102,3.54,187,96910,200,59.60,17.87,0.48,0.43,0.47,1.26
22,third,jul,2026-07-03,64,1843,337236,141.29,392,143441,68.90,108,18111,3.55,194,101971,209,62.38,18.70,0.5,0.43,0.49,1.32
23,third,jul,2026-07-10,64,1842,338926,1424,395,145343,69.79,111,18115,3.56,200,107028,218,65.16,19.54,0.52,0.44,0.51,1.38
24,third,jul,2026-07-17,64,1848,340606,142.80,397,147245,70.68,114,18123,3.56,209,112479,227,67.95,20.37,0.54,0.44,0.54,1.44
25,third,jul,2026-07-24,64,1850,340615,143.25,401,147265,71.56,117,18131,3.57,218,115930,236,70.73,21.21,0.56,0.45,0.56,1.5
26,third,jul,2026-07-31,64,1525,344730,143.49,400,150231,73,119,18116,3.58,226,115826,245,74.26,22.49,0.6,0.45,0.6,1.58
27,third,aug,2026-08-07,64,1440,347441,143.96,401,150364,73.47,123,18129,3.59,233,115824,245,77.17,22.9,0.63,0.47,0.64,1.63
28,third,aug,2026-08-14,64,1345,345320,144.95,391,150807,743,123,18141,3.58,246,121452,255,79.64,24.43,0.66,0.47,0.68,1.69
29,third,aug,2026-08-21,64,1549,344981,145.3,409,152041,74.38,125,18152,3.57,261,122392,262,858,25.17,0.66,0.49,0.7,1.77
30,third,aug,2026-08-28,64,1528,347082,1465,426,153847,75.69,129,18166,3.57,268,124606,271,85.48,25.78,0.65,0.49,0.73,1.87
31,third,sep,2026-09-04,64,1603,349840,1463,435,153763,77.69,130,18177,3.58,279,128613,280,88.67,26.29,0.66,0.49,0.75,1.95
32,third,sep,2026-09-11,64,1314,352220,146.66,448,154272,78.76,133,18176,3.59,286,136804,286,90.66,27.99,0.66,0.49,0.77,1.99
33,third,sep,2026-09-18,64,1171,350868,148.46,459,156025,78.93,136,18187,3.57,299,138028,297,93.49,29.36,0.68,0.49,0.79,28
34,third,sep,2026-09-25,64,1124,355373,149.92,457,156092,79.32,138,18194,3.56,306,137683,305,95.5,30.22,0.7,0.49,0.81,2.15
35,fourth,oct,2026-10-02,64,1238,356599,149.82,453,154706,79.49,139,18199,3.57,314,139099,315,99.9,31.55,0.71,0.51,0.82,2.22
36,fourth,oct,2026-10-09,64,1305,356614,149.77,455,154940,807,139,18184,3.58,327,141152,329,100.84,32.93,0.73,0.51,0.83,2.22
37,fourth,oct,2026-10-16,64,1580,355485,151.5,460,155411,80.87,144,18200,3.59,335,140043,338,106.28,33.51,0.74,0.52,0.87,2.32
38,fourth,oct,2026-10-23,64,1742,358893,152.49,442,153079,81.9,149,18204,3.59,342,148089,348,1111,34.44,0.75,0.51,0.91,2.35
39,fourth,oct,2026-10-30,64,2071,363846,153.12,452,156162,82.23,155,18212,3.59,349,149977,353,114.89,35.54,0.75,0.51,0.92,2.33
40,fourth,nov,2026-11-06,64,2138,364399,154.72,455,158176,81.89,153,18208,3.6,353,158351,359,119.36,36.61,0.76,0.5,0.96,2.35
41,fourth,nov,2026-11-13,64,2190,365553,155.15,458,157444,82.78,154,18222,3.62,373,164351,366,123.69,37.12,0.78,0.51,0.99,2.42
42,fourth,nov,2026-11-20,64,2287,364451,155.67,460,158784,844,159,18227,3.61,383,170142,380,125.92,396,0.83,0.53,0.99,2.5
43,fourth,nov,2026-11-27,64,2271,365311,157.27,475,158985,84.29,164,18244,3.61,389,179266,384,128.83,40.21,0.87,0.54,12,2.54
44,fourth,dec,2026-12-04,64,1851,365322,157.47,478,161199,84.95,166,18253,3.62,406,181708,391,1339,41.25,0.86,0.56,12,2.63
45,fourth,dec,2026-12-11,64,1832,365539,157.76,498,164723,85.48,173,18242,3.63,423,190453,405,137.52,42.13,0.89,0.56,16,2.69
46,fourth,dec,2026-12-18,64,1634,365993,159.4,516,165050,86,172,18263,3.64,429,195766,411,141.57,43.71,0.9,0.58,17,2.67
47,fourth,dec,2026-12-25,64,1373,369249,161.53,489,167207,878,176,18255,3.64,434,202205,421,143.76,44.89,0.94,0.59,17,2.79
48,first,jan,2027-01-01,64,1627,369937,161.52,507,169772,87.56,178,18276,3.65,445,203089,423,145.77,45.82,0.94,0.6,18,2.81
49,first,jan,2027-01-08,64,1769,369598,162.23,502,172011,88.86,187,18264,3.65,452,204875,428,147.5,47.46,0.96,0.59,19,2.95
50,first,jan,2027-01-15,64,1921,370873,163.59,520,176566,89.55,192,18274,3.68,457,206016,440,1505,48.12,0.96,0.59,1.12,34
51,first,jan,2027-01-22,64,2412,371744,1657,527,177447,90.79,195,18295,3.66,464,206773,452,152.74,49.25,0.98,0.58,1.15,37
