id,quarter,month,date,total_storage,volumes_digitised,images_digitised,digitised_size,volumes_uploaded,images_uploaded,image_storage_size,not_volumes,not_images,not_storage_size,volume_master,images_master,master_on_viewer,storage_master,estimated_storage_on_viwer,volumes_goobi,images_goobi,upload_goobi,storaged_used
7,first,mar,2026-03-20,64,1819.0,314193.0,0.0,318.0,115771.0,67.26,58.0,18117.0,3.42,154.0,31359.0,58.0,20.08,179.16,0.18,0.36,0.0,0.34
8,first,mar,2026-03-27,64,1552.0,314462.0,0.0,288.0,115399.0,65.67,57.0,18110.0,3.38,155.0,22875.0,24.0,3.79,289.24,0.23,0.35,6.05,0.0
9,second,apr,2026-04-03,64,0.0,314088.0,0.0,249.0,115296.0,61.91,58.0,18108.0,3.27,131.0,22347.0,10.0,2.67,348.19,0.23,0.34,13.57,0.08
10,second,apr,2026-04-10,64,1439.0,222640.0,6465.45,157.0,129380.0,67.61,46.0,17886.0,3.31,101.0,17822.0,101.0,0.55,825.24,0.17,0.14,0.0,1.11
11,second,apr,2026-04-17,64,2332.0,223244.0,7542.03,127.0,135182.0,68.38,49.0,17843.0,3.32,121.0,21194.0,108.0,6.62,889.57,0.2,0.13,0.0,1.26
12,second,apr,2026-04-24,64,1738.0,226503.0,6920.17,122.0,137042.0,69.49,54.0,17892.0,3.32,146.0,38218.0,138.0,9.73,896.07,0.19,0.14,0.0,1.55
13,second,may,2026-05-01,64,1773.0,235028.0,2885.87,82.0,137024.0,73.65,56.0,18326.0,3.27,140.0,63144.0,127.0,55.06,836.37,0.2,0.13,2.08,1.84
14,second,may,2026-05-08,64,1986.0,234557.0,5638.21,68.0,142695.0,73.37,57.0,18350.0,3.26,148.0,74515.0,123.0,58.17,853.4,0.2,0.14,8.23,1.85
15,second,may,2026-05-15,64,1881.0,248177.0,5000.02,104.0,144358.0,75.49,58.0,18298.0,3.26,144.0,71378.0,165.0,65.92,879.56,0.19,0.13,7.88,1.89
16,second,may,2026-05-22,64,1188.0,248981.0,6936.1,117.0,150305.0,75.48,58.0,18359.0,3.26,152.0,80339.0,175.0,73.44,900.69,0.19,0.13,20.08,1.93
17,second,may,2026-05-29,64,1507.0,252217.0,6267.46,139.0,147470.0,76.5,59.0,18379.0,3.27,154.0,86588.0,183.0,73.64,869.18,0.18,0.15,8.31,2.1
18,second,jun,2026-06-05,64,1312.0,259254.0,5325.27,147.0,150391.0,77.32,58.0,18407.0,3.28,149.0,93374.0,204.0,68.34,959.21,0.19,0.16,8.63,2.16
