id,quarter,month,date,total_storage,volumes_digitised,images_digitised,digitised_size,volumes_uploaded,images_uploaded,image_storage_size,not_volumes,not_images,not_storage_size,volume_master,images_master,master_on_viewer,storage_master,estimated_storage_on_viwer,volumes_goobi,images_goobi,upload_goobi,storaged_used
26,third,jul,2026-07-31,64,1525.0,344730.0,143.49,400.0,150231.0,73.0,119.0,18116.0,3.58,226.0,115826.0,245.0,74.26,22.49,0.6,0.45,0.6,1.58
27,third,aug,2026-08-07,64,1440.0,347441.0,143.96,401.0,150364.0,73.47,123.0,18129.0,3.59,233.0,115824.0,245.0,77.17,22.9,0.63,0.47,0.64,1.63
28,third,aug,2026-08-14,64,1345.0,345320.0,144.95,391.0,150807.0,74.03,123.0,18141.0,3.58,246.0,121452.0,255.0,79.64,24.43,0.66,0.47,0.68,1.69
29,third,aug,2026-08-21,64,1549.0,344981.0,145.3,409.0,152041.0,74.38,125.0,18152.0,3.57,261.0,122392.0,262.0,85.08,25.17,0.66,0.49,0.7,1.77
30,third,aug,2026-08-28,64,1528.0,347082.0,146.05,426.0,153847.0,75.69,129.0,18166.0,3.57,268.0,124606.0,271.0,85.48,25.78,0.65,0.49,0.73,1.87
31,third,sep,2026-09-04,64,1603.0,349840.0,146.03,435.0,153763.0,77.69,130.0,18177.0,3.58,279.0,128613.0,280.0,88.67,26.29,0.66,0.49,0.75,1.95
32,third,sep,2026-09-11,64,1314.0,352220.0,146.66,448.0,154272.0,78.76,133.0,18176.0,3.59,286.0,136804.0,286.0,90.66,27.99,0.66,0.49,0.77,1.99
33,third,sep,2026-09-18,64,1171.0,350868.0,148.46,459.0,156025.0,78.93,136.0,18187.0,3.57,299.0,138028.0,297.0,93.49,29.36,0.68,0.49,0.79,2.08
34,third,sep,2026-09-25,64,1124.0,355373.0,149.92,457.0,156092.0,79.32,138.0,18194.0,3.56,306.0,137683.0,305.0,95.5,30.22,0.7,0.49,0.81,2.15
35,fourth,oct,2026-10-02,64,1238.0,356599.0,149.82,453.0,154706.0,79.49,139.0,18199.0,3.57,314.0,139099.0,315.0,99.9,31.55,0.71,0.51,0.82,2.22
36,fourth,oct,2026-10-09,64,1305.0,356614.0,149.77,455.0,154940.0,80.07,139.0,18184.0,3.58,327.0,141152.0,329.0,100.84,32.93,0.73,0.51,0.83,2.22
37,fourth,oct,2026-10-16,64,1580.0,355485.0,151.5,460.0,155411.0,80.87,144.0,18200.0,3.59,335.0,140043.0,338.0,106.28,33.51,0.74,0.52,0.87,2.32
38,fourth,oct,2026-10-23,64,1742.0,358893.0,152.49,442.0,153079.0,81.9,149.0,18204.0,3.59,342.0,148089.0,348.0,111.01,34.44,0.75,0.51,0.91,2.35
39,fourth,oct,2026-10-30,64,2071.0,363846.0,153.12,452.0,156162.0,82.23,155.0,18212.0,3.59,349.0,149977.0,353.0,114.89,35.54,0.75,0.51,0.92,2.33
40,fourth,nov,2026-11-06,64,2138.0,364399.0,154.72,455.0,158176.0,81.89,153.0,18208.0,3.6,353.0,158351.0,359.0,119.36,36.61,0.76,0.5,0.96,2.35
41,fourth,nov,2026-11-13,64,2190.0,365553.0,155.15,458.0,157444.0,82.78,154.0,18222.0,3.62,373.0,164351.0,366.0,123.69,37.12,0.78,0.51,0.99,2.42
42,fourth,nov,2026-11-20,64,2287.0,364451.0,155.67,460.0,158784.0,84.04,159.0,18227.0,3.61,383.0,170142.0,380.0,125.92,39.06,0.83,0.53,0.99,2.5
43,fourth,nov,2026-11-27,64,2271.0,365311.0,157.27,475.0,158985.0,84.29,164.0,18244.0,3.61,389.0,179266.0,384.0,128.83,40.21,0.87,0.54,1.02,2.54
44,fourth,dec,2026-12-04,64,1851.0,365322.0,157.47,478.0,161199.0,84.95,166.0,18253.0,3.62,406.0,181708.0,391.0,133.09,41.25,0.86,0.56,1.02,2.63
45,fourth,dec,2026-12-11,64,1832.0,365539.0,157.76,498.0,164723.0,85.48,173.0,18242.0,3.63,423.0,190453.0,405.0,137.52,42.13,0.89,0.56,1.06,2.69
46,fourth,dec,2026-12-18,64,1634.0,365993.0,159.4,516.0,165050.0,86.0,172.0,18263.0,3.64,429.0,195766.0,411.0,141.57,43.71,0.9,0.58,1.07,2.67
47,fourth,dec,2026-12-25,64,1373.0,369249.0,161.53,489.0,167207.0,87.08,176.0,18255.0,3.64,434.0,202205.0,421.0,143.76,44.89,0.94,0.59,1.07,2.79
48,first,jan,2027-01-01,64,1627.0,369937.0,161.52,507.0,169772.0,87.56,178.0,18276.0,3.65,445.0,203089.0,423.0,145.77,45.82,0.94,0.6,1.08,2.81
49,first,jan,2027-01-08,64,1769.0,369598.0,162.23,502.0,172011.0,88.86,187.0,18264.0,3.65,452.0,204875.0,428.0,147.5,47.46,0.96,0.59,1.09,2.95
50,first,jan,2027-01-15,64,1921.0,370873.0,163.59,520.0,176566.0,89.55,192.0,18274.0,3.68,457.0,206016.0,440.0,150.05,48.12,0.96,0.59,1.12,3.04
51,first,jan,2027-01-22,64,2412.0,371744.0,165.07,527.0,177447.0,90.79,195.0,18295.0,3.66,464.0,206773.0,452.0,152.74,49.25,0.98,0.58,1.15,3.07
52,first,jan,2027-01-29,64,2329.0,374029.0,165.95,514.0,178082.0,91.47,200.0,18323.0,3.67,471.0,209505.0,462.0,156.59,50.29,1.0,0.57,1.17,3.1
53,first,feb,2027-02-05,64,2425.0,374447.0,166.28,513.0,180060.0,91.73,204.0,18347.0,3.68,479.0,214063.0,472.0,158.73,51.26,1.03,0.58,1.18,3.18
54,first,feb,2027-02-12,64,1975.0,375564.0,168.52,518.0,182876.0,92.64,207.0,18360.0,3.68,493.0,218022.0,482.0,161.98,51.57,1.08,0.57,1.19,3.19
55,first,feb,2027-02-19,64,1601.0,377034.0,169.79,526.0,185564.0,93.63,210.0,18359.0,3.68,507.0,224441.0,489.0,165.16,52.4,1.11,0.57,1.2,3.22
56,first,feb,2027-02-26,64,1672.0,380674.0,170.9,545.0,188461.0,94.63,215.0,18389.0,3.72,520.0,227382.0,497.0,168.28,52.99,1.15,0.57,1.22,3.31
57,first,mar,2027-03-05,64,1825.0,380849.0,171.65,546.0,188953.0,95.43,218.0,18398.0,3.71,530.0,230009.0,510.0,170.71,54.32,1.17,0.57,1.26,3.39
58,first,mar,2027-03-12,64,1865.0,382071.0,172.09,542.0,190019.0,96.12,223.0,18405.0,3.71,540.0,231001.0,518.0,172.5,55.69,1.18,0.57,1.27,3.39
59,first,mar,2027-03-19,64,2200.0,382815.0,172.15,546.0,192962.0,96.51,227.0,18407.0,3.72,558.0,235708.0,528.0,173.59,57.03,1.22,0.59,1.3,3.4
60,first,mar,2027-03-26,64,2255.0,385884.0,172.63,540.0,193571.0,96.42,232.0,18428.0,3.72,566.0,239401.0,538.0,176.83,57.73,1.25,0.59,1.32,3.43
61,second,apr,2027-04-02,64,2069.0,384406.0,172.82,550.0,196483.0,96.47,233.0,18447.0,3.72,569.0,240864.0,544.0,177.93,58.47,1.27,0.59,1.33,3.56
62,second,apr,2027-04-09,64,2066.0,388971.0,173.08,555.0,199337.0,97.88,235.0,18469.0,3.73,577.0,244377.0,559.0,181.39,59.47,1.28,0.59,1.34,3.63
63,second,apr,2027-04-16,64,1884.0,388129.0,174.25,558.0,202978.0,99.75,236.0,18486.0,3.76,592.0,245423.0,566.0,185.29,60.21,1.31,0.59,1.37,3.71
64,second,apr,2027-04-23,64,2013.0,390830.0,174.55,553.0,201081.0,99.38,240.0,18510.0,3.78,598.0,252402.0,572.0,187.04,61.07,1.34,0.59,1.41,3.69
65,second,apr,2027-04-30,64,1975.0,393337.0,176.06,547.0,201728.0,99.23,241.0,18505.0,3.76,606.0,255368.0,579.0,191.55,61.78,1.36,0.6,1.42,3.72
66,second,may,2027-05-07,64,1844.0,394501.0,176.89,543.0,203535.0,100.81,248.0,18521.0,3.75,609.0,260659.0,586.0,195.3,62.29,1.38,0.6,1.42,3.77
67,second,may,2027-05-14,64,2132.0,395342.0,177.63,549.0,203320.0,102.51,253.0,18511.0,3.74,619.0,268205.0,599.0,198.46,62.56,1.36,0.61,1.45,3.85
68,second,may,2027-05-21,64,1803.0,393633.0,178.37,564.0,203416.0,104.03,256.0,18513.0,3.73,627.0,277528.0,609.0,202.15,62.72,1.34,0.61,1.48,3.88
69,second,may,2027-05-28,64,2021.0,393635.0,178.16,587.0,205318.0,104.86,257.0,18517.0,3.73,632.0,280613.0,622.0,204.06,63.26,1.36,0.6,1.5,3.87
70,second,jun,2027-06-04,64,2154.0,397894.0,177.0,608.0,207751.0,105.55,260.0,18520.0,3.71,639.0,282264.0,628.0,207.38,64.04,1.37,0.61,1.54,4.01
71,second,jun,2027-06-11,64,2253.0,398902.0,176.55,616.0,212875.0,106.35,265.0,18519.0,3.72,651.0,285837.0,633.0,210.93,65.35,1.39,0.62,1.57,4.01
72,second,jun,2027-06-18,64,2001.0,398921.0,177.91,612.0,213796.0,107.24,266.0,18522.0,3.72,652.0,290228.0,646.0,214.95,66.21,1.4,0.62,1.59,4.02
